Date,Time,Open,High,Low,Close,Volume
2017-01-03,1483401600,45.74,45.82,44.58,44.88,27200
2017-01-04,1483488000,45.27,45.31,44.49,45.14,28100
2017-01-05,1483574400,45.14,45.14,43.83,44.09,20100
2017-01-06,1483660800,44.09,46.0,44.01,45.61,49500
2017-01-09,1483920000,45.31,45.4,43.7,43.79,21000
2017-01-10,1484006400,43.79,44.53,43.44,44.36,25800
2017-01-11,1484092800,44.14,44.53,44.09,44.36,10900
2017-01-12,1484179200,44.01,44.09,42.92,43.31,13500
2017-01-13,1484265600,43.66,44.16,43.66,43.83,15200
2017-01-17,1484611200,43.57,43.92,42.49,42.49,19700
2017-01-18,1484697600,42.53,43.01,42.23,42.92,23800
2017-01-19,1484784000,42.84,42.84,41.84,42.14,16100
2017-01-20,1484870400,42.1,42.88,41.84,42.36,35600
2017-01-23,1485129600,42.27,42.62,42.1,42.32,16400
2017-01-24,1485216000,42.66,43.31,42.06,43.27,13600
2017-01-25,1485302400,43.4,43.75,43.05,43.53,16500
2017-01-26,1485388800,43.4,43.62,43.23,43.53,11000
2017-01-27,1485475200,43.1,43.36,42.62,42.97,13800
2017-01-30,1485734400,42.75,42.75,41.79,41.79,17500
2017-01-31,1485820800,41.75,42.27,41.36,41.97,17200
2017-02-01,1485907200,42.45,42.49,41.36,41.58,14900
2017-02-02,1485993600,41.32,41.32,40.67,41.01,16100
2017-02-03,1486080000,39.78,41.53,36.98,41.4,33400
2017-02-06,1486339200,41.36,41.47,40.49,40.75,14100
2017-02-07,1486425600,40.67,41.01,40.06,40.23,19400
2017-02-08,1486512000,39.89,40.1,36.93,39.58,33500
2017-02-09,1486598400,39.36,41.23,39.1,41.1,30600
2017-02-10,1486684800,41.49,42.45,40.75,40.97,25300
2017-02-13,1486944000,41.06,41.62,40.93,41.58,18200
2017-02-14,1487030400,41.4,41.58,41.36,41.4,21600
2017-02-15,1487116800,41.36,41.53,41.11,41.27,15400
2017-02-16,1487203200,40.67,42.66,40.36,41.1,90700
2017-02-17,1487289600,40.97,41.23,40.49,40.75,25500
2017-02-21,1487635200,41.1,41.1,40.62,40.67,18400
2017-02-22,1487721600,40.49,40.67,40.36,40.67,22600
2017-02-23,1487808000,40.62,41.14,40.32,40.8,33200
2017-02-24,1487894400,40.36,40.62,39.93,40.36,31000
2017-02-27,1488153600,40.28,40.88,40.23,40.84,56500
2017-02-28,1488240000,40.54,41.27,39.89,40.32,55400
2017-03-01,1488326400,40.97,42.01,40.36,41.75,50000
2017-03-02,1488412800,41.32,41.75,41.06,41.4,33600
2017-03-03,1488499200,41.32,41.45,40.8,41.32,16200
2017-03-06,1488758400,41.01,41.32,40.41,41.23,31000
2017-03-07,1488844800,41.19,41.75,40.93,41.58,22200
2017-03-08,1488931200,41.88,41.88,40.71,40.8,24100
2017-03-09,1489017600,40.88,41.1,40.54,40.8,23100
2017-03-10,1489104000,41.14,41.36,40.45,40.67,27100
2017-03-13,1489363200,40.54,40.93,40.28,40.32,20100
2017-03-14,1489449600,40.19,40.19,39.8,39.97,42000
2017-03-15,1489536000,39.93,40.58,39.93,40.41,57800
2017-03-16,1489622400,40.62,40.93,40.32,40.54,20900
2017-03-17,1489708800,40.36,41.49,40.28,41.32,60300
2017-03-20,1489968000,41.23,41.32,40.84,41.23,26700
2017-03-21,1490054400,41.32,41.66,39.49,40.06,69200
2017-03-22,1490140800,39.8,40.19,38.84,39.36,30200
2017-03-23,1490227200,39.8,40.36,39.71,40.1,22900
2017-03-24,1490313600,40.15,40.45,39.84,40.36,35000
2017-03-27,1490572800,39.67,40.28,39.15,40.19,17000
2017-03-28,1490659200,39.89,40.8,39.89,40.71,25500
2017-03-29,1490745600,40.36,40.8,40.36,40.75,24600
2017-03-30,1490832000,40.62,42.1,40.62,42.1,20700
2017-03-31,1490918400,41.92,41.97,41.19,41.23,40100
2017-04-03,1491177600,41.27,41.58,40.36,40.8,41500
2017-04-04,1491264000,40.54,40.88,40.1,40.41,33200
2017-04-05,1491350400,40.58,41.32,39.84,39.84,32500
2017-04-06,1491436800,39.89,40.93,39.58,40.75,25600
2017-04-07,1491523200,40.45,40.84,40.1,40.58,27200
2017-04-10,1491782400,40.45,40.71,39.62,39.8,16500
2017-04-11,1491868800,39.71,40.8,39.71,40.71,12100
2017-04-12,1491955200,40.49,40.58,39.75,40.06,22000
2017-04-13,1492041600,39.75,39.8,39.45,39.54,37700
2017-04-17,1492387200,39.58,40.19,39.49,40.06,13800
2017-04-18,1492473600,40.15,40.32,39.62,40.02,24100
2017-04-19,1492560000,40.1,40.61,40.06,40.36,30900
