Date,Time,Open,High,Low,Close,Volume
2017-01-03,1483401600,10.96,11.35,10.96,11.17,715000
2017-01-04,1483488000,11.38,11.54,11.28,11.48,1216000
2017-01-05,1483574400,11.59,11.83,11.53,11.77,1102600
2017-01-06,1483660800,11.68,11.74,11.5,11.56,1270200
2017-01-09,1483920000,11.69,11.71,11.58,11.59,604000
2017-01-10,1484006400,11.75,11.81,11.56,11.76,771400
2017-01-11,1484092800,11.68,11.83,11.54,11.81,862300
2017-01-12,1484179200,11.96,12.05,11.87,11.91,589800
2017-01-13,1484265600,11.84,11.92,11.74,11.84,365500
2017-01-17,1484611200,11.92,12.1,11.85,11.97,607000
2017-01-18,1484697600,12.02,12.17,11.97,12.1,1248500
2017-01-19,1484784000,12.36,12.5,12.19,12.47,1663600
2017-01-20,1484870400,12.83,12.83,12.28,12.52,1596200
2017-01-23,1485129600,12.96,13.0,12.78,12.87,1830900
2017-01-24,1485216000,12.9,12.99,12.82,12.96,2503900
2017-01-25,1485302400,12.98,13.1,12.87,13.0,1053900
2017-01-26,1485388800,12.89,13.01,12.85,12.92,1439200
2017-01-27,1485475200,12.97,12.99,12.76,12.96,2107300
2017-01-30,1485734400,13.11,13.14,12.76,12.88,1701500
2017-01-31,1485820800,12.98,12.98,12.69,12.83,2002200
2017-02-01,1485907200,12.72,12.83,12.48,12.82,1922000
2017-02-02,1485993600,13.14,13.16,12.82,12.89,2332300
2017-02-03,1486080000,13.58,13.62,13.42,13.52,3588900
2017-02-06,1486339200,13.59,13.75,13.46,13.74,1813600
2017-02-07,1486425600,13.53,13.8,13.51,13.65,1922100
2017-02-08,1486512000,13.66,14.01,13.61,13.98,1955300
2017-02-09,1486598400,14.01,14.12,13.75,13.89,3254900
2017-02-10,1486684800,13.89,14.1,13.84,14.02,1769200
2017-02-13,1486944000,14.23,14.23,13.81,13.9,1780900
2017-02-14,1487030400,14.2,14.31,13.94,14.28,2002200
2017-02-15,1487116800,14.24,14.73,14.21,14.66,2560900
2017-02-16,1487203200,14.64,14.77,14.36,14.38,1409100
2017-02-17,1487289600,14.42,14.47,14.26,14.4,1368400
2017-02-21,1487635200,14.52,14.53,14.37,14.43,1925700
2017-02-22,1487721600,14.5,14.58,14.38,14.53,1213400
2017-02-23,1487808000,14.65,14.69,14.43,14.45,4392900
2017-02-24,1487894400,14.13,14.49,14.13,14.26,1182200
2017-02-27,1488153600,14.32,14.43,14.23,14.34,1043900
2017-02-28,1488240000,14.32,14.34,14.04,14.08,1115700
2017-03-01,1488326400,14.19,14.45,14.19,14.4,2354200
2017-03-02,1488412800,14.16,14.22,13.97,14.07,1261300
2017-03-03,1488499200,14.15,14.5,14.14,14.43,1905400
2017-03-06,1488758400,14.43,14.43,14.24,14.26,1333600
2017-03-07,1488844800,14.35,14.35,14.11,14.13,711900
