Date,Time,Open,High,Low,Close,Volume
2017-01-03,1483401600,5.51,5.79,5.42,5.69,26100
2017-01-04,1483488000,5.74,6.01,5.74,5.88,25300
2017-01-05,1483574400,5.88,5.88,5.74,5.74,8600
2017-01-06,1483660800,5.69,5.88,5.69,5.79,9800
2017-01-09,1483920000,5.79,5.88,5.65,5.65,9400
2017-01-10,1484006400,5.69,6.01,5.69,6.01,32400
2017-01-11,1484092800,6.1,6.1,6.01,6.01,7100
2017-01-12,1484179200,6.01,6.01,5.74,5.79,23500
2017-01-13,1484265600,5.92,6.06,5.88,6.06,15600
2017-01-17,1484611200,6.06,6.24,5.88,5.88,18000
2017-01-18,1484697600,5.83,5.88,5.69,5.79,10700
2017-01-19,1484784000,5.79,5.88,5.56,5.56,11400
2017-01-20,1484870400,5.56,5.97,5.56,5.83,22500
2017-01-23,1485129600,5.83,5.97,5.83,5.88,6800
2017-01-24,1485216000,5.92,6.06,5.83,6.01,8600
2017-01-25,1485302400,6.06,6.15,6.01,6.06,14200
2017-01-26,1485388800,5.92,5.92,5.88,5.88,8500
2017-01-27,1485475200,5.92,5.97,5.92,5.97,4600
2017-01-30,1485734400,5.97,6.01,5.88,5.88,10600
2017-01-31,1485820800,5.92,5.97,5.88,5.92,12300
2017-02-01,1485907200,5.92,6.01,5.88,5.88,20700
2017-02-02,1485993600,5.92,5.97,5.83,5.88,11600
2017-02-03,1486080000,5.97,5.97,5.88,5.97,17000
2017-02-06,1486339200,6.15,6.15,5.83,5.83,9600
2017-02-07,1486425600,6.01,6.01,5.74,5.79,7900
2017-02-08,1486512000,5.79,5.79,5.69,5.74,18900
2017-02-09,1486598400,5.6,5.78,5.6,5.74,22300
2017-02-10,1486684800,5.65,5.74,5.51,5.69,35200
2017-02-13,1486944000,5.56,5.92,5.56,5.69,20700
2017-02-14,1487030400,5.69,5.79,5.65,5.74,25800
2017-02-15,1487116800,5.79,5.83,5.69,5.79,13700
2017-02-16,1487203200,5.79,5.88,5.79,5.79,16200
2017-02-17,1487289600,5.79,5.85,5.79,5.83,26300
2017-02-21,1487635200,5.85,5.88,5.83,5.88,9600
2017-02-22,1487721600,5.83,6.01,5.83,6.01,3000
2017-02-23,1487808000,5.97,6.15,5.97,6.06,58400
2017-02-24,1487894400,6.06,6.15,6.01,6.1,38800
2017-02-27,1488153600,6.06,6.13,5.92,5.97,17400
2017-02-28,1488240000,6.01,6.01,5.74,5.74,38500
2017-03-01,1488326400,5.88,6.06,5.88,6.06,19700
2017-03-02,1488412800,6.04,6.1,5.97,6.01,10300
2017-03-03,1488499200,6.0,6.06,5.97,6.06,12500
2017-03-06,1488758400,6.06,6.06,5.88,5.92,11200
2017-03-07,1488844800,5.88,5.97,5.83,5.83,15100
2017-03-08,1488931200,5.88,5.92,5.78,5.79,24500
2017-03-09,1489017600,5.88,5.92,5.69,5.74,30900
2017-03-10,1489104000,5.79,5.92,5.79,5.83,19300
2017-03-13,1489363200,5.83,5.92,5.7,5.88,17000
2017-03-14,1489449600,6.33,6.33,6.01,6.06,18800
2017-03-15,1489536000,6.1,6.1,6.01,6.06,54700
2017-03-16,1489622400,6.1,6.1,6.01,6.06,59000
2017-03-17,1489708800,5.92,6.06,5.83,5.92,167400
2017-03-20,1489968000,5.97,6.06,5.97,6.01,29000
2017-03-21,1490054400,6.1,6.1,5.88,5.88,22100
2017-03-22,1490140800,5.84,6.01,5.84,5.92,98100
2017-03-23,1490227200,6.03,6.08,6.03,6.08,21900
2017-03-24,1490313600,6.08,6.08,6.04,6.04,22400
2017-03-27,1490572800,6.13,6.37,6.13,6.27,56500
2017-03-28,1490659200,6.31,6.64,6.31,6.45,72800
2017-03-29,1490745600,6.45,6.45,6.33,6.4,34900
2017-03-30,1490832000,6.47,6.77,6.4,6.63,62400
2017-03-31,1490918400,6.67,6.72,6.54,6.63,111200
2017-04-03,1491177600,6.58,6.71,6.58,6.58,28400
2017-04-04,1491264000,6.58,6.63,6.49,6.63,24800
2017-04-05,1491350400,6.72,6.9,6.36,6.36,51500
2017-04-06,1491436800,6.4,6.52,6.18,6.31,34800
2017-04-07,1491523200,6.36,6.45,6.31,6.31,6500
2017-04-10,1491782400,6.4,6.45,6.31,6.4,27000
2017-04-11,1491868800,6.49,6.5,6.31,6.31,18300
2017-04-12,1491955200,6.31,6.36,6.18,6.22,9300
2017-04-13,1492041600,6.22,6.4,6.19,6.22,31100
2017-04-17,1492387200,6.18,6.4,6.18,6.36,15600
2017-04-18,1492473600,6.4,6.54,6.4,6.45,31500
2017-04-19,1492560000,6.45,6.49,6.27,6.27,15900
2017-04-20,1492646400,6.31,6.45,6.31,6.4,19700
2017-04-21,1492732800,6.36,6.72,6.36,6.63,26400
2017-04-24,1492992000,6.72,6.81,6.63,6.67,10400
2017-04-25,1493078400,6.72,6.81,6.72,6.77,24400
2017-04-26,1493164800,6.77,6.81,6.67,6.72,33400
2017-04-27,1493251200,6.72,6.72,6.27,6.31,23200
2017-04-28,1493337600,6.31,6.45,6.31,6.4,18900
2017-05-01,1493596800,6.4,6.45,6.31,6.36,17200
2017-05-02,1493683200,6.31,6.36,6.07,6.27,15900
2017-05-03,1493769600,6.27,6.36,6.27,6.31,13200
2017-05-04,1493856000,6.36,6.4,6.27,6.31,28800
2017-05-05,1493942400,6.28,6.31,6.18,6.18,10500
2017-05-08,1494201600,6.22,6.31,6.13,6.22,29000
2017-05-09,1494288000,6.15,6.27,6.13,6.18,9300
2017-05-10,1494374400,6.22,6.27,6.04,6.04,15200
2017-05-11,1494460800,5.99,6.04,5.72,5.72,37800
2017-05-12,1494547200,5.68,5.86,5.68,5.72,34700
2017-05-15,1494806400,5.72,5.86,5.7,5.77,18100
2017-05-16,1494892800,5.95,5.95,5.54,5.58,13800
2017-05-17,1494979200,5.54,5.68,5.27,5.31,36900
2017-05-18,1495065600,5.39,5.71,5.38,5.61,19300
2017-05-19,1495152000,5.57,5.71,5.48,5.66,36100
2017-05-22,1495411200,5.61,5.8,5.57,5.75,16300
2017-05-23,1495497600,5.8,5.84,5.61,5.75,18800
2017-05-24,1495584000,5.8,5.8,5.61,5.75,12900
2017-05-25,1495670400,5.8,5.8,5.61,5.71,10600
2017-05-26,1495756800,5.61,5.8,5.52,5.75,11500
2017-05-30,1496102400,5.75,5.98,5.71,5.84,14600
2017-05-31,1496188800,5.9,5.9,5.52,5.52,8100
2017-06-01,1496275200,5.66,5.71,5.57,5.66,24200
2017-06-02,1496361600,5.71,6.02,5.71,5.98,13800
2017-06-05,1496620800,5.75,5.89,5.66,5.66,7300
2017-06-06,1496707200,5.66,5.89,5.66,5.84,7800
2017-06-07,1496793600,5.85,5.93,5.75,5.8,7200
2017-06-08,1496880000,5.89,6.44,5.89,6.3,16100
2017-06-09,1496966400,6.05,6.53,6.05,6.44,40200
2017-06-12,1497225600,6.53,6.53,6.3,6.34,48200
2017-06-13,1497312000,6.44,6.44,6.31,6.39,18700
2017-06-14,1497398400,6.3,6.44,6.21,6.34,16400
2017-06-15,1497484800,6.21,6.53,6.21,6.39,17700
2017-06-16,1497571200,5.8,6.48,5.8,6.34,58300
2017-06-19,1497830400,6.3,6.39,6.26,6.39,12600
2017-06-20,1497916800,6.34,6.34,6.21,6.25,10500
2017-06-21,1498003200,6.21,6.44,6.16,6.25,70300
2017-06-22,1498089600,6.16,6.25,6.02,6.16,46800
2017-06-23,1498176000,6.16,6.29,5.98,6.16,165100
2017-06-26,1498435200,6.1,6.25,5.95,6.25,10900
2017-06-27,1498521600,6.25,6.39,6.25,6.39,3700
2017-06-28,1498608000,6.43,6.48,6.21,6.44,10700
2017-06-29,1498694400,6.39,6.53,6.34,6.44,43400
2017-06-30,1498780800,6.44,6.48,6.34,6.44,6800
2017-07-03,1499040000,6.39,6.53,6.39,6.53,11800
2017-07-05,1499212800,6.48,6.53,6.39,6.39,10500
2017-07-06,1499299200,6.34,6.48,6.34,6.39,20300
2017-07-07,1499385600,6.48,6.48,6.34,6.39,12800
2017-07-10,1499644800,6.34,6.48,6.34,6.39,9500
2017-07-11,1499731200,6.44,6.48,6.34,6.48,10600
2017-07-12,1499817600,6.48,6.48,6.34,6.39,16700
2017-07-13,1499904000,6.44,6.44,6.35,6.44,4200
2017-07-14,1499990400,6.39,6.53,6.34,6.39,10100
2017-07-17,1500249600,6.34,6.39,6.3,6.39,9600
2017-07-18,1500336000,6.3,6.39,6.25,6.34,17600
2017-07-19,1500422400,6.34,6.44,6.34,6.34,5800
2017-07-20,1500508800,6.3,6.42,6.3,6.39,19300
2017-07-21,1500595200,6.57,6.57,6.34,6.39,26400
2017-07-24,1500854400,6.44,6.44,6.3,6.39,11700
2017-07-25,1500940800,6.34,6.44,6.25,6.34,24700
2017-07-26,1501027200,6.34,6.39,6.3,6.3,14400
2017-07-27,1501113600,6.3,6.39,6.3,6.3,8000
2017-07-28,1501200000,6.25,6.44,6.25,6.34,16700
2017-07-31,1501459200,6.31,6.39,6.25,6.25,29000
2017-08-01,1501545600,6.25,6.3,6.24,6.3,12900
2017-08-02,1501632000,6.25,6.3,6.21,6.21,23500
2017-08-03,1501718400,6.21,6.21,6.02,6.02,17500
2017-08-04,1501804800,6.12,6.12,5.98,6.02,14600
2017-08-07,1502064000,6.12,6.12,6.02,6.02,17900
2017-08-08,1502150400,5.98,6.02,5.84,5.93,11600
2017-08-09,1502236800,5.92,5.93,5.84,5.84,23900
2017-08-10,1502323200,5.89,5.89,5.8,5.84,23700
2017-08-11,1502409600,5.93,5.93,5.75,5.75,17700
2017-08-14,1502668800,5.76,5.8,5.75,5.8,14400
2017-08-15,1502755200,5.8,5.84,5.71,5.8,7200
2017-08-16,1502841600,5.8,5.84,5.75,5.8,13500
2017-08-17,1502928000,5.69,5.82,5.69,5.69,33300
2017-08-18,1503014400,5.59,5.69,5.55,5.69,42000
2017-08-21,1503273600,5.73,5.73,5.46,5.5,21900
2017-08-22,1503360000,5.5,5.55,5.46,5.55,12000
2017-08-23,1503446400,5.55,5.55,5.46,5.46,16100
2017-08-24,1503532800,5.5,5.64,5.5,5.59,37800
2017-08-25,1503619200,5.59,6.33,5.59,6.33,76500
2017-08-28,1503878400,6.19,6.47,5.87,6.42,65400
2017-08-29,1503964800,6.42,6.56,6.37,6.47,48100
2017-08-30,1504051200,6.1,6.47,6.1,6.33,32400
2017-08-31,1504137600,6.33,6.33,5.78,5.87,39100
2017-09-01,1504224000,5.82,5.92,5.73,5.92,14300
2017-09-05,1504569600,5.87,5.92,5.5,5.59,46500
2017-09-06,1504656000,5.59,5.69,5.32,5.37,27500
2017-09-07,1504742400,5.37,5.55,5.32,5.5,23500
2017-09-08,1504828800,5.55,5.55,5.32,5.32,28500
2017-09-11,1505088000,5.27,5.55,5.27,5.55,31300
2017-09-12,1505174400,5.55,5.59,5.37,5.41,42100
2017-09-13,1505260800,5.41,5.46,5.32,5.37,55000
2017-09-14,1505347200,5.38,5.38,5.23,5.32,75500
2017-09-15,1505433600,5.37,5.69,5.32,5.5,139800
2017-09-18,1505692800,5.55,5.69,5.55,5.64,54900
2017-09-19,1505779200,5.56,5.78,5.55,5.78,47400
2017-09-20,1505865600,5.69,5.78,5.69,5.73,29100
2017-09-21,1505952000,5.64,5.82,5.59,5.78,19300
2017-09-22,1506038400,5.64,5.78,5.64,5.78,15900
2017-09-25,1506297600,5.7,5.73,5.64,5.69,5500
2017-09-26,1506384000,5.64,5.78,5.59,5.73,6600
2017-09-27,1506470400,5.82,6.01,5.59,6.01,40400
2017-09-28,1506556800,5.96,6.01,5.82,5.87,20500
2017-09-29,1506643200,5.99,6.01,5.69,5.73,15600
2017-10-02,1506902400,5.77,6.1,5.59,6.05,33700
2017-10-03,1506988800,6.01,6.01,5.64,5.64,45300
2017-10-04,1507075200,5.69,5.82,5.69,5.82,12300
2017-10-05,1507161600,5.78,6.24,5.78,6.1,31900
2017-10-06,1507248000,5.87,6.19,5.87,6.14,19300
2017-10-09,1507507200,5.92,6.05,5.87,5.96,9800
2017-10-10,1507593600,6.1,6.14,6.01,6.1,11600
2017-10-11,1507680000,6.05,6.19,6.01,6.1,12100
2017-10-12,1507766400,6.14,6.24,6.1,6.24,21700
2017-10-13,1507852800,6.19,6.28,6.14,6.14,8800
2017-10-16,1508112000,6.24,6.25,6.14,6.24,19800
2017-10-17,1508198400,6.14,6.24,6.14,6.19,10400
2017-10-18,1508284800,6.19,6.24,6.14,6.14,13200
2017-10-19,1508371200,6.19,6.28,6.14,6.28,7400
2017-10-20,1508457600,6.33,6.33,6.19,6.28,14100
2017-10-23,1508716800,6.18,6.28,6.17,6.24,12500
2017-10-24,1508803200,6.24,6.33,6.24,6.24,12400
2017-10-25,1508889600,6.14,6.33,6.14,6.33,9200
2017-10-26,1508976000,6.24,6.24,6.1,6.19,12100
2017-10-27,1509062400,6.08,6.42,6.08,6.37,26400
2017-10-30,1509321600,6.19,6.33,6.05,6.1,7700
2017-10-31,1509408000,6.19,6.19,6.05,6.1,16500
2017-11-01,1509494400,6.05,6.1,6.01,6.01,9700
2017-11-02,1509580800,6.1,6.19,6.01,6.19,10200
2017-11-03,1509667200,6.19,6.19,6.1,6.14,20800
2017-11-06,1509926400,6.1,6.1,5.92,6.01,12000
2017-11-07,1510012800,6.02,6.1,5.73,5.73,8900
2017-11-08,1510099200,5.69,5.69,5.55,5.59,28400
2017-11-09,1510185600,5.59,5.69,5.59,5.59,11300
2017-11-10,1510272000,5.64,5.69,5.59,5.64,4800
2017-11-13,1510531200,5.64,5.64,5.53,5.64,10400
2017-11-14,1510617600,5.55,5.69,5.55,5.69,6700
2017-11-15,1510704000,5.59,5.73,5.59,5.69,26300
2017-11-16,1510790400,5.69,6.14,5.69,6.14,12200
2017-11-17,1510876800,5.99,6.45,5.99,6.45,139000
2017-11-20,1511136000,6.37,6.45,6.31,6.45,20900
2017-11-21,1511222400,6.45,6.66,6.36,6.4,142300
2017-11-22,1511308800,6.45,6.45,6.26,6.26,12200
2017-11-24,1511481600,6.31,6.31,6.13,6.22,6500
2017-11-27,1511740800,6.26,6.36,6.17,6.26,25900
2017-11-28,1511827200,6.26,6.27,6.13,6.26,32900
2017-11-29,1511913600,6.22,6.36,6.17,6.22,18600
2017-11-30,1512000000,6.31,6.31,6.13,6.17,33100
2017-12-01,1512086400,6.13,6.13,5.92,5.94,18200
2017-12-04,1512345600,6.08,6.13,5.99,5.99,14200
2017-12-05,1512432000,6.03,6.03,5.9,5.9,20000
2017-12-06,1512518400,5.94,5.94,5.8,5.8,8800
2017-12-07,1512604800,5.85,5.99,5.8,5.8,16900
2017-12-08,1512691200,5.9,5.9,5.71,5.71,6800
2017-12-11,1512950400,5.76,5.8,5.67,5.67,8600
2017-12-12,1513036800,5.71,5.94,5.71,5.71,11500
2017-12-13,1513123200,5.85,5.85,5.62,5.8,20100
2017-12-14,1513209600,5.8,6.02,5.71,5.76,12100
2017-12-15,1513296000,5.8,6.17,5.71,5.9,94700
2017-12-18,1513555200,5.94,6.03,5.85,5.9,18700
2017-12-19,1513641600,5.99,5.99,5.8,5.85,9200
2017-12-20,1513728000,5.94,6.13,5.85,6.03,5400
2017-12-21,1513814400,6.13,6.17,5.9,5.94,16400
2017-12-22,1513900800,5.8,5.85,5.71,5.71,26700
2017-12-26,1514246400,5.67,5.76,5.67,5.71,7500
2017-12-27,1514332800,5.76,5.76,5.46,5.48,48600
2017-12-28,1514419200,5.3,5.62,5.3,5.62,37400
2017-12-29,1514505600,5.57,5.62,5.48,5.48,50100
2018-01-02,1514851200,5.53,5.67,5.53,5.57,25400
2018-01-03,1514937600,5.57,5.62,5.57,5.62,13100
2018-01-04,1515024000,5.62,5.62,5.57,5.62,10800
2018-01-05,1515110400,5.62,5.67,5.53,5.62,9000
2018-01-08,1515369600,5.62,5.67,5.62,5.67,3000
2018-01-09,1515456000,5.62,5.8,5.62,5.62,8400
2018-01-10,1515542400,5.67,5.67,5.57,5.67,4000
2018-01-11,1515628800,5.67,5.71,5.67,5.71,5800
2018-01-12,1515715200,5.71,5.76,5.67,5.76,9000
2018-01-16,1516060800,5.76,5.8,5.57,5.67,13300
2018-01-17,1516147200,5.62,5.8,5.62,5.76,6800
2018-01-18,1516233600,5.71,5.76,5.67,5.67,4700
2018-01-19,1516320000,5.67,5.71,5.62,5.67,17300
2018-01-22,1516579200,5.71,5.71,5.62,5.71,9800
2018-01-23,1516665600,5.71,5.76,5.67,5.76,6200
2018-01-24,1516752000,5.67,5.8,5.67,5.67,9200
2018-01-25,1516838400,5.76,5.85,5.62,5.67,18100
2018-01-26,1516924800,5.85,5.85,5.67,5.76,50800
2018-01-29,1517184000,5.76,5.76,5.62,5.67,12400
2018-01-30,1517270400,5.67,5.76,5.62,5.76,9400
2018-01-31,1517356800,5.76,5.76,5.67,5.67,9700
2018-02-01,1517443200,5.62,5.62,5.53,5.62,17500
2018-02-02,1517529600,5.57,5.57,5.48,5.48,18600
2018-02-05,1517788800,5.44,5.44,5.02,5.02,35700
2018-02-06,1517875200,4.93,5.25,4.93,5.21,33200
2018-02-07,1517961600,5.49,5.49,5.25,5.3,11400
2018-02-08,1518048000,5.3,5.51,5.21,5.25,25600
2018-02-09,1518134400,5.34,5.39,5.07,5.25,18700
2018-02-12,1518393600,5.21,5.39,5.21,5.39,12300
2018-02-13,1518480000,5.39,5.62,5.25,5.39,18900
2018-02-14,1518566400,5.3,5.46,5.3,5.34,33100
2018-02-15,1518652800,5.53,5.62,5.44,5.48,14300
2018-02-16,1518739200,5.44,5.71,5.3,5.39,9300
2018-02-20,1519084800,5.34,5.44,5.34,5.44,23900
2018-02-21,1519171200,5.48,5.57,5.25,5.34,18000
2018-02-22,1519257600,5.42,5.52,5.39,5.44,14500
2018-02-23,1519344000,5.21,5.39,5.21,5.39,5300
2018-02-26,1519603200,5.39,5.44,5.3,5.39,6100
2018-02-27,1519689600,5.52,5.53,5.44,5.53,7700
2018-02-28,1519776000,5.53,5.53,5.25,5.3,35000
2018-03-01,1519862400,5.25,5.44,5.25,5.34,10700
2018-03-02,1519948800,5.53,5.57,5.44,5.48,14900
2018-03-05,1520208000,5.48,5.9,5.44,5.53,23300
2018-03-06,1520294400,5.57,5.71,5.48,5.53,30500
2018-03-07,1520380800,5.53,5.8,5.53,5.53,39100
2018-03-08,1520467200,5.57,5.62,5.44,5.48,26000
2018-03-09,1520553600,5.53,5.67,5.53,5.67,6400
2018-03-12,1520812800,5.71,5.76,5.57,5.71,5000
2018-03-13,1520899200,5.71,5.76,5.53,5.57,16500
2018-03-14,1520985600,5.62,5.94,5.53,5.62,48800
2018-03-15,1521072000,5.71,5.8,5.57,5.57,24600
2018-03-16,1521158400,5.71,6.19,5.57,5.9,108200
2018-03-19,1521417600,6.4,6.4,5.9,5.9,30600
2018-03-20,1521504000,5.85,6.17,5.85,5.9,36700
2018-03-21,1521590400,5.94,5.99,5.9,5.99,15300
2018-03-22,1521676800,5.94,5.94,5.9,5.94,7100
2018-03-23,1521763200,5.88,5.88,5.53,5.69,59500
2018-03-26,1522022400,5.74,5.97,5.69,5.83,22400
2018-03-27,1522108800,5.92,6.04,5.78,5.78,37100
2018-03-28,1522195200,5.83,6.34,5.74,5.78,24300
2018-03-29,1522281600,5.88,5.92,5.78,5.88,15000
2018-04-02,1522627200,5.92,5.92,5.69,5.74,18500
2018-04-03,1522713600,5.83,5.97,5.83,5.83,20400
2018-04-04,1522800000,5.83,5.97,5.83,5.88,7900
2018-04-05,1522886400,5.97,5.97,5.65,5.65,23100
2018-04-06,1522972800,5.65,5.92,5.65,5.78,16400
2018-04-09,1523232000,5.78,5.97,5.65,5.69,20800
2018-04-10,1523318400,5.74,5.92,5.74,5.83,16300
2018-04-11,1523404800,5.78,6.02,5.78,5.92,28200
2018-04-12,1523491200,5.9,6.06,5.88,5.92,59600
2018-04-13,1523577600,5.92,6.02,5.91,5.97,29600
2018-04-16,1523836800,5.92,5.92,5.83,5.88,19700
2018-04-17,1523923200,5.92,5.97,5.92,5.92,24700
2018-04-18,1524009600,5.92,5.97,5.88,5.92,19900
2018-04-19,1524096000,5.97,5.97,5.92,5.92,39700
2018-04-20,1524182400,5.88,6.02,5.87,5.92,36100
2018-04-23,1524441600,5.78,5.78,5.51,5.6,47900
2018-04-24,1524528000,5.6,5.65,5.41,5.41,54600
2018-04-25,1524614400,5.46,5.55,5.41,5.46,52000
2018-04-26,1524700800,5.41,5.52,5.41,5.46,31900
2018-04-27,1524787200,5.37,5.69,5.37,5.65,81200
2018-04-30,1525046400,5.65,5.92,5.65,5.88,49300
2018-05-01,1525132800,5.88,5.92,5.88,5.92,3800
2018-05-02,1525219200,5.86,5.92,5.78,5.78,31000
2018-05-03,1525305600,5.83,5.92,5.83,5.92,19300
2018-05-04,1525392000,5.88,5.95,5.88,5.92,30100
2018-05-07,1525651200,5.92,6.06,5.92,5.92,124100
2018-05-08,1525737600,5.83,6.01,5.83,5.92,47400
2018-05-09,1525824000,5.97,5.97,5.88,5.88,28100
2018-05-10,1525910400,5.83,5.92,5.83,5.92,5000
2018-05-11,1525996800,5.92,6.02,5.88,5.92,23700
2018-05-14,1526256000,5.92,6.0,5.88,5.88,20900
2018-05-15,1526342400,5.92,5.97,5.83,5.91,31000
2018-05-16,1526428800,5.92,6.29,5.92,6.11,92900
2018-05-17,1526515200,6.16,6.25,6.06,6.16,70300
2018-05-18,1526601600,6.23,6.28,6.14,6.17,85500
2018-05-21,1526860800,6.19,6.28,6.09,6.19,45400
2018-05-22,1526947200,6.14,6.23,6.09,6.09,63200
2018-05-23,1527033600,6.05,6.26,6.05,6.19,90400
2018-05-24,1527120000,6.14,6.28,6.14,6.19,224600
2018-05-25,1527206400,6.14,6.28,6.14,6.28,97900
2018-05-29,1527552000,6.19,6.28,6.19,6.28,94000
2018-05-30,1527638400,6.28,6.28,6.19,6.19,64400
2018-05-31,1527724800,6.23,6.23,6.14,6.14,54700
2018-06-01,1527811200,6.14,6.23,6.09,6.23,82000
2018-06-04,1528070400,6.23,6.28,6.14,6.14,148200
2018-06-05,1528156800,6.14,6.28,6.14,6.23,52700
2018-06-06,1528243200,6.19,6.28,6.0,6.0,95900
2018-06-07,1528329600,6.0,6.19,6.0,6.09,44100
2018-06-08,1528416000,6.14,6.23,6.0,6.05,37700
2018-06-11,1528675200,6.05,6.23,6.0,6.09,35000
2018-06-12,1528761600,6.09,6.28,6.05,6.14,61400
2018-06-13,1528848000,6.14,6.19,6.14,6.14,59700
2018-06-14,1528934400,6.19,6.28,6.0,6.0,108400
2018-06-15,1529020800,6.14,6.19,6.0,6.09,93300
2018-06-18,1529280000,6.05,6.28,6.05,6.14,64400
2018-06-19,1529366400,6.14,6.28,6.14,6.19,83500
2018-06-20,1529452800,6.23,6.28,6.17,6.23,99300
2018-06-21,1529539200,6.19,6.37,6.19,6.19,113600
2018-06-22,1529625600,6.23,6.42,6.22,6.33,397700
2018-06-25,1529884800,6.23,6.37,6.09,6.23,62500
2018-06-26,1529971200,6.23,6.42,6.23,6.33,83000
2018-06-27,1530057600,6.33,6.42,6.31,6.33,39700
2018-06-28,1530144000,6.33,6.42,6.33,6.37,40200
2018-06-29,1530230400,6.33,6.42,6.23,6.33,81500
2018-07-02,1530489600,6.37,6.51,6.37,6.51,154300
2018-07-03,1530576000,6.51,6.56,6.42,6.47,90400
2018-07-05,1530748800,6.51,6.56,6.42,6.47,89200
2018-07-06,1530835200,6.51,6.61,6.5,6.56,63100
2018-07-09,1531094400,6.56,6.56,6.37,6.47,93000
2018-07-10,1531180800,6.56,6.61,6.37,6.37,72000
2018-07-11,1531267200,6.49,6.51,6.37,6.42,64300
2018-07-12,1531353600,6.51,6.51,6.37,6.42,26300
2018-07-13,1531440000,6.42,6.51,6.37,6.51,39700
2018-07-16,1531699200,6.51,6.51,6.37,6.47,21800
2018-07-17,1531785600,6.47,6.47,6.37,6.37,31600
2018-07-18,1531872000,6.37,6.42,6.37,6.37,19600
2018-07-19,1531958400,6.37,6.42,6.37,6.37,18500
2018-07-20,1532044800,6.33,6.42,6.33,6.37,22100
2018-07-23,1532304000,6.33,6.42,6.33,6.42,22500
2018-07-24,1532390400,6.37,6.42,6.37,6.37,34800
2018-07-25,1532476800,6.37,6.42,6.33,6.33,32900
2018-07-26,1532563200,6.37,6.42,6.33,6.37,36000
2018-07-27,1532649600,6.33,6.37,6.23,6.28,67100
2018-07-30,1532908800,6.23,6.42,6.23,6.28,59600
2018-07-31,1532995200,6.33,6.42,6.28,6.33,42000
2018-08-01,1533081600,6.28,6.33,6.14,6.23,77700
2018-08-02,1533168000,6.25,6.37,6.19,6.28,184200
2018-08-03,1533254400,6.23,6.39,5.95,6.0,56600
2018-08-06,1533513600,6.05,6.28,6.0,6.05,49900
2018-08-07,1533600000,6.33,6.33,6.0,6.14,31600
2018-08-08,1533686400,6.09,6.14,6.0,6.0,14300
2018-08-09,1533772800,6.0,6.4,5.95,6.23,140500
2018-08-10,1533859200,6.28,6.37,6.09,6.19,67500
2018-08-13,1534118400,6.23,6.33,6.12,6.14,62900
2018-08-14,1534204800,6.14,6.23,6.14,6.19,57200
