Date,Time,Open,High,Low,Close,Volume
2017-01-03,1483401600,7.69,8.05,7.66,8.04,1144200
2017-01-04,1483488000,8.13,8.27,8.04,8.24,916900
2017-01-05,1483574400,8.24,8.4,8.02,8.31,1404600
2017-01-06,1483660800,8.37,8.37,8.08,8.22,1029700
2017-01-09,1483920000,8.14,8.21,7.94,8.09,502300
2017-01-10,1484006400,8.12,8.2,7.9,7.94,573000
2017-01-11,1484092800,7.98,8.29,7.98,8.26,1268300
2017-01-12,1484179200,8.3,8.42,8.1,8.3,656600
2017-01-13,1484265600,8.26,8.54,8.24,8.4,1073100
2017-01-17,1484611200,8.56,8.71,8.45,8.56,1421400
2017-01-18,1484697600,8.45,8.78,8.25,8.78,1191500
2017-01-19,1484784000,8.75,8.95,8.63,8.89,1077800
2017-01-20,1484870400,8.96,9.57,8.96,9.48,2116400
2017-01-23,1485129600,9.43,9.61,9.27,9.41,1650900
2017-01-24,1485216000,9.51,9.94,9.3,9.93,1849100
2017-01-25,1485302400,9.87,10.74,9.83,10.66,3290700
2017-01-26,1485388800,10.74,11.04,9.75,9.91,2787700
2017-01-27,1485475200,9.87,10.18,9.79,10.03,1139800
2017-01-30,1485734400,9.96,9.96,9.32,9.41,1625600
2017-01-31,1485820800,9.52,9.54,9.24,9.43,1048000
2017-02-01,1485907200,9.53,9.75,9.35,9.55,1236600
2017-02-02,1485993600,9.52,9.53,9.18,9.3,1006500
2017-02-03,1486080000,9.28,9.56,9.26,9.53,1379700
2017-02-06,1486339200,9.53,9.62,9.38,9.42,856200
2017-02-07,1486425600,9.4,9.59,9.16,9.3,1291900
2017-02-08,1486512000,9.2,9.27,8.91,9.24,1272700
2017-02-09,1486598400,9.24,9.43,9.24,9.32,663400
2017-02-10,1486684800,9.55,9.56,9.21,9.5,778900
2017-02-13,1486944000,9.49,9.7,9.39,9.61,1061600
2017-02-14,1487030400,9.6,9.94,9.6,9.93,1030200
2017-02-15,1487116800,9.83,10.08,9.83,9.96,987400
2017-02-16,1487203200,9.85,10.0,9.56,9.6,1027100
2017-02-17,1487289600,9.5,9.6,9.44,9.54,686300
2017-02-21,1487635200,9.75,10.44,9.65,10.38,2296100
2017-02-22,1487721600,10.1,10.46,10.05,10.2,1806200
2017-02-23,1487808000,9.47,10.03,8.27,9.79,6037100
2017-02-24,1487894400,9.66,9.66,9.26,9.3,2130200
2017-02-27,1488153600,9.21,9.63,9.19,9.33,1470700
2017-02-28,1488240000,9.13,9.41,9.13,9.21,1215100
2017-03-01,1488326400,9.37,9.61,9.3,9.43,1177000
2017-03-02,1488412800,9.27,9.47,9.26,9.27,922400
2017-03-03,1488499200,9.26,9.57,9.19,9.48,604700
2017-03-06,1488758400,9.39,9.6,9.39,9.55,758900
2017-03-07,1488844800,9.57,9.62,9.3,9.37,666500
2017-03-08,1488931200,9.29,9.48,9.04,9.05,1165500
2017-03-09,1489017600,8.98,9.08,8.65,8.89,1930300
2017-03-10,1489104000,8.82,9.02,8.67,8.9,989600
2017-03-13,1489363200,8.86,9.05,8.64,8.7,1053000
2017-03-14,1489449600,8.51,8.52,8.16,8.24,1856000
2017-03-15,1489536000,8.31,8.44,8.22,8.42,1343600
2017-03-16,1489622400,8.46,8.53,8.37,8.49,526200
2017-03-17,1489708800,8.5,8.65,8.45,8.48,1219000
2017-03-20,1489968000,8.35,8.69,8.35,8.56,625200
2017-03-21,1490054400,8.61,8.74,8.29,8.43,1141700
2017-03-22,1490140800,8.35,8.46,8.24,8.39,1538000
2017-03-23,1490227200,8.34,8.68,8.3,8.53,1086600
2017-03-24,1490313600,8.58,8.74,8.48,8.61,1065100
2017-03-27,1490572800,8.42,8.56,8.18,8.27,1741000
2017-03-28,1490659200,8.31,8.63,8.31,8.54,1666000
2017-03-29,1490745600,8.54,8.87,8.54,8.79,1150100
2017-03-30,1490832000,8.86,8.98,8.72,8.82,876900
2017-03-31,1490918400,8.76,8.84,8.58,8.58,875300
2017-04-03,1491177600,8.62,8.69,8.47,8.59,708000
2017-04-04,1491264000,8.6,8.69,8.48,8.6,637200
2017-04-05,1491350400,8.76,8.88,8.48,8.51,926100
2017-04-06,1491436800,8.62,8.92,8.5,8.81,1224600
2017-04-07,1491523200,8.75,8.86,8.68,8.76,598900
2017-04-10,1491782400,8.82,9.34,8.78,9.29,1721600
2017-04-11,1491868800,9.3,9.49,9.18,9.36,919500
2017-04-12,1491955200,9.29,9.33,9.0,9.06,662100
2017-04-13,1492041600,9.0,9.13,8.69,8.74,691100
2017-04-17,1492387200,8.76,8.8,8.61,8.71,742500
2017-04-18,1492473600,8.65,8.78,8.58,8.7,674400
2017-04-19,1492560000,8.73,8.87,8.39,8.44,763200
2017-04-20,1492646400,8.5,8.54,8.39,8.39,1294800
2017-04-21,1492732800,8.39,8.45,8.21,8.23,1236700
2017-04-24,1492992000,8.36,8.4,8.14,8.22,1113100
2017-04-25,1493078400,8.29,8.39,8.15,8.28,1001400
2017-04-26,1493164800,8.22,8.35,8.17,8.19,1107700
2017-04-27,1493251200,8.11,8.23,7.77,8.02,2298200
2017-04-28,1493337600,8.1,8.2,8.03,8.14,1687000
2017-05-01,1493596800,8.18,8.28,7.79,7.79,1525900
2017-05-02,1493683200,7.86,7.93,7.43,7.43,1746000
2017-05-03,1493769600,7.56,7.68,7.35,7.46,1504600
2017-05-04,1493856000,7.33,7.44,7.09,7.15,1863500
2017-05-05,1493942400,7.14,7.39,7.08,7.32,1924000
2017-05-08,1494201600,7.33,7.4,7.14,7.24,1311600
2017-05-09,1494288000,7.22,7.24,7.06,7.17,1580800
2017-05-10,1494374400,7.26,7.39,7.22,7.23,923600
2017-05-11,1494460800,7.28,7.29,7.06,7.09,1320500
2017-05-12,1494547200,7.07,7.21,6.99,7.03,1102400
2017-05-15,1494806400,7.28,7.31,7.06,7.16,1858100
2017-05-16,1494892800,7.15,7.23,6.93,7.0,2071100
2017-05-17,1494979200,6.99,7.13,6.81,6.86,1663900
2017-05-18,1495065600,6.38,6.78,6.02,6.09,4991100
2017-05-19,1495152000,6.21,6.52,5.96,6.1,4248600
2017-05-22,1495411200,6.14,6.44,6.1,6.32,2170000
2017-05-23,1495497600,6.32,6.39,6.09,6.13,1683900
2017-05-24,1495584000,6.13,6.15,5.87,5.94,2293700
2017-05-25,1495670400,5.87,5.98,5.72,5.86,2745600
2017-05-26,1495756800,5.86,6.27,5.85,6.14,2128300
2017-05-30,1496102400,6.14,6.16,5.76,5.76,3602900
2017-05-31,1496188800,5.71,5.87,5.67,5.77,1992000
2017-06-01,1496275200,5.79,6.25,5.76,6.23,2027600
2017-06-02,1496361600,6.28,6.28,5.95,6.06,1529400
2017-06-05,1496620800,6.03,6.1,5.87,5.89,1483800
2017-06-06,1496707200,5.87,6.14,5.85,6.13,1422400
2017-06-07,1496793600,6.08,6.23,5.9,6.04,1631200
2017-06-08,1496880000,6.01,6.21,5.98,6.06,1153200
2017-06-09,1496966400,4.95,5.89,4.93,5.83,6773200
2017-06-12,1497225600,5.9,6.06,5.54,5.56,2415300
2017-06-13,1497312000,5.62,5.83,5.49,5.78,2244400
2017-06-14,1497398400,5.69,5.73,5.33,5.36,2845400
2017-06-15,1497484800,5.33,5.39,4.97,5.13,2573300
2017-06-16,1497571200,5.11,5.25,5.01,5.2,4275900
2017-06-19,1497830400,5.22,5.25,5.02,5.16,2005700
2017-06-20,1497916800,5.05,5.27,5.0,5.02,3022300
2017-06-21,1498003200,4.99,5.18,4.85,4.97,2370000
2017-06-22,1498089600,5.12,5.58,5.01,5.44,4978700
2017-06-23,1498176000,5.55,5.97,5.38,5.9,4396700
2017-06-26,1498435200,6.13,6.13,5.69,5.91,3690600
2017-06-27,1498521600,5.98,6.29,5.94,6.08,2470000
2017-06-28,1498608000,6.14,6.35,6.1,6.31,2155600
2017-06-29,1498694400,6.47,6.72,6.19,6.38,3828400
2017-06-30,1498780800,6.52,6.69,6.29,6.3,2167500
2017-07-03,1499040000,6.43,7.56,6.42,7.37,4595300
