Date,Time,Open,High,Low,Close,Volume
2017-01-03,1483401600,20.18,20.91,20.18,20.87,121220
2017-01-04,1483488000,21.04,21.64,20.91,21.56,165220
2017-01-05,1483574400,21.69,22.12,21.6,21.69,112020
2017-01-06,1483660800,21.69,21.86,21.0,21.64,111700
2017-01-09,1483920000,21.47,21.77,21.39,21.56,78080
2017-01-10,1484006400,21.47,21.73,21.47,21.73,89740
2017-01-11,1484092800,21.82,22.07,21.47,21.73,100380
2017-01-12,1484179200,21.69,22.03,21.43,21.9,78540
2017-01-13,1484265600,21.26,21.95,21.0,21.13,137360
2017-01-17,1484611200,21.47,21.69,20.87,21.43,100980
2017-01-18,1484697600,21.34,21.52,21.09,21.3,64180
2017-01-19,1484784000,21.43,21.69,21.22,21.52,91500
2017-01-20,1484870400,21.73,21.82,21.47,21.64,87840
2017-01-23,1485129600,21.47,21.6,20.79,20.83,98700
2017-01-24,1485216000,21.04,21.26,20.57,21.17,82960
2017-01-25,1485302400,20.96,21.17,20.66,21.0,79520
2017-01-26,1485388800,21.04,21.26,20.66,20.79,67520
2017-01-27,1485475200,20.61,20.91,20.4,20.53,73920
2017-01-30,1485734400,20.4,20.49,19.84,20.14,87940
2017-01-31,1485820800,20.14,20.36,19.88,20.31,55640
2017-02-01,1485907200,20.1,20.4,20.06,20.36,70440
2017-02-02,1485993600,20.36,20.44,19.97,20.18,95700
2017-02-03,1486080000,20.14,20.31,20.01,20.14,49740
2017-02-06,1486339200,20.14,20.18,19.88,20.01,71140
2017-02-07,1486425600,20.01,20.18,19.84,20.1,70780
2017-02-08,1486512000,19.8,20.1,19.63,20.06,100960
2017-02-09,1486598400,19.97,20.27,19.84,19.88,50380
2017-02-10,1486684800,20.06,20.53,19.93,20.49,82860
2017-02-13,1486944000,20.49,21.09,20.36,20.4,79540
2017-02-14,1487030400,20.4,20.87,20.23,20.7,75360
2017-02-15,1487116800,20.61,20.7,20.31,20.44,40440
2017-02-16,1487203200,20.4,20.44,20.01,20.27,42260
2017-02-17,1487289600,20.27,20.61,20.01,20.53,51540
2017-02-21,1487635200,21.0,21.0,20.49,20.87,95720
2017-02-22,1487721600,20.61,20.83,20.4,20.57,50740
2017-02-23,1487808000,20.61,20.61,20.14,20.36,70940
2017-02-24,1487894400,20.27,20.31,19.84,20.01,64020
2017-02-27,1488153600,19.97,20.31,19.76,19.84,64540
2017-02-28,1488240000,19.8,20.14,19.67,19.88,82380
2017-03-01,1488326400,19.93,20.31,19.88,20.1,58440
2017-03-02,1488412800,19.93,20.4,19.8,19.88,53620
2017-03-03,1488499200,19.97,20.18,19.76,20.06,38900
2017-03-06,1488758400,19.8,19.8,18.55,19.5,119940
2017-03-07,1488844800,19.41,19.41,18.77,19.07,104560
2017-03-08,1488931200,18.9,19.58,18.77,18.9,49120
2017-03-09,1489017600,18.9,18.98,18.68,18.85,63460
2017-03-10,1489104000,18.9,19.45,18.85,19.15,38000
2017-03-13,1489363200,19.24,19.45,18.85,18.9,47220
2017-03-14,1489449600,18.81,19.11,18.55,18.9,59860
2017-03-15,1489536000,18.98,19.2,18.72,19.11,67920
2017-03-16,1489622400,19.11,20.18,19.07,20.1,75120
2017-03-17,1489708800,20.96,21.09,20.27,21.0,293620
2017-03-20,1489968000,21.22,21.26,20.53,20.74,102180
2017-03-21,1490054400,21.04,21.04,19.93,20.01,69680
2017-03-22,1490140800,20.1,20.18,19.41,19.67,67520
