Date,Time,Open,High,Low,Close,Volume
2017-01-03,1483401600,8.8,9.08,8.68,8.78,91200
2017-01-04,1483488000,8.74,9.0,8.74,8.8,100500
2017-01-05,1483574400,8.81,9.06,8.73,8.88,95000
2017-01-06,1483660800,8.92,9.11,8.82,9.05,166500
2017-01-09,1483920000,9.07,9.34,9.0,9.28,310200
2017-01-10,1484006400,9.29,9.35,9.2,9.3,107400
2017-01-11,1484092800,9.29,9.5,9.28,9.4,118400
2017-01-12,1484179200,9.56,9.6,9.23,9.38,130900
2017-01-13,1484265600,9.37,9.4,9.11,9.13,97000
2017-01-17,1484611200,9.13,9.37,8.97,9.17,150500
2017-01-18,1484697600,9.21,9.21,9.0,9.1,175300
2017-01-19,1484784000,8.85,9.16,8.85,9.0,359700
2017-01-20,1484870400,9.05,9.18,8.97,9.06,148600
2017-01-23,1485129600,9.03,9.14,8.97,9.07,76000
2017-01-24,1485216000,9.12,9.3,9.02,9.27,102200
2017-01-25,1485302400,9.32,9.36,9.15,9.25,100900
2017-01-26,1485388800,9.25,9.28,9.0,9.05,175200
2017-01-27,1485475200,9.09,9.22,8.99,9.0,111800
2017-01-30,1485734400,9.0,9.06,8.86,9.04,235600
2017-01-31,1485820800,9.03,9.13,8.98,9.06,98900
2017-02-01,1485907200,9.1,9.15,8.97,9.04,67700
2017-02-02,1485993600,9.0,9.1,8.98,9.02,88100
2017-02-03,1486080000,9.01,9.12,9.01,9.08,50400
2017-02-06,1486339200,9.1,9.11,8.88,9.05,123400
2017-02-07,1486425600,9.13,9.14,8.94,9.02,112800
2017-02-08,1486512000,9.08,9.13,9.03,9.08,86100
2017-02-09,1486598400,9.05,9.19,9.05,9.13,162500
2017-02-10,1486684800,9.16,9.16,9.04,9.07,104700
2017-02-13,1486944000,9.12,9.12,9.0,9.03,85600
2017-02-14,1487030400,8.99,9.02,8.6,8.79,419500
2017-02-15,1487116800,8.74,8.99,8.63,8.87,148600
2017-02-16,1487203200,8.84,9.02,8.84,9.0,141900
2017-02-17,1487289600,8.95,9.01,8.87,8.89,124500
2017-02-21,1487635200,8.6,8.9,8.5,8.54,308800
2017-02-22,1487721600,8.57,8.73,8.57,8.71,170500
2017-02-23,1487808000,8.84,8.85,8.5,8.51,51400
2017-02-24,1487894400,8.91,8.95,8.62,8.67,88100
2017-02-27,1488153600,8.71,8.8,8.53,8.72,213800
2017-02-28,1488240000,8.5,8.58,8.08,8.33,632400
2017-03-01,1488326400,8.43,8.51,8.1,8.28,375600
2017-03-02,1488412800,8.25,8.36,8.12,8.2,151800
2017-03-03,1488499200,8.03,8.2,8.03,8.17,166400
2017-03-06,1488758400,8.16,8.16,7.69,7.79,591200
2017-03-07,1488844800,7.8,8.27,7.8,8.26,300000
2017-03-08,1488931200,8.24,8.34,8.23,8.27,164600
2017-03-09,1489017600,8.22,8.36,8.13,8.26,101600
2017-03-10,1489104000,8.31,8.52,8.2,8.51,166400
2017-03-13,1489363200,8.42,8.53,8.26,8.39,183300
2017-03-14,1489449600,8.33,8.57,8.28,8.4,131200
2017-03-15,1489536000,8.38,8.67,8.31,8.57,149500
2017-03-16,1489622400,8.59,8.67,8.37,8.56,214600
2017-03-17,1489708800,8.56,8.62,8.45,8.57,139600
2017-03-20,1489968000,8.6,8.64,8.39,8.5,151800
2017-03-21,1490054400,8.5,8.54,8.2,8.23,175200
2017-03-22,1490140800,8.21,8.41,8.15,8.36,129200
2017-03-23,1490227200,8.38,8.62,8.32,8.53,159600
2017-03-24,1490313600,8.59,8.85,8.58,8.72,239800
2017-03-27,1490572800,8.63,8.67,8.38,8.53,147400
2017-03-28,1490659200,8.55,8.8,8.45,8.63,185600
2017-03-29,1490745600,8.53,8.67,8.51,8.67,181200
2017-03-30,1490832000,8.66,8.76,8.47,8.64,107500
2017-03-31,1490918400,8.55,8.85,8.55,8.76,103900
2017-04-03,1491177600,8.77,8.86,8.5,8.51,493000
2017-04-04,1491264000,8.51,8.52,8.26,8.3,158700
2017-04-05,1491350400,8.33,8.49,8.23,8.3,220600
2017-04-06,1491436800,8.26,8.32,8.23,8.29,168900
2017-04-07,1491523200,8.26,8.5,8.26,8.35,140800
2017-04-10,1491782400,8.32,8.45,8.32,8.4,85500
2017-04-11,1491868800,8.4,8.4,8.19,8.26,124500
2017-04-12,1491955200,8.28,8.34,8.18,8.25,139600
2017-04-13,1492041600,8.2,8.2,7.97,8.01,248400
2017-04-17,1492387200,8.05,8.19,8.01,8.08,126600
2017-04-18,1492473600,8.09,8.25,8.0,8.17,124500
2017-04-19,1492560000,8.24,8.32,8.15,8.27,138500
2017-04-20,1492646400,8.29,8.29,7.97,8.02,477300
2017-04-21,1492732800,8.01,8.22,8.0,8.13,157100
2017-04-24,1492992000,8.17,8.3,8.05,8.05,121200
2017-04-25,1493078400,8.14,8.25,8.05,8.2,239800
2017-04-26,1493164800,8.25,8.25,8.09,8.11,247400
2017-04-27,1493251200,8.17,8.25,8.13,8.2,160800
2017-04-28,1493337600,8.14,8.26,8.14,8.18,117200
2017-05-01,1493596800,8.18,8.27,8.02,8.2,171900
2017-05-02,1493683200,8.19,8.23,8.17,8.2,212500
2017-05-03,1493769600,8.18,8.22,8.1,8.19,129000
2017-05-04,1493856000,8.2,8.22,8.14,8.18,108300
2017-05-05,1493942400,8.16,8.16,8.07,8.08,51300
2017-05-08,1494201600,8.1,8.17,8.08,8.11,33700
2017-05-09,1494288000,8.18,8.23,8.0,8.18,213100
2017-05-10,1494374400,8.25,8.26,8.03,8.15,104700
2017-05-11,1494460800,8.1,8.25,8.01,8.2,118900
2017-05-12,1494547200,8.18,8.27,8.17,8.18,129300
2017-05-15,1494806400,8.16,8.25,8.13,8.16,146600
2017-05-16,1494892800,8.16,8.23,8.1,8.2,241800
2017-05-17,1494979200,8.16,8.25,8.1,8.2,143500
2017-05-18,1495065600,8.17,8.24,8.1,8.17,147000
2017-05-19,1495152000,8.16,8.28,8.1,8.1,267300
2017-05-22,1495411200,8.16,8.25,8.09,8.19,275200
2017-05-23,1495497600,8.25,8.34,8.11,8.12,276400
