Date,Time,Open,High,Low,Close,Volume
2017-01-03,1483401600,279.6,282.91,276.77,281.27,15800
2017-01-04,1483488000,281.65,289.24,280.12,289.24,32900
2017-01-05,1483574400,298.46,307.94,293.86,303.88,51400
2017-01-06,1483660800,303.77,305.12,299.49,300.44,20200
2017-01-09,1483920000,302.3,302.3,299.96,301.92,8400
2017-01-10,1484006400,301.92,304.73,301.92,303.24,12700
2017-01-11,1484092800,303.69,304.1,295.83,298.08,10800
2017-01-12,1484179200,300.07,309.79,291.64,299.83,51100
2017-01-13,1484265600,299.62,309.94,287.12,307.46,41400
2017-01-17,1484611200,309.82,316.23,307.75,312.26,36900
2017-01-18,1484697600,309.43,315.34,305.96,310.76,19300
2017-01-19,1484784000,311.13,314.33,307.57,309.3,9700
2017-01-20,1484870400,309.95,310.76,304.39,306.99,15500
2017-01-23,1485129600,302.12,306.06,298.75,299.41,10900
2017-01-24,1485216000,304.0,304.27,300.02,302.21,5300
2017-01-25,1485302400,300.08,308.88,299.41,304.34,13800
2017-01-26,1485388800,306.0,313.58,298.38,306.53,10100
2017-01-27,1485475200,306.27,306.27,298.55,302.3,9400
2017-01-30,1485734400,297.79,301.55,292.37,299.63,11700
2017-01-31,1485820800,293.11,301.84,282.59,298.1,6200
2017-02-01,1485907200,302.82,302.82,296.77,300.33,5800
2017-02-02,1485993600,300.54,300.54,295.73,297.1,6900
2017-02-03,1486080000,299.49,299.81,295.73,298.32,7800
2017-02-06,1486339200,298.55,300.48,296.69,297.62,5200
2017-02-07,1486425600,297.61,299.75,296.82,298.07,4300
2017-02-08,1486512000,297.61,298.18,292.18,294.52,15800
2017-02-09,1486598400,294.8,299.01,294.8,297.61,11000
2017-02-10,1486684800,299.83,300.06,297.14,299.25,8500
2017-02-13,1486944000,299.49,301.37,297.79,298.75,4400
2017-02-14,1487030400,296.67,297.47,291.04,291.04,12500
2017-02-15,1487116800,291.83,294.46,287.63,288.32,12200
2017-02-16,1487203200,285.19,286.95,280.76,282.43,17900
2017-02-17,1487289600,279.78,285.75,276.96,284.4,19400
2017-02-21,1487635200,286.19,286.19,274.24,277.06,22900
2017-02-22,1487721600,274.37,282.18,274.16,281.7,14400
2017-02-23,1487808000,281.7,285.13,277.9,279.98,6700
2017-02-24,1487894400,278.16,279.77,276.96,279.77,11600
2017-02-27,1488153600,279.77,284.47,279.54,282.41,9300
2017-02-28,1488240000,283.52,283.52,278.51,280.25,9300
2017-03-01,1488326400,279.59,282.59,279.59,279.95,18800
2017-03-02,1488412800,277.57,282.12,277.57,279.3,10600
2017-03-03,1488499200,277.88,280.71,272.74,276.99,19200
2017-03-06,1488758400,277.52,281.65,276.03,281.65,11400
2017-03-07,1488844800,283.53,285.98,280.49,280.49,10600
2017-03-08,1488931200,279.9,279.9,256.69,257.4,49600
2017-03-09,1489017600,259.04,263.11,250.47,259.51,39000
2017-03-10,1489104000,259.62,259.62,248.68,256.78,18800
2017-03-13,1489363200,256.73,269.81,256.69,263.57,24000
2017-03-14,1489449600,261.4,263.09,243.97,251.12,39700
2017-03-15,1489536000,251.11,265.19,246.31,259.46,26200
2017-03-16,1489622400,261.42,261.42,254.31,256.27,10000
2017-03-17,1489708800,257.19,268.42,255.29,265.84,15900
2017-03-20,1489968000,267.05,271.41,263.75,265.7,22300
2017-03-21,1490054400,265.5,267.52,254.81,257.63,25300
2017-03-22,1490140800,255.24,261.3,251.7,258.2,13700
2017-03-23,1490227200,257.39,268.33,251.57,260.82,12900
2017-03-24,1490313600,262.18,267.19,260.82,263.75,13800
