Date,Time,Open,High,Low,Close,Volume
2017-01-03,1483401600,23.8,24.05,23.5,23.7,107300
2017-01-04,1483488000,23.85,24.0,23.55,23.85,353600
2017-01-05,1483574400,23.8,23.9,23.1,23.35,119700
2017-01-06,1483660800,23.4,23.4,23.15,23.25,107300
2017-01-09,1483920000,23.15,23.35,22.85,22.85,166500
2017-01-10,1484006400,22.9,23.3,22.55,23.05,166800
2017-01-11,1484092800,23.0,23.15,22.9,23.0,148300
2017-01-12,1484179200,22.95,22.95,22.25,22.45,82100
2017-01-13,1484265600,21.8,22.65,21.8,22.35,184500
2017-01-17,1484611200,22.25,22.3,21.85,21.85,97500
2017-01-18,1484697600,21.9,22.35,21.8,22.2,86300
2017-01-19,1484784000,22.3,22.4,21.8,21.85,100200
2017-01-20,1484870400,21.9,22.05,21.38,21.6,206400
2017-01-23,1485129600,21.55,21.7,21.15,21.5,125400
2017-01-24,1485216000,21.6,21.8,21.2,21.65,299800
2017-01-25,1485302400,21.9,22.1,21.6,21.6,262200
2017-01-26,1485388800,21.65,21.7,21.45,21.5,105300
2017-01-27,1485475200,21.5,21.75,21.4,21.6,108800
2017-01-30,1485734400,21.5,21.65,21.1,21.45,156800
2017-01-31,1485820800,21.35,21.43,21.0,21.3,117300
2017-02-01,1485907200,22.3,22.35,21.65,21.7,148300
2017-02-02,1485993600,21.65,21.85,21.45,21.7,163700
2017-02-03,1486080000,21.95,22.3,21.5,22.2,145600
2017-02-06,1486339200,22.15,22.4,21.75,21.85,133200
2017-02-07,1486425600,21.9,22.1,21.8,21.85,118100
2017-02-08,1486512000,21.85,22.0,21.6,21.85,174800
2017-02-09,1486598400,21.85,22.2,21.7,22.1,158600
2017-02-10,1486684800,22.2,22.58,21.95,22.5,141000
2017-02-13,1486944000,22.55,22.85,22.25,22.5,140700
2017-02-14,1487030400,22.4,22.6,22.3,22.45,174400
2017-02-15,1487116800,22.4,22.75,22.3,22.65,137100
2017-02-16,1487203200,22.65,23.05,22.6,22.7,149300
2017-02-17,1487289600,22.75,22.85,22.35,22.5,216600
2017-02-21,1487635200,22.6,23.0,22.6,22.95,116300
2017-02-22,1487721600,22.85,22.9,22.6,22.8,77100
2017-02-23,1487808000,22.9,22.95,22.05,22.7,246600
2017-02-24,1487894400,22.55,22.8,22.35,22.8,86500
2017-02-27,1488153600,22.8,23.55,22.6,23.35,246300
2017-02-28,1488240000,23.25,23.35,21.4,22.05,433000
2017-03-01,1488326400,22.6,24.25,22.25,23.0,395000
2017-03-02,1488412800,22.9,23.03,22.43,22.65,248100
2017-03-03,1488499200,22.6,22.7,21.65,21.75,352100
2017-03-06,1488758400,21.45,21.65,20.65,21.5,247400
2017-03-07,1488844800,21.5,21.73,21.2,21.25,188000
2017-03-08,1488931200,21.4,21.5,21.1,21.1,176800
2017-03-09,1489017600,21.0,21.4,20.83,20.95,163500
2017-03-10,1489104000,20.9,21.35,20.83,21.2,119800
2017-03-13,1489363200,21.2,21.4,20.9,21.25,131100
2017-03-14,1489449600,21.1,21.35,21.05,21.2,162700
2017-03-15,1489536000,21.4,21.65,21.25,21.6,121000
2017-03-16,1489622400,21.7,21.75,21.35,21.4,166400
2017-03-17,1489708800,21.3,21.65,21.0,21.4,329900
2017-03-20,1489968000,21.4,21.55,21.1,21.3,183200
2017-03-21,1490054400,21.3,21.6,20.43,20.45,200000
2017-03-22,1490140800,20.5,20.8,20.0,20.3,209000
2017-03-23,1490227200,20.3,20.85,20.1,20.8,217100
2017-03-24,1490313600,20.9,21.0,20.6,20.7,147200
2017-03-27,1490572800,20.6,21.0,20.25,20.9,233400
2017-03-28,1490659200,20.8,21.2,20.58,20.8,176200
2017-03-29,1490745600,20.8,20.95,20.75,20.85,97100
2017-03-30,1490832000,20.9,21.05,20.7,20.9,427700
2017-03-31,1490918400,20.95,20.95,20.63,20.75,335500
