Date,Time,Open,High,Low,Close,Volume
2017-01-03,1483401600,18.5,18.5,17.83,18.1,16300
2017-01-04,1483488000,18.22,18.27,18.08,18.1,15100
2017-01-05,1483574400,18.08,18.47,18.08,18.27,12400
2017-01-06,1483660800,18.15,18.47,18.09,18.1,11500
2017-01-09,1483920000,18.08,18.22,18.08,18.16,19000
2017-01-10,1484006400,18.15,18.34,18.15,18.23,11300
2017-01-11,1484092800,18.25,18.48,18.1,18.41,11000
2017-01-12,1484179200,18.27,18.46,18.1,18.26,12200
2017-01-13,1484265600,18.29,18.32,18.09,18.26,3900
2017-01-17,1484611200,18.13,18.26,18.08,18.1,10100
2017-01-18,1484697600,18.09,18.31,18.09,18.19,14400
2017-01-19,1484784000,18.23,18.23,18.1,18.2,10900
2017-01-20,1484870400,18.2,18.31,18.08,18.31,6200
2017-01-23,1485129600,18.17,18.32,18.1,18.31,3000
2017-01-24,1485216000,18.27,18.71,18.27,18.66,25800
2017-01-25,1485302400,18.66,18.71,18.54,18.55,11500
2017-01-26,1485388800,18.69,18.69,18.59,18.59,1500
2017-01-27,1485475200,18.59,18.72,18.5,18.71,15500
2017-01-30,1485734400,18.66,18.71,18.54,18.54,11600
2017-01-31,1485820800,18.72,18.72,18.63,18.64,5800
2017-02-01,1485907200,18.63,18.72,18.56,18.56,45800
2017-02-02,1485993600,18.67,18.94,18.67,18.92,14600
2017-02-03,1486080000,18.94,18.94,18.89,18.94,6500
2017-02-06,1486339200,18.96,20.23,18.96,19.5,20200
2017-02-07,1486425600,19.4,19.61,19.25,19.49,6700
2017-02-08,1486512000,19.46,19.61,19.31,19.61,13400
2017-02-09,1486598400,19.57,19.71,19.57,19.66,6000
2017-02-10,1486684800,19.7,19.75,19.63,19.65,5600
2017-02-13,1486944000,19.8,19.93,19.74,19.86,6300
2017-02-14,1487030400,19.92,19.93,19.67,19.92,15600
2017-02-15,1487116800,19.93,19.93,19.85,19.92,6800
2017-02-16,1487203200,19.93,19.93,19.74,19.76,14200
2017-02-17,1487289600,19.79,19.98,19.7,19.72,12800
2017-02-21,1487635200,19.92,20.22,19.67,20.21,18700
2017-02-22,1487721600,20.12,20.38,20.12,20.34,12100
2017-02-23,1487808000,19.94,20.38,19.73,20.25,7000
2017-02-24,1487894400,19.98,20.11,18.37,18.96,40100
2017-02-27,1488153600,18.98,19.73,18.98,19.17,13100
2017-02-28,1488240000,19.4,19.4,18.72,18.72,9600
2017-03-01,1488326400,18.88,19.83,18.88,19.35,7200
2017-03-02,1488412800,19.35,19.67,18.81,18.97,3900
