Date,Time,Open,High,Low,Close,Volume
2017-01-03,1483401600,25.12,25.34,24.96,25.17,6280300
2017-01-04,1483488000,25.24,25.3,25.08,25.16,4391800
2017-01-05,1483574400,25.36,25.69,25.35,25.59,4775700
2017-01-06,1483660800,25.54,25.64,25.3,25.45,4878700
2017-01-09,1483920000,25.59,25.89,25.53,25.8,8371700
2017-01-10,1484006400,25.8,26.02,25.68,25.83,7582000
2017-01-11,1484092800,25.58,25.94,25.53,25.91,7467300
2017-01-12,1484179200,25.18,25.65,24.89,25.16,13032200
2017-01-13,1484265600,25.34,25.47,25.1,25.28,9811100
2017-01-17,1484611200,25.43,25.47,25.3,25.44,7679800
2017-01-18,1484697600,25.38,25.49,25.28,25.33,7692800
2017-01-19,1484784000,25.33,25.5,25.24,25.45,8493200
2017-01-20,1484870400,25.44,25.99,25.4,25.83,7399400
2017-01-23,1485129600,26.03,26.19,25.95,26.05,6959800
2017-01-24,1485216000,26.22,26.54,26.2,26.47,7213600
2017-01-25,1485302400,26.71,26.91,26.57,26.89,8025800
2017-01-26,1485388800,26.85,27.01,26.63,26.72,8308700
2017-01-27,1485475200,26.77,26.93,26.62,26.84,5982200
2017-01-30,1485734400,26.68,26.8,26.57,26.79,7253100
2017-01-31,1485820800,26.66,26.76,26.39,26.55,6263100
2017-02-01,1485907200,26.83,26.89,26.49,26.69,5036900
2017-02-02,1485993600,26.38,26.53,26.3,26.44,5794800
2017-02-03,1486080000,26.59,26.69,26.45,26.6,5249100
2017-02-06,1486339200,26.58,26.58,26.37,26.51,3523700
2017-02-07,1486425600,26.55,26.6,26.2,26.21,6209500
2017-02-08,1486512000,26.36,26.37,26.01,26.05,7776600
2017-02-09,1486598400,26.05,26.2,25.91,25.95,8547000
2017-02-10,1486684800,26.14,26.46,26.07,26.38,6749400
2017-02-13,1486944000,26.57,27.31,26.57,27.22,10203800
2017-02-14,1487030400,27.03,27.03,26.72,26.91,5208600
2017-02-15,1487116800,27.05,27.31,27.05,27.27,4577200
2017-02-16,1487203200,27.24,27.9,27.17,27.76,13197100
2017-02-17,1487289600,27.57,27.81,27.5,27.78,7518200
2017-02-21,1487635200,27.82,27.89,27.63,27.77,5475400
2017-02-22,1487721600,27.66,27.66,27.41,27.54,5296200
2017-02-23,1487808000,27.61,27.61,27.25,27.27,5291200
2017-02-24,1487894400,27.15,27.41,27.03,27.41,3687100
2017-02-27,1488153600,27.33,27.33,27.04,27.08,5841900
2017-02-28,1488240000,27.13,27.21,26.97,27.03,6040800
2017-03-01,1488326400,26.99,27.14,26.85,27.12,4910300
2017-03-02,1488412800,26.79,26.83,26.44,26.51,8561100
2017-03-03,1488499200,26.51,26.56,26.23,26.5,6120700
2017-03-06,1488758400,26.45,26.57,26.38,26.5,5467400
2017-03-07,1488844800,26.63,26.97,26.59,26.89,7014000
2017-03-08,1488931200,27.03,27.07,26.8,26.81,4528500
2017-03-09,1489017600,26.53,26.68,26.38,26.61,6120700
2017-03-10,1489104000,26.51,26.69,26.47,26.68,5655300
2017-03-13,1489363200,26.86,27.11,26.83,27.05,3965700
2017-03-14,1489449600,26.95,27.03,26.8,26.8,5967200
2017-03-15,1489536000,26.95,27.51,26.92,27.41,4571400
2017-03-16,1489622400,27.7,27.89,27.66,27.84,6489000
2017-03-17,1489708800,28.0,28.14,27.86,27.99,6199800
2017-03-20,1489968000,28.17,28.44,28.09,28.21,5126700
2017-03-21,1490054400,28.55,28.8,27.86,27.9,9159900
2017-03-22,1490140800,27.97,28.21,27.9,28.08,6713500
2017-03-23,1490227200,27.89,28.05,27.8,27.96,5909900
2017-03-24,1490313600,28.11,28.43,28.01,28.18,5899900
2017-03-27,1490572800,28.21,28.57,28.15,28.49,5661500
2017-03-28,1490659200,28.65,28.71,28.45,28.64,4527000
2017-03-29,1490745600,28.3,28.32,28.14,28.28,4083900
2017-03-30,1490832000,28.2,28.47,28.15,28.4,3890600
2017-03-31,1490918400,28.08,28.29,27.97,28.2,4853500
2017-04-03,1491177600,28.29,28.34,28.09,28.25,4283100
2017-04-04,1491264000,28.17,28.3,28.14,28.22,3756600
2017-04-05,1491350400,28.39,28.63,28.23,28.26,5112900
2017-04-06,1491436800,28.24,28.29,28.11,28.22,3990800
2017-04-07,1491523200,28.22,28.38,28.14,28.23,3366300
2017-04-10,1491782400,28.23,28.23,27.84,27.93,4937100
2017-04-11,1491868800,28.08,28.08,27.47,27.83,6293800
2017-04-12,1491955200,27.89,28.03,27.5,27.72,6136500
2017-04-13,1492041600,27.57,27.87,27.33,27.34,8781700
2017-04-17,1492387200,27.52,27.54,27.29,27.51,6918900
2017-04-18,1492473600,27.28,27.36,27.17,27.3,5468600
2017-04-19,1492560000,27.41,27.44,27.05,27.15,4739200
2017-04-20,1492646400,27.29,27.37,27.17,27.3,4237700
2017-04-21,1492732800,27.56,27.6,27.44,27.55,4530400
2017-04-24,1492992000,27.98,28.17,27.9,28.08,5717000
2017-04-25,1493078400,28.14,28.5,28.13,28.4,5614300
2017-04-26,1493164800,28.39,28.44,28.19,28.34,6027700
2017-04-27,1493251200,28.44,28.6,28.35,28.36,5625600
2017-04-28,1493337600,28.47,28.56,28.38,28.4,5250500
2017-05-01,1493596800,28.48,28.69,28.46,28.69,4015100
2017-05-02,1493683200,28.83,29.19,28.83,29.14,5989300
2017-05-03,1493769600,29.1,29.45,29.06,29.45,6660700
2017-05-04,1493856000,29.36,29.36,29.18,29.32,5697300
2017-05-05,1493942400,29.34,29.58,29.23,29.56,5249800
2017-05-08,1494201600,29.8,30.15,29.74,30.04,6906900
2017-05-09,1494288000,30.17,30.46,30.17,30.41,7297900
2017-05-10,1494374400,30.29,30.6,30.13,30.41,9936700
2017-05-11,1494460800,30.59,30.75,30.38,30.54,6648900
2017-05-12,1494547200,30.49,30.51,30.27,30.38,4905000
2017-05-15,1494806400,30.37,30.39,29.96,30.11,9784700
2017-05-16,1494892800,30.07,30.09,29.89,30.09,6046200
2017-05-17,1494979200,29.89,29.9,29.54,29.56,8128100
2017-05-18,1495065600,29.58,30.05,29.55,29.97,8303700
2017-05-19,1495152000,30.13,30.26,30.01,30.23,7283300
2017-05-22,1495411200,30.39,30.5,30.28,30.4,5914200
2017-05-23,1495497600,30.39,30.48,30.32,30.4,6612800
2017-05-24,1495584000,30.42,30.57,30.35,30.51,7812500
2017-05-25,1495670400,30.63,30.74,30.48,30.55,4514900
2017-05-26,1495756800,30.53,30.56,30.34,30.5,3109800
2017-05-30,1496102400,30.64,30.76,30.47,30.73,4219300
2017-05-31,1496188800,30.33,30.37,30.15,30.37,7663100
2017-06-01,1496275200,30.66,30.85,30.52,30.82,6016100
2017-06-02,1496361600,30.84,31.12,30.79,31.07,5779200
2017-06-05,1496620800,31.4,31.49,31.18,31.25,4819600
2017-06-06,1496707200,31.25,31.42,31.12,31.29,5028000
2017-06-07,1496793600,31.43,31.53,31.25,31.31,6537700
2017-06-08,1496880000,31.56,31.69,31.38,31.63,7593900
2017-06-09,1496966400,31.42,31.52,30.23,30.74,12040100
2017-06-12,1497225600,30.74,30.74,30.07,30.27,11057000
2017-06-13,1497312000,30.46,30.57,30.27,30.54,4969400
2017-06-14,1497398400,30.46,30.72,30.38,30.62,7016400
2017-06-15,1497484800,30.15,30.46,30.07,30.44,4623300
2017-06-16,1497571200,30.81,30.88,30.68,30.81,7432400
2017-06-19,1497830400,31.03,31.23,30.98,31.1,4523700
2017-06-20,1497916800,31.37,31.55,31.02,31.03,4987400
2017-06-21,1498003200,31.1,31.59,31.1,31.53,6329400
2017-06-22,1498089600,31.54,31.71,31.46,31.53,6273400
2017-06-23,1498176000,31.54,31.59,31.38,31.55,5558600
2017-06-26,1498435200,32.32,32.39,31.86,32.04,10127200
2017-06-27,1498521600,31.74,31.74,31.01,31.12,8081100
2017-06-28,1498608000,31.28,31.39,30.82,31.35,8306200
2017-06-29,1498694400,31.24,31.24,30.62,30.87,7332200
2017-06-30,1498780800,30.9,31.12,30.77,31.0,5177500
2017-07-03,1499040000,31.07,31.19,30.89,30.93,4470600
2017-07-05,1499212800,31.11,31.11,30.71,30.88,9222200
2017-07-06,1499299200,30.6,30.72,30.43,30.6,6493700
2017-07-07,1499385600,30.64,30.75,30.58,30.71,7937800
2017-07-10,1499644800,30.69,31.18,30.64,31.04,7779700
2017-07-11,1499731200,31.42,31.42,31.08,31.38,9300800
2017-07-12,1499817600,31.62,31.75,31.48,31.65,9211200
2017-07-13,1499904000,31.45,32.07,31.45,32.06,9943900
2017-07-14,1499990400,32.04,32.24,31.91,32.15,7196600
2017-07-17,1500249600,31.95,31.98,31.61,31.85,4649800
2017-07-18,1500336000,31.82,31.96,31.68,31.81,6185300
2017-07-19,1500422400,31.98,32.3,31.98,32.29,7033800
2017-07-20,1500508800,32.29,32.29,32.0,32.01,6996600
2017-07-21,1500595200,31.98,31.98,31.66,31.79,5023500
2017-07-24,1500854400,32.02,32.12,31.94,32.12,6842100
2017-07-25,1500940800,31.94,32.15,31.9,32.01,5276300
2017-07-26,1501027200,32.01,32.15,31.87,32.12,4342200
2017-07-27,1501113600,32.41,32.47,31.89,32.09,7243100
2017-07-28,1501200000,31.97,31.99,31.66,31.8,3678400
2017-07-31,1501459200,31.95,32.28,31.79,31.89,7757600
2017-08-01,1501545600,31.88,31.92,31.67,31.78,5437300
2017-08-02,1501632000,32.28,32.34,31.8,31.99,6064600
2017-08-03,1501718400,32.02,32.02,31.62,31.74,3919800
2017-08-04,1501804800,31.86,32.0,31.71,31.95,4071400
2017-08-07,1502064000,32.16,32.65,32.16,32.63,4860200
2017-08-08,1502150400,32.56,32.78,32.49,32.55,3301200
2017-08-09,1502236800,32.1,32.34,31.95,32.33,3153700
2017-08-10,1502323200,31.93,31.95,31.34,31.34,5605400
2017-08-11,1502409600,31.5,32.1,31.42,32.05,4291100
2017-08-14,1502668800,31.95,32.01,31.79,31.97,3875600
2017-08-15,1502755200,32.09,32.36,32.01,32.3,3820400
2017-08-16,1502841600,32.1,32.32,32.05,32.23,3232000
2017-08-17,1502928000,32.19,32.23,31.72,31.74,3324000
2017-08-18,1503014400,31.93,32.01,31.58,31.8,3692800
2017-08-21,1503273600,31.85,31.94,31.6,31.91,3588100
2017-08-22,1503360000,32.34,32.52,32.23,32.39,3202300
2017-08-23,1503446400,32.34,32.46,32.25,32.44,2956400
2017-08-24,1503532800,32.62,32.75,32.44,32.66,4544500
2017-08-25,1503619200,32.75,32.87,32.59,32.68,2975200
2017-08-28,1503878400,32.45,32.7,32.43,32.61,2199900
2017-08-29,1503964800,32.39,32.79,32.37,32.71,2997700
2017-08-30,1504051200,32.71,32.88,32.64,32.75,2838900
2017-08-31,1504137600,32.77,32.8,32.55,32.79,4288600
2017-09-01,1504224000,32.81,33.03,32.73,33.01,4100000
2017-09-05,1504569600,33.03,33.17,32.5,32.68,7123000
2017-09-06,1504656000,32.87,33.14,32.81,33.05,4187700
2017-09-07,1504742400,33.03,33.29,32.97,33.29,3597500
2017-09-08,1504828800,33.32,33.42,33.12,33.26,5581800
2017-09-11,1505088000,33.16,33.59,33.12,33.56,6920100
2017-09-12,1505174400,33.57,33.65,33.39,33.58,3524500
2017-09-13,1505260800,33.41,33.51,33.25,33.28,4983400
2017-09-14,1505347200,33.26,33.46,33.14,33.15,5799000
2017-09-15,1505433600,33.27,33.41,33.17,33.39,7245600
2017-09-18,1505692800,33.58,33.81,33.55,33.76,6179600
2017-09-19,1505779200,33.86,34.08,33.82,33.97,6559400
2017-09-20,1505865600,34.02,34.05,33.2,33.54,7961100
2017-09-21,1505952000,33.51,33.99,33.41,33.91,8458000
