Date,Time,Open,High,Low,Close,Volume
2017-01-03,1483401600,738.0,846.0,738.0,837.0,1348
2017-01-04,1483488000,846.0,864.0,810.0,828.0,452
2017-01-05,1483574400,837.0,837.0,810.0,819.0,302
2017-01-06,1483660800,819.0,819.0,792.0,801.0,278
2017-01-09,1483920000,828.0,829.8,783.0,801.0,397
2017-01-10,1484006400,783.0,792.0,765.0,792.0,337
2017-01-11,1484092800,783.0,792.0,756.0,765.0,273
2017-01-12,1484179200,765.0,774.0,729.0,738.0,608
2017-01-13,1484265600,828.0,828.0,775.8,792.0,1322
2017-01-17,1484611200,783.0,801.0,765.0,783.0,361
2017-01-18,1484697600,783.0,792.0,774.0,792.0,221
2017-01-19,1484784000,783.0,797.4,765.0,765.0,309
2017-01-20,1484870400,774.0,792.0,747.0,747.0,446
2017-01-23,1485129600,738.0,765.0,729.0,738.0,318
2017-01-24,1485216000,738.0,756.0,729.0,756.0,386
2017-01-25,1485302400,756.0,765.0,729.0,747.0,391
2017-01-26,1485388800,747.0,759.6,747.0,747.0,201
2017-01-27,1485475200,756.0,756.0,747.0,756.0,251
2017-01-30,1485734400,738.0,756.0,729.0,729.0,396
2017-01-31,1485820800,729.0,801.0,720.0,783.0,587
2017-02-01,1485907200,792.0,801.0,783.0,792.0,268
2017-02-02,1485993600,783.0,788.4,756.0,765.0,277
2017-02-03,1486080000,765.0,774.0,738.0,747.0,367
2017-02-06,1486339200,756.0,756.0,720.0,729.0,592
2017-02-07,1486425600,720.0,729.0,711.0,711.0,776
2017-02-08,1486512000,711.0,727.2,657.0,693.0,905
2017-02-09,1486598400,693.0,747.0,693.0,711.0,907
2017-02-10,1486684800,720.0,720.0,684.0,702.0,424
2017-02-13,1486944000,702.0,720.0,693.0,702.0,215
2017-02-14,1487030400,702.0,720.0,648.0,693.0,1479
2017-02-15,1487116800,693.0,711.0,675.0,711.0,284
2017-02-16,1487203200,711.0,711.0,684.0,684.0,294
2017-02-17,1487289600,693.0,698.4,675.0,675.0,353
2017-02-21,1487635200,675.0,684.0,648.0,657.0,653
2017-02-22,1487721600,657.0,684.0,648.0,648.0,349
2017-02-23,1487808000,666.0,675.0,648.0,657.0,678
2017-02-24,1487894400,657.0,698.4,657.0,675.0,515
2017-02-27,1488153600,675.0,684.0,655.2,684.0,727
2017-02-28,1488240000,675.0,693.0,666.0,675.0,241
2017-03-01,1488326400,684.0,693.0,675.0,675.0,336
2017-03-02,1488412800,684.0,702.0,675.0,693.0,269
2017-03-03,1488499200,702.0,711.0,675.0,684.0,271
2017-03-06,1488758400,684.0,684.0,657.0,666.0,292
2017-03-07,1488844800,666.0,693.0,648.0,657.0,497
2017-03-08,1488931200,657.0,684.0,657.0,657.0,228
2017-03-09,1489017600,675.0,675.0,648.0,657.0,238
2017-03-10,1489104000,648.0,675.0,648.0,657.0,285
2017-03-13,1489363200,657.0,675.0,657.0,657.0,157
2017-03-14,1489449600,666.0,702.0,666.0,684.0,482
2017-03-15,1489536000,693.0,711.0,684.0,711.0,456
2017-03-16,1489622400,657.0,711.0,639.0,684.0,1207
2017-03-17,1489708800,657.0,676.8,648.0,657.0,730
2017-03-20,1489968000,648.0,666.0,639.0,648.0,619
2017-03-21,1490054400,639.0,666.0,621.0,621.0,593
2017-03-22,1490140800,612.0,621.0,567.0,567.0,956
2017-03-23,1490227200,576.0,603.0,572.4,594.0,441
2017-03-24,1490313600,594.0,612.0,594.0,603.0,559
2017-03-27,1490572800,603.0,603.0,567.0,576.0,297
2017-03-28,1490659200,576.0,603.0,576.0,603.0,479
2017-03-29,1490745600,603.0,621.0,585.0,612.0,409
2017-03-30,1490832000,621.0,621.0,603.0,612.0,236
2017-03-31,1490918400,612.0,612.0,585.0,594.0,361
2017-04-03,1491177600,585.0,594.0,576.0,594.0,260
2017-04-04,1491264000,585.0,594.0,576.0,585.0,383
2017-04-05,1491350400,585.0,612.0,576.0,576.0,376
2017-04-06,1491436800,576.0,594.0,558.0,576.0,622
2017-04-07,1491523200,576.0,585.0,558.0,558.0,313
2017-04-10,1491782400,567.0,585.0,558.0,585.0,237
2017-04-11,1491868800,585.0,585.0,567.0,576.0,222
2017-04-12,1491955200,567.0,576.0,558.0,567.0,303
2017-04-13,1492041600,558.0,567.0,558.0,558.0,251
2017-04-17,1492387200,558.0,567.0,540.0,549.0,382
2017-04-18,1492473600,549.0,549.0,513.0,531.0,1166
2017-04-19,1492560000,522.0,531.0,495.0,495.0,1402
2017-04-20,1492646400,495.0,540.0,486.0,540.0,1007
2017-04-21,1492732800,558.0,558.0,495.0,504.0,696
2017-04-24,1492992000,513.0,527.4,486.0,504.0,722
2017-04-25,1493078400,504.0,522.0,495.0,513.0,228
2017-04-26,1493164800,513.0,549.0,504.0,531.0,420
2017-04-27,1493251200,531.0,540.0,522.0,531.0,177
2017-04-28,1493337600,531.0,540.0,522.0,531.0,249
2017-05-01,1493596800,522.0,540.0,513.0,531.0,221
2017-05-02,1493683200,540.0,540.0,513.0,522.0,320
2017-05-03,1493769600,522.0,549.0,522.0,522.0,478
2017-05-04,1493856000,531.0,540.0,513.0,513.0,273
2017-05-05,1493942400,513.0,522.0,495.0,495.0,651
2017-05-08,1494201600,495.0,522.0,495.0,513.0,223
2017-05-09,1494288000,513.0,522.0,504.0,513.0,483
2017-05-10,1494374400,495.0,513.0,414.0,441.0,2203
2017-05-11,1494460800,441.0,448.2,369.0,396.0,1561
2017-05-12,1494547200,396.0,441.0,396.0,405.0,547
2017-05-15,1494806400,405.0,414.0,369.0,378.0,862
2017-05-16,1494892800,369.0,432.0,369.0,423.0,1189
2017-05-17,1494979200,423.0,477.0,405.0,459.0,1341
2017-05-18,1495065600,459.0,468.0,432.0,441.0,356
2017-05-19,1495152000,450.0,450.0,423.0,441.0,482
2017-05-22,1495411200,396.0,414.0,370.8,414.0,449
2017-05-23,1495497600,405.0,414.0,405.0,405.0,269
2017-05-24,1495584000,405.0,432.0,405.0,405.0,438
2017-05-25,1495670400,405.0,441.0,405.0,432.0,798
2017-05-26,1495756800,432.0,432.0,423.0,423.0,537
2017-05-30,1496102400,423.0,432.0,414.0,423.0,466
2017-05-31,1496188800,432.0,441.0,414.0,423.0,284
2017-06-01,1496275200,423.0,441.0,423.0,423.0,414
2017-06-02,1496361600,423.0,441.0,414.0,423.0,842
2017-06-05,1496620800,423.0,423.0,414.0,419.4,566
2017-06-06,1496707200,414.0,423.0,414.0,423.0,247
2017-06-07,1496793600,423.0,432.0,414.0,423.0,667
2017-06-08,1496880000,423.0,441.0,423.0,432.0,392
2017-06-09,1496966400,432.0,441.0,423.0,432.0,278
2017-06-12,1497225600,423.0,432.0,414.0,423.0,674
2017-06-13,1497312000,423.0,432.0,414.0,432.0,276
2017-06-14,1497398400,432.0,432.0,423.0,423.0,274
2017-06-15,1497484800,423.0,432.0,414.0,423.0,378
2017-06-16,1497571200,432.0,432.0,378.0,405.0,741
2017-06-19,1497830400,414.0,441.0,387.0,432.0,799
2017-06-20,1497916800,423.0,432.0,405.0,423.0,335
2017-06-21,1498003200,414.0,450.0,414.0,432.0,735
2017-06-22,1498089600,441.0,473.4,423.0,432.0,1364
2017-06-23,1498176000,441.0,464.4,387.0,387.0,9313
2017-06-26,1498435200,396.0,405.0,369.0,378.0,1592
2017-06-27,1498521600,378.0,396.0,369.0,369.0,1087
2017-06-28,1498608000,378.0,378.0,324.0,351.0,2833
2017-06-29,1498694400,360.0,394.2,342.0,360.0,1293
2017-06-30,1498780800,360.0,360.0,324.0,342.0,1794
2017-07-03,1499040000,351.0,387.0,338.4,351.0,764
2017-07-05,1499212800,360.0,363.6,329.4,342.0,1284
2017-07-06,1499299200,342.0,360.0,324.0,333.0,1352
2017-07-07,1499385600,342.0,351.0,324.0,342.0,839
2017-07-10,1499644800,342.0,351.0,333.0,333.0,816
2017-07-11,1499731200,333.0,342.0,315.0,333.0,1450
2017-07-12,1499817600,333.0,342.0,324.0,333.0,996
2017-07-13,1499904000,333.0,343.8,333.0,333.0,481
2017-07-14,1499990400,333.0,351.0,333.0,351.0,493
2017-07-17,1500249600,351.0,351.0,342.0,351.0,462
2017-07-18,1500336000,347.4,360.0,342.0,342.0,578
2017-07-19,1500422400,351.0,360.0,342.0,351.0,592
2017-07-20,1500508800,351.0,360.0,347.4,351.0,548
2017-07-21,1500595200,360.0,360.0,343.8,360.0,327
2017-07-24,1500854400,369.0,369.0,351.0,351.0,489
2017-07-25,1500940800,360.0,369.0,351.0,351.0,279
2017-07-26,1501027200,360.0,369.0,351.0,351.0,304
2017-07-27,1501113600,351.0,360.0,342.0,342.0,197
