Date,Time,Open,High,Low,Close,Volume
2017-01-03,1483401600,18.06,18.52,17.76,18.15,376900
2017-01-04,1483488000,18.11,18.66,17.51,18.2,278600
2017-01-05,1483574400,18.11,18.24,17.64,17.64,177500
2017-01-06,1483660800,17.74,18.01,16.69,17.46,154400
2017-01-09,1483920000,17.51,17.6,17.14,17.28,219900
2017-01-10,1484006400,17.23,17.74,17.0,17.46,267900
2017-01-11,1484092800,17.41,17.97,17.28,17.64,197200
2017-01-12,1484179200,17.6,17.78,17.18,17.74,224000
2017-01-13,1484265600,17.83,17.97,17.64,17.92,117200
2017-01-17,1484611200,17.92,18.11,17.51,17.64,428600
2017-01-18,1484697600,17.69,18.29,17.51,17.97,484500
2017-01-19,1484784000,17.97,17.97,17.23,17.32,130300
2017-01-20,1484870400,17.37,17.55,17.18,17.32,154000
2017-01-23,1485129600,17.28,17.46,16.95,17.28,199100
2017-01-24,1485216000,17.32,17.92,17.28,17.78,197500
2017-01-25,1485302400,17.92,18.24,17.78,17.88,156400
2017-01-26,1485388800,17.88,17.97,17.51,17.78,130500
2017-01-27,1485475200,17.78,17.83,17.51,17.64,69900
2017-01-30,1485734400,17.41,17.97,17.28,17.64,238900
2017-01-31,1485820800,17.55,17.83,17.32,17.6,201500
2017-02-01,1485907200,17.78,17.97,17.52,17.69,157300
2017-02-02,1485993600,17.64,17.74,17.18,17.28,134600
2017-02-03,1486080000,17.32,17.74,17.32,17.69,127000
2017-02-06,1486339200,17.64,17.69,17.09,17.32,113400
2017-02-07,1486425600,17.37,17.6,17.18,17.18,130100
2017-02-08,1486512000,17.14,17.46,17.0,17.41,128200
2017-02-09,1486598400,17.41,18.15,17.37,17.69,474100
2017-02-10,1486684800,17.74,19.26,17.74,18.84,1109200
2017-02-13,1486944000,19.12,19.12,18.24,18.43,683300
2017-02-14,1487030400,17.23,17.51,15.89,15.94,1488600
2017-02-15,1487116800,16.12,16.63,15.99,16.63,878600
2017-02-16,1487203200,16.68,16.91,16.08,16.82,569000
2017-02-17,1487289600,16.82,16.82,16.26,16.31,413000
2017-02-21,1487635200,16.31,16.68,16.26,16.59,276500
2017-02-22,1487721600,16.54,16.59,16.26,16.49,227900
2017-02-23,1487808000,16.49,16.59,15.94,16.35,324200
2017-02-24,1487894400,16.17,16.4,15.99,16.22,173300
2017-02-27,1488153600,16.22,16.59,16.22,16.49,220300
2017-02-28,1488240000,16.49,16.49,16.08,16.22,259200
2017-03-01,1488326400,16.49,16.68,16.23,16.45,360500
2017-03-02,1488412800,16.45,16.77,16.26,16.49,125700
2017-03-03,1488499200,16.49,16.68,16.33,16.54,299700
2017-03-06,1488758400,16.49,16.66,15.99,16.49,220100
2017-03-07,1488844800,16.49,16.59,16.17,16.45,216900
2017-03-08,1488931200,16.54,16.59,16.22,16.45,215200
2017-03-09,1489017600,16.4,16.59,16.26,16.4,238000
2017-03-10,1489104000,16.45,17.56,16.31,16.91,391600
2017-03-13,1489363200,16.91,17.42,16.72,17.32,249600
2017-03-14,1489449600,17.09,17.28,16.77,16.96,202500
2017-03-15,1489536000,16.96,17.42,16.86,17.28,165600
2017-03-16,1489622400,17.37,17.93,17.32,17.83,333100
2017-03-17,1489708800,17.74,18.02,17.53,18.02,563700
2017-03-20,1489968000,18.02,18.29,17.83,18.11,357400
2017-03-21,1490054400,18.25,18.25,17.37,17.51,437700
2017-03-22,1490140800,17.46,17.6,16.91,17.14,396400
2017-03-23,1490227200,17.19,17.46,17.14,17.23,176300
2017-03-24,1490313600,17.32,17.46,17.03,17.32,200200
2017-03-27,1490572800,17.14,17.69,16.91,17.56,257800
2017-03-28,1490659200,17.46,17.46,16.96,17.0,288200
2017-03-29,1490745600,16.96,17.32,16.96,17.28,188100
2017-03-30,1490832000,17.23,17.42,17.09,17.32,373400
2017-03-31,1490918400,17.32,17.93,17.32,17.79,511400
2017-04-03,1491177600,17.79,17.88,17.51,17.69,399000
2017-04-04,1491264000,17.65,17.97,17.56,17.79,246200
2017-04-05,1491350400,17.88,17.93,17.46,17.65,305500
2017-04-06,1491436800,17.6,17.97,17.47,17.69,277600
2017-04-07,1491523200,17.69,17.88,17.56,17.74,236700
2017-04-10,1491782400,17.74,17.97,17.56,17.83,170500
2017-04-11,1491868800,17.79,18.34,17.79,18.29,251900
2017-04-12,1491955200,18.25,18.25,17.93,18.06,177200
2017-04-13,1492041600,18.06,18.16,17.65,17.69,214600
2017-04-17,1492387200,17.69,18.18,17.6,17.93,671800
2017-04-18,1492473600,18.48,20.7,18.16,19.4,1996000
2017-04-19,1492560000,19.73,19.77,18.71,18.76,630400
2017-04-20,1492646400,18.85,19.27,18.5,19.17,614100
2017-04-21,1492732800,19.13,19.36,18.85,19.27,405200
2017-04-24,1492992000,19.4,19.63,18.97,19.36,339700
2017-04-25,1493078400,19.5,19.59,19.13,19.4,300800
2017-04-26,1493164800,19.31,19.96,19.19,19.91,504300
2017-04-27,1493251200,20.0,20.36,19.73,20.05,714700
2017-04-28,1493337600,20.14,20.14,19.14,19.77,531500
2017-05-01,1493596800,19.77,19.77,19.36,19.4,279700
2017-05-02,1493683200,19.36,19.38,18.94,19.08,440000
2017-05-03,1493769600,18.99,19.17,18.94,19.08,183600
2017-05-04,1493856000,19.12,19.12,18.75,18.89,151800
2017-05-05,1493942400,18.89,18.99,18.64,18.94,204500
2017-05-08,1494201600,18.94,19.17,18.85,18.89,163800
2017-05-09,1494288000,18.85,19.06,18.52,18.99,384100
2017-05-10,1494374400,18.99,19.52,18.75,19.43,369600
2017-05-11,1494460800,19.26,19.26,18.75,18.85,180800
2017-05-12,1494547200,18.71,19.03,18.57,18.85,175900
2017-05-15,1494806400,18.89,19.22,18.89,19.17,140800
2017-05-16,1494892800,19.26,19.45,18.85,19.4,283000
2017-05-17,1494979200,19.17,19.22,18.57,18.57,214200
2017-05-18,1495065600,18.62,18.94,18.57,18.85,206500
2017-05-19,1495152000,18.85,19.17,18.57,19.03,196200
2017-05-22,1495411200,19.03,19.22,18.71,18.89,169100
2017-05-23,1495497600,18.94,19.22,18.41,18.48,183200
2017-05-24,1495584000,18.48,18.57,18.11,18.15,257200
2017-05-25,1495670400,18.2,18.87,18.11,18.8,238900
2017-05-26,1495756800,18.71,18.94,17.97,18.75,219300
2017-05-30,1496102400,18.66,18.85,18.48,18.57,294500
2017-05-31,1496188800,18.71,18.71,17.97,18.2,200800
2017-06-01,1496275200,18.2,18.71,17.97,18.57,245100
2017-06-02,1496361600,18.66,19.31,18.43,19.26,323000
2017-06-05,1496620800,19.17,19.17,18.2,18.34,354000
2017-06-06,1496707200,18.2,18.29,17.72,17.92,272600
2017-06-07,1496793600,18.01,18.57,17.69,17.97,187900
2017-06-08,1496880000,17.97,18.48,17.83,18.34,275500
2017-06-09,1496966400,18.34,18.43,18.15,18.29,234600
2017-06-12,1497225600,18.29,18.57,18.01,18.48,325900
2017-06-13,1497312000,18.52,18.94,18.2,18.89,427700
2017-06-14,1497398400,18.94,19.26,18.71,19.12,441200
2017-06-15,1497484800,18.85,19.06,18.75,18.99,295500
2017-06-16,1497571200,19.12,20.0,19.08,19.96,648400
2017-06-19,1497830400,19.96,20.42,19.71,20.19,331500
2017-06-20,1497916800,20.14,20.24,19.4,19.45,284600
2017-06-21,1498003200,19.54,19.59,19.17,19.17,137500
2017-06-22,1498089600,19.22,19.4,19.08,19.22,151400
2017-06-23,1498176000,19.12,19.17,18.57,18.75,323800
2017-06-26,1498435200,18.8,18.87,18.48,18.66,124200
2017-06-27,1498521600,18.57,19.12,18.39,18.71,264600
2017-06-28,1498608000,18.85,19.22,18.66,19.22,219600
2017-06-29,1498694400,19.22,19.22,18.52,18.89,174800
2017-06-30,1498780800,18.89,19.12,18.66,19.12,303600
2017-07-03,1499040000,19.36,19.36,18.97,19.03,99600
2017-07-05,1499212800,18.85,19.08,18.75,18.85,223000
2017-07-06,1499299200,18.62,18.62,18.27,18.38,186300
2017-07-07,1499385600,18.43,18.57,18.29,18.57,135000
2017-07-10,1499644800,18.43,18.57,18.27,18.38,133600
2017-07-11,1499731200,18.34,18.6,18.34,18.38,194200
2017-07-12,1499817600,18.52,18.94,18.52,18.75,163800
2017-07-13,1499904000,18.71,18.99,18.62,18.92,132000
2017-07-14,1499990400,18.89,19.03,18.66,18.71,226600
2017-07-17,1500249600,18.57,18.85,18.18,18.75,533500
2017-07-18,1500336000,15.74,16.16,13.55,13.89,5505100
2017-07-19,1500422400,13.89,13.94,13.1,13.73,2210200
2017-07-20,1500508800,13.66,13.85,13.01,13.1,1359200
2017-07-21,1500595200,13.43,13.43,12.87,12.92,950500
2017-07-24,1500854400,13.38,13.38,12.6,12.64,1008800
2017-07-25,1500940800,12.69,12.78,12.32,12.6,1767000
2017-07-26,1501027200,12.78,13.43,12.69,13.29,1141800
2017-07-27,1501113600,13.57,13.75,13.26,13.66,757500
2017-07-28,1501200000,13.61,13.87,13.34,13.61,535100
2017-07-31,1501459200,13.66,13.75,13.34,13.57,832800
2017-08-01,1501545600,13.71,13.89,13.34,13.8,582300
2017-08-02,1501632000,13.66,13.75,13.52,13.57,353800
2017-08-03,1501718400,13.52,13.89,13.43,13.71,496700
2017-08-04,1501804800,13.8,14.17,13.65,13.94,423900
2017-08-07,1502064000,13.89,14.22,13.85,13.94,349500
2017-08-08,1502150400,13.94,13.94,13.66,13.75,322200
2017-08-09,1502236800,13.61,13.8,13.47,13.8,467100
2017-08-10,1502323200,13.75,14.03,13.69,13.94,576000
2017-08-11,1502409600,13.94,14.17,13.85,14.12,282600
2017-08-14,1502668800,14.17,14.31,13.85,13.89,344700
2017-08-15,1502755200,13.99,13.99,13.24,13.57,507900
2017-08-16,1502841600,13.66,14.08,13.66,13.71,237700
2017-08-17,1502928000,13.71,13.89,13.57,13.61,261000
2017-08-18,1503014400,13.52,13.61,13.29,13.52,314700
2017-08-21,1503273600,13.57,13.75,13.38,13.61,280600
2017-08-22,1503360000,13.61,13.8,13.55,13.66,268000
2017-08-23,1503446400,13.57,13.71,13.38,13.71,312400
2017-08-24,1503532800,13.75,14.17,13.71,14.12,496500
2017-08-25,1503619200,14.12,14.34,13.94,14.26,315400
2017-08-28,1503878400,14.26,14.36,14.08,14.22,215900
2017-08-29,1503964800,14.12,14.31,13.99,14.12,246300
2017-08-30,1504051200,14.12,14.17,13.75,13.94,228000
2017-08-31,1504137600,14.03,14.31,13.89,13.99,322000
2017-09-01,1504224000,13.99,14.4,13.99,14.31,280200
2017-09-05,1504569600,14.22,14.43,14.08,14.26,261100
2017-09-06,1504656000,14.36,14.5,14.22,14.5,191700
2017-09-07,1504742400,14.45,14.64,14.4,14.5,182600
2017-09-08,1504828800,14.4,14.73,14.4,14.54,336900
2017-09-11,1505088000,14.59,14.73,14.26,14.36,406800
2017-09-12,1505174400,14.31,14.45,14.17,14.31,533200
2017-09-13,1505260800,14.36,14.54,14.2,14.26,540800
2017-09-14,1505347200,14.31,14.54,14.17,14.26,540900
2017-09-15,1505433600,14.31,14.87,14.26,14.78,1158300
2017-09-18,1505692800,14.78,14.91,14.22,14.22,418100
2017-09-19,1505779200,14.26,14.31,13.8,13.85,637500
2017-09-20,1505865600,13.8,14.17,13.75,14.08,515700
2017-09-21,1505952000,14.03,14.12,13.57,13.71,706500
2017-09-22,1506038400,13.66,14.12,13.61,13.75,558200
2017-09-25,1506297600,13.75,14.03,13.57,13.66,1026500
2017-09-26,1506384000,13.75,13.89,13.24,13.66,982200
2017-09-27,1506470400,11.8,12.68,11.2,11.38,3417900
2017-09-28,1506556800,11.48,12.03,11.37,11.76,1208100
2017-09-29,1506643200,11.85,12.03,11.66,11.8,1472000
2017-10-02,1506902400,11.94,12.27,11.71,12.27,899900
2017-10-03,1506988800,8.22,8.64,7.67,7.85,15707400
2017-10-04,1507075200,7.85,8.22,7.85,7.9,2927400
2017-10-05,1507161600,7.9,8.04,7.71,7.99,1967400
2017-10-06,1507248000,7.99,8.27,7.95,8.04,2017200
2017-10-09,1507507200,8.04,8.13,7.76,7.99,1310100
2017-10-10,1507593600,7.95,8.08,7.83,7.95,1023200
2017-10-11,1507680000,7.9,8.04,7.81,7.95,969500
2017-10-12,1507766400,7.9,7.95,7.71,7.76,1462000
2017-10-13,1507852800,7.76,7.9,7.67,7.76,784200
2017-10-16,1508112000,7.76,8.04,7.67,7.85,1372900
2017-10-17,1508198400,8.41,8.41,7.62,7.71,2554900
2017-10-18,1508284800,7.67,8.27,7.67,8.22,2437800
2017-10-19,1508371200,8.04,8.08,7.81,7.95,1362900
2017-10-20,1508457600,8.08,8.22,7.9,8.13,1270000
2017-10-23,1508716800,8.36,8.87,8.36,8.78,2204100
2017-10-24,1508803200,8.97,9.01,8.32,8.36,1212500
2017-10-25,1508889600,8.46,8.6,8.32,8.41,866200
2017-10-26,1508976000,8.55,8.87,8.41,8.74,1336500
2017-10-27,1509062400,8.64,8.83,8.18,8.22,1408300
2017-10-30,1509321600,8.27,8.32,8.13,8.22,908200
2017-10-31,1509408000,8.18,8.27,7.94,7.99,880900
2017-11-01,1509494400,8.04,8.13,7.88,8.04,653800
2017-11-02,1509580800,8.04,8.18,7.9,8.04,623800
2017-11-03,1509667200,8.08,8.13,7.93,7.94,498600
2017-11-06,1509926400,7.9,8.13,7.8,7.94,477700
2017-11-07,1510012800,7.94,8.04,7.66,7.76,624400
2017-11-08,1510099200,7.76,7.94,7.66,7.94,376800
2017-11-09,1510185600,7.94,8.08,7.8,7.94,531000
2017-11-10,1510272000,8.04,8.18,7.92,7.99,534300
2017-11-13,1510531200,7.99,8.06,7.57,7.66,1051600
2017-11-14,1510617600,7.71,7.85,7.55,7.85,658600
2017-11-15,1510704000,7.76,7.8,7.62,7.66,547100
2017-11-16,1510790400,7.66,7.94,7.66,7.85,819800
2017-11-17,1510876800,7.85,8.11,7.74,8.04,696000
2017-11-20,1511136000,8.04,8.07,7.76,7.8,874800
2017-11-21,1511222400,7.8,8.13,7.66,8.13,682900
2017-11-22,1511308800,8.27,8.32,7.94,7.99,446600
2017-11-24,1511481600,7.94,8.08,7.8,8.08,267900
2017-11-27,1511740800,8.08,8.17,7.8,7.8,1236800
2017-11-28,1511827200,7.85,7.9,7.69,7.76,958200
2017-11-29,1511913600,7.8,8.13,7.8,7.99,1175300
2017-11-30,1512000000,8.08,8.18,7.76,7.76,685400
2017-12-01,1512086400,7.85,7.94,7.62,7.85,927300
2017-12-04,1512345600,7.9,8.18,7.76,7.8,977200
2017-12-05,1512432000,7.9,7.94,7.71,7.83,428600
2017-12-06,1512518400,7.85,7.99,7.71,7.94,676600
2017-12-07,1512604800,7.9,8.18,7.85,8.08,2150400
2017-12-08,1512691200,8.27,9.02,8.18,8.6,1555900
2017-12-11,1512950400,8.55,8.74,8.27,8.41,907200
2017-12-12,1513036800,8.5,8.69,8.27,8.32,696600
2017-12-13,1513123200,8.27,8.6,8.27,8.5,746800
2017-12-14,1513209600,8.5,8.6,8.32,8.46,655000
2017-12-15,1513296000,8.46,8.69,8.27,8.55,2748900
2017-12-18,1513555200,8.6,8.88,8.5,8.69,673300
2017-12-19,1513641600,8.83,9.25,8.78,9.11,1098600
2017-12-20,1513728000,9.07,9.25,8.74,8.88,699700
2017-12-21,1513814400,8.83,9.11,8.74,9.07,505900
2017-12-22,1513900800,8.97,9.07,8.78,8.92,616500
2017-12-26,1514246400,8.97,9.16,8.88,8.92,311700
2017-12-27,1514332800,9.02,9.07,8.83,8.97,459800
2017-12-28,1514419200,8.92,8.97,8.78,8.97,281500
2017-12-29,1514505600,9.02,9.11,8.88,8.97,401200
2018-01-02,1514851200,9.07,9.35,9.07,9.16,563900
2018-01-03,1514937600,9.16,9.16,8.92,9.02,550300
2018-01-04,1515024000,9.02,9.33,8.83,9.25,1503800
2018-01-05,1515110400,9.3,9.51,9.16,9.35,1130900
2018-01-08,1515369600,9.3,9.53,9.25,9.35,963800
2018-01-09,1515456000,9.3,9.39,8.92,9.21,761600
2018-01-10,1515542400,9.16,9.47,8.92,9.35,1508900
2018-01-11,1515628800,9.49,9.72,9.39,9.67,940200
2018-01-12,1515715200,9.77,9.77,9.39,9.58,534700
2018-01-16,1516060800,9.72,9.81,9.39,9.44,455300
2018-01-17,1516147200,9.44,9.67,9.39,9.49,542600
2018-01-18,1516233600,9.44,9.63,9.35,9.35,418100
2018-01-19,1516320000,9.35,9.63,9.35,9.58,382200
2018-01-22,1516579200,9.58,9.81,9.49,9.58,634200
