Date,Time,Open,High,Low,Close,Volume
2017-01-03,1483401600,15.04,15.35,14.74,15.04,151300
2017-01-04,1483488000,15.1,15.56,15.01,15.55,179500
2017-01-05,1483574400,15.55,16.22,15.28,16.16,131000
2017-01-06,1483660800,16.2,16.75,16.02,16.53,125200
2017-01-09,1483920000,16.42,16.68,16.09,16.49,92600
2017-01-10,1484006400,16.49,16.81,16.37,16.74,83700
2017-01-11,1484092800,16.71,17.1,16.45,16.82,151100
2017-01-12,1484179200,16.96,16.96,16.42,16.85,77100
2017-01-13,1484265600,16.8,17.06,16.7,16.93,105400
2017-01-17,1484611200,16.99,17.42,16.88,17.22,91300
2017-01-18,1484697600,17.09,18.63,17.09,17.83,134300
2017-01-19,1484784000,17.83,18.03,17.43,17.64,80700
2017-01-20,1484870400,17.87,19.43,17.81,18.29,186600
2017-01-23,1485129600,18.02,18.55,17.4,17.52,74300
2017-01-24,1485216000,17.56,17.6,16.66,17.39,89200
2017-01-25,1485302400,17.53,18.94,16.86,17.51,71500
2017-01-26,1485388800,17.6,18.24,17.46,17.77,72600
2017-01-27,1485475200,17.58,17.99,17.58,17.71,33200
2017-01-30,1485734400,17.54,17.62,17.12,17.42,36300
2017-01-31,1485820800,17.29,18.07,17.11,17.6,68100
2017-02-01,1485907200,17.66,18.02,17.28,17.8,84600
2017-02-02,1485993600,17.82,18.24,17.49,17.97,34300
2017-02-03,1486080000,18.0,18.55,17.9,18.44,24800
2017-02-06,1486339200,18.34,18.82,17.87,17.99,67200
2017-02-07,1486425600,18.04,18.35,17.68,17.76,34000
2017-02-08,1486512000,17.51,17.83,17.31,17.69,95400
2017-02-09,1486598400,17.74,17.82,17.6,17.66,48200
2017-02-10,1486684800,17.67,18.39,17.63,18.11,41300
2017-02-13,1486944000,18.11,18.18,17.83,18.14,27200
2017-02-14,1487030400,18.24,20.41,18.09,19.85,185900
2017-02-15,1487116800,19.77,20.02,19.11,19.38,167600
2017-02-16,1487203200,19.66,19.71,19.18,19.42,40200
2017-02-17,1487289600,19.5,19.72,19.37,19.68,112100
2017-02-21,1487635200,19.76,21.08,19.43,20.71,201000
2017-02-22,1487721600,20.66,20.93,20.35,20.91,71500
2017-02-23,1487808000,20.02,23.19,20.02,21.06,222500
2017-02-24,1487894400,21.8,22.28,21.06,21.26,89000
2017-02-27,1488153600,21.5,21.52,21.33,21.43,58500
2017-02-28,1488240000,21.32,21.51,21.02,21.03,167900
2017-03-01,1488326400,21.15,22.32,21.12,21.96,67300
2017-03-02,1488412800,22.29,24.0,21.72,21.88,60800
2017-03-03,1488499200,22.27,22.38,21.03,21.08,74300
2017-03-06,1488758400,21.03,21.45,20.78,20.95,121800
2017-03-07,1488844800,21.06,21.42,20.91,21.01,50600
2017-03-08,1488931200,20.93,21.25,19.18,19.48,118200
2017-03-09,1489017600,19.34,19.4,17.47,17.86,222500
2017-03-10,1489104000,17.95,18.58,17.93,18.44,84200
2017-03-13,1489363200,18.49,19.31,18.03,18.32,61700
2017-03-14,1489449600,17.98,18.79,17.35,17.79,147900
2017-03-15,1489536000,17.89,18.85,17.32,18.71,70800
2017-03-16,1489622400,19.55,19.55,18.14,18.29,37800
2017-03-17,1489708800,18.13,19.22,18.13,18.87,116600
2017-03-20,1489968000,18.73,18.97,18.31,18.64,95100
2017-03-21,1490054400,18.73,19.7,18.73,19.24,86500
2017-03-22,1490140800,19.25,19.36,18.83,19.2,103100
2017-03-23,1490227200,19.23,19.92,19.02,19.65,160300
2017-03-24,1490313600,19.97,20.16,18.7,19.04,134700
2017-03-27,1490572800,18.43,19.73,18.2,18.84,53500
2017-03-28,1490659200,18.85,19.35,18.44,19.16,79300
2017-03-29,1490745600,18.93,19.71,18.93,19.68,43500
2017-03-30,1490832000,19.72,20.53,19.29,20.18,35500
2017-03-31,1490918400,20.19,21.67,19.92,21.04,101300
2017-04-03,1491177600,21.32,21.48,20.69,21.09,63300
2017-04-04,1491264000,21.32,21.52,20.52,20.7,60700
2017-04-05,1491350400,20.84,21.3,20.22,20.43,47000
2017-04-06,1491436800,20.48,21.82,19.7,21.24,115600
2017-04-07,1491523200,21.1,21.1,20.47,20.74,76500
2017-04-10,1491782400,20.81,21.27,20.64,20.84,134800
2017-04-11,1491868800,20.48,20.87,19.8,20.02,136000
2017-04-12,1491955200,20.12,20.73,19.68,19.92,151700
2017-04-13,1492041600,19.85,19.94,18.88,19.22,142600
2017-04-17,1492387200,19.25,19.47,18.06,18.91,177400
2017-04-18,1492473600,18.78,19.09,17.86,18.22,117900
2017-04-19,1492560000,18.82,19.07,17.92,18.26,98800
2017-04-20,1492646400,18.32,19.07,17.99,19.04,78900
2017-04-21,1492732800,18.88,19.02,18.5,18.93,62500
2017-04-24,1492992000,18.93,19.01,18.47,18.68,56900
2017-04-25,1493078400,18.83,18.99,18.56,18.74,50100
2017-04-26,1493164800,18.8,19.35,18.59,19.14,83100
2017-04-27,1493251200,19.07,19.39,18.66,18.94,61300
2017-04-28,1493337600,18.97,19.05,18.68,18.88,63600
2017-05-01,1493596800,18.73,18.74,18.3,18.4,92500
2017-05-02,1493683200,18.4,18.55,18.25,18.32,49700
2017-05-03,1493769600,18.25,18.44,18.17,18.2,90000
2017-05-04,1493856000,18.21,18.21,16.83,17.1,108400
2017-05-05,1493942400,17.18,17.22,16.21,17.14,161900
2017-05-08,1494201600,17.14,18.15,16.89,18.13,87500
2017-05-09,1494288000,18.21,18.96,17.62,18.48,82400
2017-05-10,1494374400,18.57,19.38,18.3,19.1,96100
2017-05-11,1494460800,19.1,19.47,18.1,18.16,48800
2017-05-12,1494547200,18.16,18.63,17.65,18.21,36400
2017-05-15,1494806400,18.93,18.93,18.68,18.82,37000
2017-05-16,1494892800,18.98,19.37,18.83,19.12,32400
2017-05-17,1494979200,18.92,19.79,18.34,18.51,56000
2017-05-18,1495065600,18.45,18.89,18.11,18.49,41000
2017-05-19,1495152000,18.49,18.95,18.49,18.81,43800
2017-05-22,1495411200,18.86,19.4,18.43,18.58,37700
2017-05-23,1495497600,18.6,18.83,18.26,18.64,42400
2017-05-24,1495584000,18.54,21.17,18.44,18.65,85400
2017-05-25,1495670400,19.04,19.36,18.19,18.29,154100
2017-05-26,1495756800,18.35,18.6,17.95,18.32,44600
2017-05-30,1496102400,18.29,18.64,17.52,17.97,48300
2017-05-31,1496188800,17.81,17.94,17.39,17.77,118100
2017-06-01,1496275200,17.95,18.06,17.38,17.76,48900
2017-06-02,1496361600,17.79,18.45,17.34,18.18,36800
2017-06-05,1496620800,18.29,18.34,17.88,18.09,28000
2017-06-06,1496707200,18.03,18.64,17.6,17.96,59700
2017-06-07,1496793600,18.03,18.2,16.81,17.03,56900
2017-06-08,1496880000,16.93,17.19,16.49,16.64,122300
2017-06-09,1496966400,16.77,17.33,16.45,16.86,49400
2017-06-12,1497225600,17.04,17.29,16.61,16.93,27900
2017-06-13,1497312000,17.33,17.5,16.95,17.24,28400
2017-06-14,1497398400,17.62,17.89,16.83,17.1,73500
