Date,Time,Open,High,Low,Close,Volume
2017-01-03,1483401600,11.17,11.45,11.06,11.21,341900
2017-01-04,1483488000,11.23,11.57,11.2,11.56,380100
2017-01-05,1483574400,11.45,11.62,11.26,11.36,295900
2017-01-06,1483660800,11.34,11.34,10.86,10.88,370900
2017-01-09,1483920000,10.8,10.88,10.56,10.62,500400
2017-01-10,1484006400,10.64,10.99,10.61,10.92,323000
2017-01-11,1484092800,11.0,11.04,10.73,10.81,354500
2017-01-12,1484179200,10.82,10.96,10.48,10.61,547900
2017-01-13,1484265600,10.67,10.7,10.37,10.46,348000
2017-01-17,1484611200,10.44,10.47,10.2,10.24,244100
2017-01-18,1484697600,10.27,10.52,10.14,10.38,298600
2017-01-19,1484784000,10.38,10.51,10.11,10.35,398200
2017-01-20,1484870400,10.38,10.47,10.12,10.23,297000
2017-01-23,1485129600,10.18,10.32,10.05,10.13,213000
2017-01-24,1485216000,10.11,10.54,10.11,10.5,280100
2017-01-25,1485302400,10.59,11.42,10.59,11.36,599400
2017-01-26,1485388800,11.27,11.79,11.18,11.66,729600
2017-01-27,1485475200,12.28,13.15,12.13,13.01,1225400
2017-01-30,1485734400,12.94,13.14,12.47,13.05,610800
2017-01-31,1485820800,13.14,13.22,12.77,13.13,521700
2017-02-01,1485907200,13.19,13.44,12.74,12.83,555300
2017-02-02,1485993600,12.84,12.87,12.58,12.59,284500
2017-02-03,1486080000,12.59,12.88,12.58,12.76,335800
2017-02-06,1486339200,12.61,12.8,12.57,12.7,247700
2017-02-07,1486425600,12.69,12.82,12.49,12.59,257500
2017-02-08,1486512000,12.58,12.65,12.24,12.5,379300
2017-02-09,1486598400,12.5,12.78,12.46,12.7,240900
2017-02-10,1486684800,12.79,13.1,12.74,13.05,288700
2017-02-13,1486944000,13.19,13.47,13.06,13.14,347100
2017-02-14,1487030400,13.02,13.41,12.83,13.38,374500
2017-02-15,1487116800,13.27,13.49,13.11,13.45,393100
2017-02-16,1487203200,13.32,13.43,13.21,13.43,266500
2017-02-17,1487289600,13.36,13.45,13.12,13.39,374400
2017-02-21,1487635200,13.51,13.7,13.49,13.6,326100
2017-02-22,1487721600,13.55,13.99,13.47,13.98,542100
2017-02-23,1487808000,14.02,14.05,13.15,13.33,463000
2017-02-24,1487894400,13.09,13.28,12.91,13.05,504400
2017-02-27,1488153600,13.03,13.25,12.91,13.15,296400
2017-02-28,1488240000,12.9,13.26,12.9,13.08,429800
2017-03-01,1488326400,13.41,13.75,13.35,13.7,570400
2017-03-02,1488412800,13.54,13.63,13.0,13.01,369500
2017-03-03,1488499200,12.99,13.22,12.8,13.09,262700
2017-03-06,1488758400,12.84,12.96,12.58,12.77,322900
2017-03-07,1488844800,12.74,12.91,12.54,12.56,271400
2017-03-08,1488931200,12.73,12.73,12.28,12.3,275700
2017-03-09,1489017600,12.28,12.35,11.81,11.91,344800
2017-03-10,1489104000,12.08,12.25,11.76,11.95,289600
