Date,Time,Open,High,Low,Close,Volume
2017-01-03,1483401600,8.34,8.45,8.32,8.45,1585224
2017-01-04,1483488000,8.48,8.61,8.48,8.55,1760865
2017-01-05,1483574400,8.52,8.62,8.5,8.61,2528630
2017-01-06,1483660800,8.6,8.61,8.46,8.47,982661
2017-01-09,1483920000,8.5,8.5,8.38,8.39,1293650
2017-01-10,1484006400,8.41,8.45,8.35,8.45,1956591
2017-01-11,1484092800,8.46,8.51,8.41,8.47,1196031
2017-01-12,1484179200,8.47,8.48,8.42,8.44,847008
2017-01-13,1484265600,8.31,8.47,8.28,8.44,4180094
2017-01-17,1484611200,8.45,8.48,8.41,8.43,1835041
2017-01-18,1484697600,8.43,8.46,8.4,8.44,988522
2017-01-19,1484784000,8.44,8.44,8.35,8.41,730463
2017-01-20,1484870400,8.41,8.43,8.37,8.39,494688
2017-01-23,1485129600,8.39,8.45,8.38,8.4,1241696
2017-01-24,1485216000,8.41,8.42,8.35,8.35,1084553
2017-01-25,1485302400,8.36,8.37,8.31,8.32,1257386
2017-01-26,1485388800,8.31,8.39,8.31,8.37,1802196
2017-01-27,1485475200,8.42,8.42,8.29,8.31,1331256
2017-01-30,1485734400,8.29,8.32,8.21,8.31,1946030
2017-01-31,1485820800,8.3,8.45,8.15,8.4,3630521
2017-02-01,1485907200,8.39,8.46,8.33,8.39,2004455
2017-02-02,1485993600,8.39,8.44,8.36,8.39,1098290
2017-02-03,1486080000,8.4,8.43,8.35,8.39,1423137
2017-02-06,1486339200,8.41,8.47,8.4,8.47,1393222
2017-02-07,1486425600,8.47,8.51,8.38,8.41,1362087
2017-02-08,1486512000,8.36,8.53,8.34,8.53,1487117
2017-02-09,1486598400,8.53,8.59,8.52,8.52,1173503
2017-02-10,1486684800,8.51,8.57,8.51,8.55,669841
2017-02-13,1486944000,8.56,8.62,8.55,8.56,1018375
2017-02-14,1487030400,8.58,8.6,8.51,8.56,1013491
2017-02-15,1487116800,8.55,8.64,8.48,8.64,1413918
2017-02-16,1487203200,8.63,8.78,8.63,8.78,1546519
2017-02-17,1487289600,8.78,8.78,8.68,8.74,1541390
2017-02-21,1487635200,8.9,8.91,8.77,8.86,2420144
2017-02-22,1487721600,8.87,8.93,8.84,8.9,1417398
2017-02-23,1487808000,8.9,8.94,8.88,8.9,1568375
2017-02-24,1487894400,8.91,8.93,8.85,8.9,1397557
2017-02-27,1488153600,8.9,8.91,8.86,8.87,1292795
2017-02-28,1488240000,8.87,8.92,8.85,8.9,1488948
2017-03-01,1488326400,8.9,8.95,8.87,8.9,1454333
2017-03-02,1488412800,8.9,8.95,8.88,8.92,1663857
2017-03-03,1488499200,8.92,8.95,8.86,8.94,1102319
2017-03-06,1488758400,8.94,8.95,8.83,8.9,1513613
2017-03-07,1488844800,8.9,8.94,8.87,8.92,1016299
2017-03-08,1488931200,8.94,8.94,8.78,8.79,1106653
2017-03-09,1489017600,8.81,8.88,8.75,8.77,1192978
2017-03-10,1489104000,8.84,8.94,8.84,8.89,1307996
2017-03-13,1489363200,8.9,8.95,8.82,8.84,1294199
2017-03-14,1489449600,8.86,8.87,8.8,8.81,1445054
2017-03-15,1489536000,8.86,9.13,8.84,9.11,2346701
2017-03-16,1489622400,9.18,9.18,9.04,9.11,1788277
2017-03-17,1489708800,9.14,9.25,9.13,9.22,2906652
2017-03-20,1489968000,9.24,9.25,9.19,9.21,1529547
2017-03-21,1490054400,9.23,9.33,9.23,9.31,2017275
2017-03-22,1490140800,9.33,9.34,9.28,9.31,1524602
2017-03-23,1490227200,9.34,9.39,9.31,9.31,1317093
2017-03-24,1490313600,9.34,9.35,9.25,9.27,1739925
2017-03-27,1490572800,9.26,9.33,9.22,9.33,1322343
2017-03-28,1490659200,9.33,9.4,9.29,9.36,2105370
2017-03-29,1490745600,9.44,9.56,9.43,9.51,2416786
2017-03-30,1490832000,9.52,9.54,9.47,9.48,1186629
2017-03-31,1490918400,9.51,9.53,9.44,9.48,1352807
2017-04-03,1491177600,9.49,9.5,9.44,9.47,1117398
2017-04-04,1491264000,9.47,9.58,9.45,9.54,1819473
2017-04-05,1491350400,9.54,9.59,9.46,9.49,1985407
2017-04-06,1491436800,9.49,9.56,9.45,9.53,1192307
2017-04-07,1491523200,9.55,9.57,9.51,9.52,1103235
2017-04-10,1491782400,9.54,9.67,9.52,9.62,1433210
2017-04-11,1491868800,9.57,9.74,9.55,9.67,1912635
2017-04-12,1491955200,9.67,9.71,9.64,9.65,1325823
2017-04-13,1492041600,9.65,9.74,9.63,9.68,1337422
2017-04-17,1492387200,9.69,9.86,9.69,9.85,1881317
2017-04-18,1492473600,9.84,9.88,9.78,9.85,1293466
2017-04-19,1492560000,9.85,9.86,9.77,9.78,905372
2017-04-20,1492646400,9.81,9.84,9.7,9.78,1249938
2017-04-21,1492732800,9.8,9.86,9.77,9.81,1031989
2017-04-24,1492992000,9.84,9.87,9.74,9.86,1294871
2017-04-25,1493078400,9.85,9.87,9.82,9.85,1004700
2017-04-26,1493164800,9.85,9.98,9.83,9.93,1894687
2017-04-27,1493251200,9.97,10.06,9.94,9.99,1866970
2017-04-28,1493337600,10.04,10.06,9.82,9.87,1603784
2017-05-01,1493596800,9.89,10.03,9.88,9.97,1267337
2017-05-02,1493683200,9.97,9.98,9.74,9.77,2127348
