Date,Time,Open,High,Low,Close,Volume
2017-01-03,1483401600,12.6,12.6,12.38,12.38,19200
2017-01-04,1483488000,12.42,12.42,12.34,12.38,11000
2017-01-05,1483574400,12.15,12.22,12.13,12.13,7500
2017-01-06,1483660800,12.22,12.22,12.0,12.0,2000
2017-01-09,1483920000,11.6,11.6,11.6,11.6,900
2017-01-10,1484006400,10.76,11.57,10.69,11.46,15600
2017-01-11,1484092800,11.44,11.45,11.24,11.32,5700
2017-01-12,1484179200,11.38,11.45,11.32,11.39,5500
2017-01-13,1484265600,11.4,11.53,10.98,11.53,2700
2017-01-17,1484611200,11.86,11.86,11.3,11.32,17000
2017-01-18,1484697600,11.38,11.38,11.16,11.34,10800
2017-01-19,1484784000,11.26,12.09,11.26,11.64,9600
2017-01-20,1484870400,11.63,11.74,11.18,11.44,14500
2017-01-23,1485129600,11.26,11.38,9.61,9.74,20600
2017-01-24,1485216000,9.83,10.56,9.83,10.55,14200
2017-01-25,1485302400,10.78,11.06,10.73,11.06,4400
2017-01-26,1485388800,11.15,11.34,11.15,11.29,2000
2017-01-27,1485475200,11.3,11.36,10.96,11.22,6400
2017-01-30,1485734400,11.09,11.33,11.01,11.02,7600
2017-01-31,1485820800,10.99,11.26,10.9,11.12,4300
2017-02-01,1485907200,11.05,11.16,10.55,10.63,4900
2017-02-02,1485993600,10.96,10.96,10.39,10.46,33200
2017-02-03,1486080000,11.16,11.16,10.5,10.69,16000
2017-02-06,1486339200,11.05,11.05,10.51,10.51,14700
2017-02-07,1486425600,10.69,10.69,10.46,10.47,2500
2017-02-08,1486512000,10.73,10.73,10.26,10.27,9000
2017-02-09,1486598400,10.49,10.93,10.12,10.66,8800
2017-02-10,1486684800,10.68,11.17,10.45,10.69,22300
2017-02-13,1486944000,10.69,10.69,10.42,10.49,10500
2017-02-14,1487030400,10.51,10.57,10.25,10.29,12300
2017-02-15,1487116800,10.16,10.28,10.12,10.28,32300
2017-02-16,1487203200,10.23,10.23,9.87,10.08,15000
2017-02-17,1487289600,10.15,10.44,10.03,10.16,14300
2017-02-21,1487635200,10.26,10.26,9.98,10.16,8500
2017-02-22,1487721600,10.24,10.24,9.87,9.87,14600
2017-02-23,1487808000,10.04,10.04,9.87,9.91,4500
2017-02-24,1487894400,9.93,9.95,9.74,9.74,6800
2017-02-27,1488153600,9.84,9.84,9.73,9.8,11800
2017-02-28,1488240000,9.79,10.12,9.69,9.91,25700
2017-03-01,1488326400,10.07,10.15,9.87,9.95,18100
2017-03-02,1488412800,9.95,10.0,9.76,9.86,10400
2017-03-03,1488499200,9.84,9.84,9.7,9.76,9900
2017-03-06,1488758400,9.7,9.73,9.7,9.71,5600
2017-03-07,1488844800,9.73,9.76,9.41,9.41,13200
2017-03-08,1488931200,9.62,9.62,9.01,9.04,19200
2017-03-09,1489017600,9.04,9.3,9.0,9.22,18900
2017-03-10,1489104000,9.4,9.7,9.32,9.32,10000
2017-03-13,1489363200,9.55,9.73,9.39,9.67,12500
2017-03-14,1489449600,9.6,9.6,9.32,9.36,8700
2017-03-15,1489536000,9.37,9.78,9.37,9.76,11300
2017-03-16,1489622400,9.59,9.95,9.59,9.93,9900
2017-03-17,1489708800,10.0,10.15,9.81,10.13,21100
2017-03-20,1489968000,10.01,10.16,9.86,10.12,15200
2017-03-21,1490054400,10.16,10.32,10.15,10.21,15100
2017-03-22,1490140800,10.23,10.32,10.14,10.26,13700
2017-03-23,1490227200,10.26,10.33,10.25,10.31,17500
2017-03-24,1490313600,10.37,10.39,10.19,10.25,9100
2017-03-27,1490572800,10.28,10.42,10.26,10.3,14800
2017-03-28,1490659200,10.42,10.43,10.18,10.3,16900
2017-03-29,1490745600,10.3,10.41,10.25,10.27,4600
2017-03-30,1490832000,10.29,10.34,10.04,10.15,9000
2017-03-31,1490918400,10.2,10.42,9.98,10.41,16100
2017-04-03,1491177600,10.37,10.5,10.3,10.31,6400
2017-04-04,1491264000,10.3,10.35,10.09,10.21,11500
2017-04-05,1491350400,10.28,10.28,9.95,10.05,20300
2017-04-06,1491436800,10.05,10.38,10.05,10.2,7500
2017-04-07,1491523200,10.25,10.47,10.21,10.37,9200
2017-04-10,1491782400,10.38,10.5,10.31,10.35,19200
2017-04-11,1491868800,10.4,10.44,10.39,10.43,20100
2017-04-12,1491955200,10.42,10.5,10.23,10.23,32600
2017-04-13,1492041600,10.01,10.03,9.54,9.54,9600
2017-04-17,1492387200,9.7,9.7,9.54,9.65,9200
2017-04-18,1492473600,9.73,9.73,9.45,9.67,4800
2017-04-19,1492560000,9.41,9.76,9.41,9.64,9500
2017-04-20,1492646400,9.62,10.04,9.62,10.02,19000
2017-04-21,1492732800,10.01,10.01,9.81,9.86,10400
2017-04-24,1492992000,9.97,10.11,9.81,9.99,10800
2017-04-25,1493078400,9.95,10.37,9.87,10.23,23300
2017-04-26,1493164800,10.18,10.45,9.99,10.2,71000
2017-04-27,1493251200,10.26,10.26,10.0,10.05,7400
2017-04-28,1493337600,10.09,10.2,10.0,10.05,12300
2017-05-01,1493596800,9.98,10.34,9.77,10.3,57700
2017-05-02,1493683200,10.3,10.3,10.13,10.2,17700
2017-05-03,1493769600,10.5,10.5,10.23,10.34,36100
2017-05-04,1493856000,10.16,10.42,10.13,10.19,15700
2017-05-05,1493942400,10.18,10.18,10.11,10.11,17100
2017-05-08,1494201600,10.11,10.29,10.09,10.18,19000
2017-05-09,1494288000,10.19,10.31,10.09,10.2,12200
2017-05-10,1494374400,10.51,10.51,10.21,10.21,36600
2017-05-11,1494460800,10.31,10.37,10.15,10.37,22200
2017-05-12,1494547200,10.12,10.4,10.09,10.33,12500
2017-05-15,1494806400,10.25,10.57,10.22,10.42,19400
2017-05-16,1494892800,10.4,10.43,9.74,9.81,22100
2017-05-17,1494979200,9.78,9.79,8.93,8.97,24500
2017-05-18,1495065600,8.92,9.06,8.52,8.58,38300
2017-05-19,1495152000,8.45,8.91,8.45,8.71,18700
2017-05-22,1495411200,9.39,9.39,8.67,8.7,35700
2017-05-23,1495497600,8.83,8.83,8.46,8.55,9700
2017-05-24,1495584000,8.65,8.65,8.44,8.54,12800
2017-05-25,1495670400,8.39,8.4,8.11,8.13,23000
2017-05-26,1495756800,8.13,8.18,8.0,8.03,89500
2017-05-30,1496102400,8.21,8.21,7.83,7.89,67600
2017-05-31,1496188800,8.35,8.51,7.91,8.17,28100
2017-06-01,1496275200,8.67,8.67,8.13,8.16,180300
2017-06-02,1496361600,8.22,8.89,8.16,8.84,33600
2017-06-05,1496620800,8.62,8.75,8.13,8.28,63600
2017-06-06,1496707200,8.29,8.51,8.22,8.48,16800
2017-06-07,1496793600,8.45,8.52,8.23,8.29,18000
2017-06-08,1496880000,8.04,8.66,8.04,8.66,15500
2017-06-09,1496966400,8.27,9.0,8.27,8.93,32900
2017-06-12,1497225600,8.83,8.85,8.77,8.77,30700
2017-06-13,1497312000,8.76,8.76,8.35,8.56,13600
2017-06-14,1497398400,8.56,8.93,8.42,8.75,16700
2017-06-15,1497484800,8.67,8.84,8.57,8.76,25200
2017-06-16,1497571200,8.66,8.76,8.56,8.65,34000
2017-06-19,1497830400,8.75,8.89,8.58,8.69,34900
2017-06-20,1497916800,8.54,8.79,8.42,8.67,29200
2017-06-21,1498003200,8.69,8.87,8.42,8.73,16900
2017-06-22,1498089600,8.79,9.07,8.67,8.78,38000
2017-06-23,1498176000,8.86,9.08,8.49,8.78,658500
2017-06-26,1498435200,8.66,9.28,8.66,8.85,40800
2017-06-27,1498521600,8.85,8.91,8.36,8.41,23800
2017-06-28,1498608000,8.46,8.66,8.46,8.49,15100
2017-06-29,1498694400,8.56,8.56,8.19,8.26,37900
2017-06-30,1498780800,8.27,8.56,8.27,8.37,11300
2017-07-03,1499040000,8.71,8.71,8.16,8.24,46700
2017-07-05,1499212800,8.39,8.66,8.24,8.27,43900
2017-07-06,1499299200,8.21,8.53,7.77,8.26,29000
