Date,Time,Open,High,Low,Close,Volume
2017-01-03,1483401600,9.25,9.35,9.23,9.31,846600
2017-01-04,1483488000,9.28,9.34,9.25,9.29,758400
2017-01-05,1483574400,9.36,9.46,9.34,9.42,797400
2017-01-06,1483660800,9.34,9.35,9.25,9.29,819400
2017-01-09,1483920000,9.34,9.41,9.31,9.32,787400
2017-01-10,1484006400,9.4,9.42,9.33,9.37,2772800
2017-01-11,1484092800,9.19,9.43,9.14,9.43,1150000
2017-01-12,1484179200,9.36,9.44,9.25,9.35,1512400
2017-01-13,1484265600,9.28,9.3,9.14,9.19,1107000
2017-01-17,1484611200,9.07,9.19,9.02,9.13,956600
2017-01-18,1484697600,9.05,9.08,8.96,8.98,916600
2017-01-19,1484784000,9.11,9.18,9.05,9.14,767200
2017-01-20,1484870400,9.32,9.32,9.24,9.3,638000
2017-01-23,1485129600,9.31,9.37,9.25,9.36,402800
2017-01-24,1485216000,9.25,9.33,9.23,9.3,641800
2017-01-25,1485302400,9.33,9.5,9.33,9.48,960200
2017-01-26,1485388800,9.4,9.41,9.35,9.37,681800
2017-01-27,1485475200,9.42,9.42,9.33,9.38,824800
2017-01-30,1485734400,9.39,9.4,9.23,9.27,973400
2017-01-31,1485820800,9.32,9.33,9.17,9.23,960200
2017-02-01,1485907200,9.25,9.29,9.07,9.08,1202800
2017-02-02,1485993600,9.17,9.29,9.12,9.19,1160800
2017-02-03,1486080000,9.34,9.44,9.28,9.4,995600
2017-02-06,1486339200,9.34,9.4,9.26,9.29,859200
2017-02-07,1486425600,9.3,9.3,9.22,9.25,546000
2017-02-08,1486512000,9.23,9.45,9.21,9.43,770600
2017-02-09,1486598400,9.42,9.48,9.37,9.42,610400
2017-02-10,1486684800,9.43,9.53,9.43,9.51,653200
2017-02-13,1486944000,9.44,9.53,9.35,9.49,670400
2017-02-14,1487030400,9.51,9.55,9.36,9.53,945400
2017-02-15,1487116800,9.69,9.96,9.69,9.91,1097400
2017-02-16,1487203200,10.0,10.03,9.79,9.81,877400
2017-02-17,1487289600,9.74,9.78,9.66,9.68,669000
2017-02-21,1487635200,9.69,9.74,9.65,9.7,1269400
2017-02-22,1487721600,9.74,9.8,9.73,9.75,929400
2017-02-23,1487808000,9.91,9.91,9.48,9.6,1411800
2017-02-24,1487894400,9.51,9.51,9.25,9.25,1082000
2017-02-27,1488153600,9.44,9.55,9.22,9.24,740000
2017-02-28,1488240000,9.27,9.3,9.13,9.14,632200
2017-03-01,1488326400,9.12,9.31,9.12,9.16,1833400
2017-03-02,1488412800,9.1,9.12,8.98,9.0,1458000
2017-03-03,1488499200,9.27,9.29,9.1,9.26,1380400
2017-03-06,1488758400,9.39,9.4,9.27,9.28,823400
2017-03-07,1488844800,9.35,9.37,9.28,9.29,1130000
2017-03-08,1488931200,9.17,9.22,9.06,9.12,1138800
2017-03-09,1489017600,9.19,9.22,9.0,9.1,1149800
2017-03-10,1489104000,9.45,9.64,9.42,9.62,1797600
2017-03-13,1489363200,9.59,9.73,9.58,9.68,1832800
2017-03-14,1489449600,9.62,9.73,9.6,9.64,1547800
2017-03-15,1489536000,9.66,9.9,9.63,9.87,1211800
2017-03-16,1489622400,9.92,9.99,9.86,9.89,826000
2017-03-17,1489708800,9.96,10.04,9.86,10.0,1553800
2017-03-20,1489968000,10.01,10.12,10.01,10.1,1116200
2017-03-21,1490054400,10.1,10.12,9.96,9.99,892000
2017-03-22,1490140800,9.94,9.98,9.85,9.91,864000
2017-03-23,1490227200,9.85,9.98,9.81,9.96,878000
2017-03-24,1490313600,9.97,10.12,9.93,10.09,1024000
2017-03-27,1490572800,10.09,10.2,10.06,10.17,1023800
2017-03-28,1490659200,10.21,10.28,10.13,10.16,797200
2017-03-29,1490745600,10.21,10.37,10.21,10.34,989600
2017-03-30,1490832000,10.35,10.39,10.22,10.23,965600
2017-03-31,1490918400,10.16,10.24,10.08,10.16,1400600
2017-04-03,1491177600,10.24,10.31,10.18,10.31,585400
2017-04-04,1491264000,10.25,10.32,10.17,10.31,693600
2017-04-05,1491350400,10.3,10.38,10.18,10.21,859000
2017-04-06,1491436800,10.13,10.24,10.04,10.09,1104200
2017-04-07,1491523200,10.19,10.27,10.11,10.13,705200
2017-04-10,1491782400,10.18,10.21,10.07,10.19,782600
2017-04-11,1491868800,9.99,10.01,9.79,9.95,1171200
2017-04-12,1491955200,10.0,10.04,9.88,10.0,1032400
2017-04-13,1492041600,9.99,10.02,9.91,9.93,1537400
2017-04-17,1492387200,10.09,10.25,10.03,10.24,1128200
2017-04-18,1492473600,10.27,10.28,10.08,10.1,1095400
2017-04-19,1492560000,10.09,10.09,9.88,9.92,782600
2017-04-20,1492646400,10.0,10.04,9.87,9.91,741200
2017-04-21,1492732800,9.92,10.0,9.88,9.88,694200
2017-04-24,1492992000,10.07,10.16,10.02,10.1,911800
2017-04-25,1493078400,10.02,10.17,9.99,10.13,794800
2017-04-26,1493164800,10.0,10.04,9.85,9.99,1136000
2017-04-27,1493251200,9.98,10.01,9.76,9.86,860000
2017-04-28,1493337600,9.77,9.93,9.75,9.91,1059800
2017-05-01,1493596800,9.94,9.99,9.9,9.94,652400
2017-05-02,1493683200,10.06,10.25,10.02,10.2,3067000
2017-05-03,1493769600,10.15,10.22,10.02,10.13,3277800
2017-05-04,1493856000,10.15,10.36,10.11,10.35,2071600
2017-05-05,1493942400,10.37,10.39,10.32,10.38,1398400
2017-05-08,1494201600,10.38,10.39,10.23,10.29,730400
2017-05-09,1494288000,10.36,10.45,10.32,10.37,1042200
2017-05-10,1494374400,10.5,10.66,10.5,10.65,1143200
2017-05-11,1494460800,10.64,10.65,10.53,10.63,824800
2017-05-12,1494547200,10.7,10.89,10.67,10.84,1284200
2017-05-15,1494806400,10.84,10.92,10.82,10.88,822200
2017-05-16,1494892800,10.96,11.07,10.94,11.05,874000
2017-05-17,1494979200,10.97,11.01,10.67,10.71,1017200
2017-05-18,1495065600,10.22,10.5,9.34,9.52,5338600
2017-05-19,1495152000,9.62,10.08,9.58,10.0,2702200
2017-05-22,1495411200,9.84,10.03,9.74,9.98,1467600
2017-05-23,1495497600,9.99,10.26,9.99,10.2,1219600
2017-05-24,1495584000,10.28,10.34,10.18,10.21,840200
2017-05-25,1495670400,10.21,10.27,10.13,10.25,747400
2017-05-26,1495756800,10.31,10.46,10.26,10.42,1152400
2017-05-30,1496102400,10.33,10.38,10.27,10.33,508800
2017-05-31,1496188800,10.38,10.45,10.25,10.3,1685600
2017-06-01,1496275200,10.45,10.62,10.4,10.51,1075000
2017-06-02,1496361600,10.64,10.74,10.59,10.7,1241800
2017-06-05,1496620800,10.56,10.66,10.53,10.6,1188000
2017-06-06,1496707200,10.61,10.82,10.59,10.8,858200
2017-06-07,1496793600,10.74,10.8,10.71,10.8,786600
2017-06-08,1496880000,10.66,10.84,10.62,10.83,729600
2017-06-09,1496966400,10.82,10.84,10.58,10.61,1132600
2017-06-12,1497225600,10.55,10.59,10.45,10.45,1070800
2017-06-13,1497312000,10.5,10.55,10.37,10.54,645800
2017-06-14,1497398400,10.63,10.69,10.34,10.44,1284000
2017-06-15,1497484800,10.24,10.4,10.15,10.39,939200
2017-06-16,1497571200,10.43,10.53,10.4,10.5,1605600
2017-06-19,1497830400,10.45,10.56,10.4,10.52,783200
2017-06-20,1497916800,10.44,10.45,10.21,10.24,821000
2017-06-21,1498003200,10.26,10.3,10.13,10.17,720000
2017-06-22,1498089600,10.18,10.24,10.08,10.24,860800
2017-06-23,1498176000,10.16,10.21,10.1,10.14,1166600
2017-06-26,1498435200,10.3,10.42,10.29,10.4,794200
2017-06-27,1498521600,10.33,10.38,10.25,10.32,855800
2017-06-28,1498608000,10.33,10.35,10.22,10.32,1418400
2017-06-29,1498694400,10.33,10.36,10.21,10.27,1431800
2017-06-30,1498780800,10.36,10.57,10.36,10.51,855800
2017-07-03,1499040000,10.56,10.61,10.5,10.52,303000
2017-07-05,1499212800,10.44,10.57,10.36,10.56,1118000
