Date,Time,Open,High,Low,Close,Volume
2017-01-03,1483401600,44.63,45.17,44.19,44.49,7859000
2017-01-04,1483488000,44.51,44.94,44.45,44.82,6199000
2017-01-05,1483574400,44.65,44.75,43.91,44.07,6574900
2017-01-06,1483660800,44.15,44.53,44.15,44.35,5078200
2017-01-09,1483920000,44.14,44.35,43.97,44.16,4337900
2017-01-10,1484006400,44.12,44.6,43.97,44.29,5231600
2017-01-11,1484092800,44.54,44.79,44.31,44.78,7233100
2017-01-12,1484179200,44.65,44.69,44.11,44.47,4539000
2017-01-13,1484265600,44.62,45.08,44.52,44.69,7876400
2017-01-17,1484611200,44.27,44.28,43.37,43.5,9415100
2017-01-18,1484697600,43.59,43.81,43.22,43.71,6525400
2017-01-19,1484784000,43.78,44.08,43.6,43.86,7151600
2017-01-20,1484870400,44.04,44.66,44.0,44.27,8865700
2017-01-23,1485129600,44.1,44.43,43.91,44.07,4858800
2017-01-24,1485216000,44.18,44.96,44.1,44.76,6531700
2017-01-25,1485302400,45.08,45.51,45.08,45.35,8731500
2017-01-26,1485388800,45.35,45.81,45.34,45.78,6494700
2017-01-27,1485475200,45.69,45.95,45.67,45.82,6893400
2017-01-30,1485734400,45.5,45.74,45.28,45.69,7540800
2017-01-31,1485820800,45.5,45.77,45.27,45.52,6736800
2017-02-01,1485907200,45.96,46.38,45.8,45.85,8413800
2017-02-02,1485993600,45.55,46.01,45.51,45.94,8700600
2017-02-03,1486080000,46.52,46.72,46.21,46.4,9104100
2017-02-06,1486339200,46.14,46.5,45.99,46.17,4904000
2017-02-07,1486425600,46.37,46.4,45.88,46.0,4749000
2017-02-08,1486512000,45.73,45.84,45.42,45.73,6398000
2017-02-09,1486598400,45.88,46.38,45.76,46.29,5054000
2017-02-10,1486684800,46.52,46.56,46.25,46.35,3892400
2017-02-13,1486944000,46.59,47.06,46.59,46.8,5709800
2017-02-14,1487030400,46.6,47.21,46.55,47.16,7728300
2017-02-15,1487116800,47.29,47.87,47.14,47.67,8029400
2017-02-16,1487203200,47.59,47.62,47.16,47.56,6204100
2017-02-17,1487289600,47.36,47.45,47.12,47.45,6011600
2017-02-21,1487635200,47.55,47.82,47.49,47.73,5639400
2017-02-22,1487721600,47.52,47.91,47.46,47.82,4851700
2017-02-23,1487808000,47.81,47.99,47.61,47.9,7268000
2017-02-24,1487894400,47.55,47.87,47.42,47.64,7596100
2017-02-27,1488153600,47.72,47.86,47.56,47.8,6378800
2017-02-28,1488240000,47.59,47.72,47.4,47.55,6846600
2017-03-01,1488326400,48.31,48.95,48.26,48.77,8689700
2017-03-02,1488412800,48.89,48.9,47.89,47.97,6431200
2017-03-03,1488499200,47.95,48.17,47.88,48.03,7278200
2017-03-06,1488758400,47.8,47.94,47.59,47.8,6118700
2017-03-07,1488844800,47.75,47.9,47.51,47.58,6678800
2017-03-08,1488931200,47.99,48.25,47.4,47.44,7809600
2017-03-09,1489017600,47.66,47.8,47.39,47.5,5236200
2017-03-10,1489104000,47.8,47.84,47.23,47.5,6721900
2017-03-13,1489363200,47.45,47.74,47.39,47.48,4690300
2017-03-14,1489449600,47.38,47.6,47.18,47.55,6130500
2017-03-15,1489536000,47.68,48.07,47.42,47.52,8487200
2017-03-16,1489622400,47.61,47.87,47.44,47.58,6326200
2017-03-17,1489708800,47.62,47.66,47.24,47.29,7085800
2017-03-20,1489968000,47.03,47.42,46.85,46.9,7706000
2017-03-21,1490054400,47.16,47.16,45.45,45.56,14211700
2017-03-22,1490140800,45.34,45.73,44.74,45.48,8299600
2017-03-23,1490227200,45.34,45.97,45.16,45.46,9022900
2017-03-24,1490313600,45.61,45.81,45.15,45.45,5948800
2017-03-27,1490572800,44.61,45.31,44.14,45.13,7300800
2017-03-28,1490659200,45.02,45.97,44.96,45.57,7736000
2017-03-29,1490745600,45.53,45.59,44.92,44.98,7380700
2017-03-30,1490832000,44.99,45.54,44.89,45.3,9350100
2017-03-31,1490918400,45.13,45.26,44.75,44.77,8197600
2017-04-03,1491177600,44.87,44.87,44.19,44.81,7447400
2017-04-04,1491264000,44.67,44.83,44.52,44.73,4158300
2017-04-05,1491350400,45.12,45.23,44.3,44.37,6138700
2017-04-06,1491436800,44.35,44.77,44.1,44.63,5855000
2017-04-07,1491523200,44.4,44.64,44.22,44.46,6827500
2017-04-10,1491782400,44.55,44.71,44.1,44.14,6484800
2017-04-11,1491868800,44.03,44.32,43.77,44.24,7344900
2017-04-12,1491955200,44.04,44.4,43.89,44.07,7671500
2017-04-13,1492041600,43.83,44.24,43.43,43.44,5888000
2017-04-17,1492387200,43.57,44.0,43.38,43.93,4943600
2017-04-18,1492473600,43.64,43.82,43.18,43.29,9699100
2017-04-19,1492560000,43.57,43.77,43.07,43.19,7268600
2017-04-20,1492646400,43.28,44.24,43.25,44.05,9535400
2017-04-21,1492732800,43.94,44.34,43.86,43.9,9044700
2017-04-24,1492992000,44.94,45.21,44.7,44.82,8060600
2017-04-25,1493078400,45.31,45.62,45.14,45.31,9010900
2017-04-26,1493164800,45.2,45.74,45.2,45.3,7652600
2017-04-27,1493251200,45.39,45.45,44.77,45.13,5826700
2017-04-28,1493337600,45.03,45.2,44.49,44.57,7707200
2017-05-01,1493596800,44.81,45.18,44.7,44.94,4660200
2017-05-02,1493683200,44.94,45.1,44.65,44.83,4368900
2017-05-03,1493769600,44.7,45.43,44.56,45.38,6169300
2017-05-04,1493856000,45.69,45.9,45.33,45.47,5629600
2017-05-05,1493942400,45.44,45.56,44.72,45.0,5373700
2017-05-08,1494201600,44.97,45.2,44.86,45.2,4759000
2017-05-09,1494288000,45.23,45.36,44.66,44.83,5731300
2017-05-10,1494374400,44.77,45.24,44.67,45.17,5281600
2017-05-11,1494460800,44.98,45.04,44.44,44.89,6575500
2017-05-12,1494547200,44.65,44.7,44.32,44.69,6285500
2017-05-15,1494806400,44.77,45.08,44.7,45.0,3975700
2017-05-16,1494892800,45.13,45.34,44.95,45.17,4389300
2017-05-17,1494979200,45.17,45.17,43.55,43.86,7012200
2017-05-18,1495065600,43.82,44.42,43.68,44.1,5950500
2017-05-19,1495152000,44.21,44.7,44.15,44.42,8110100
2017-05-22,1495411200,44.57,44.75,44.22,44.71,4724800
2017-05-23,1495497600,44.7,45.38,44.56,45.17,5061400
2017-05-24,1495584000,45.23,45.31,44.82,45.02,3506700
2017-05-25,1495670400,45.17,45.32,44.97,45.0,3825100
