Date,Time,Open,High,Low,Close,Volume
2017-01-03,1483401600,18.52,18.6,17.69,18.29,408600
2017-01-04,1483488000,18.6,19.0,18.43,18.87,304000
2017-01-05,1483574400,18.98,19.76,18.82,19.6,423900
2017-01-06,1483660800,20.0,20.0,19.11,19.94,352400
2017-01-09,1483920000,19.89,19.97,19.55,19.75,264400
2017-01-10,1484006400,19.68,19.98,19.6,19.85,211500
2017-01-11,1484092800,19.85,19.97,19.69,19.71,165300
2017-01-12,1484179200,19.66,19.7,19.07,19.35,164800
2017-01-13,1484265600,19.43,19.7,19.4,19.43,182800
2017-01-17,1484611200,19.28,19.45,19.11,19.28,220900
2017-01-18,1484697600,19.3,19.58,19.02,19.07,172500
2017-01-19,1484784000,19.53,20.14,19.2,20.03,563800
2017-01-20,1484870400,20.0,21.23,20.0,20.38,751600
2017-01-23,1485129600,20.4,20.4,19.62,19.65,393400
2017-01-24,1485216000,19.68,19.78,19.02,19.64,205500
2017-01-25,1485302400,19.7,20.14,19.53,19.97,380900
2017-01-26,1485388800,20.03,20.18,19.66,20.13,159700
2017-01-27,1485475200,20.12,21.0,20.07,20.69,386900
2017-01-30,1485734400,20.71,20.78,20.17,20.28,221300
2017-01-31,1485820800,20.14,20.77,20.09,20.75,230000
2017-02-01,1485907200,20.75,21.06,20.18,20.34,258600
2017-02-02,1485993600,20.23,20.94,20.23,20.7,193400
2017-02-03,1486080000,20.66,21.08,20.45,21.07,195100
2017-02-06,1486339200,21.17,21.48,20.75,20.78,205400
2017-02-07,1486425600,20.86,21.12,20.59,20.69,126300
2017-02-08,1486512000,20.67,21.2,20.3,21.04,180000
2017-02-09,1486598400,21.1,21.93,20.95,21.58,337900
2017-02-10,1486684800,22.4,22.48,20.01,20.65,1022500
2017-02-13,1486944000,20.81,20.81,19.74,20.03,558500
2017-02-14,1487030400,19.92,20.5,19.92,20.23,232800
2017-02-15,1487116800,20.06,20.13,19.57,19.89,336700
2017-02-16,1487203200,19.81,19.99,19.68,19.88,191400
2017-02-17,1487289600,19.88,19.99,19.48,19.87,206700
2017-02-21,1487635200,19.85,20.1,19.8,19.94,181300
2017-02-22,1487721600,19.89,20.08,19.81,19.95,130100
2017-02-23,1487808000,20.03,20.37,19.87,20.29,146300
2017-02-24,1487894400,20.26,21.33,20.2,21.23,278300
2017-02-27,1488153600,21.11,21.21,20.81,20.89,128100
2017-02-28,1488240000,20.92,21.0,20.61,20.69,123200
2017-03-01,1488326400,20.7,20.86,20.48,20.82,260200
2017-03-02,1488412800,20.81,20.93,20.56,20.9,125800
2017-03-03,1488499200,20.9,20.9,20.57,20.81,123000
2017-03-06,1488758400,20.69,21.21,20.69,21.1,146200
2017-03-07,1488844800,21.11,21.94,21.01,21.94,421600
2017-03-08,1488931200,21.95,22.15,21.74,22.01,188700
2017-03-09,1489017600,21.91,22.34,21.88,22.06,184500
2017-03-10,1489104000,22.27,22.48,22.0,22.47,134500
2017-03-13,1489363200,22.46,22.96,22.38,22.95,186500
2017-03-14,1489449600,22.75,23.26,22.72,23.19,366100
2017-03-15,1489536000,23.18,23.66,23.11,23.5,249600
2017-03-16,1489622400,23.59,23.76,23.25,23.57,174700
2017-03-17,1489708800,23.61,24.46,23.44,24.44,316700
2017-03-20,1489968000,24.23,24.67,23.98,24.34,196400
2017-03-21,1490054400,24.41,24.6,23.93,24.13,271200
2017-03-22,1490140800,24.0,24.16,22.26,22.5,464600
2017-03-23,1490227200,22.62,23.57,22.5,23.06,226200
2017-03-24,1490313600,23.17,23.74,22.99,23.62,209400
2017-03-27,1490572800,23.71,23.97,23.25,23.88,183600
2017-03-28,1490659200,23.97,24.15,23.84,24.12,103800
2017-03-29,1490745600,24.17,24.36,23.87,24.02,138600
2017-03-30,1490832000,24.06,24.34,23.94,24.3,102700
2017-03-31,1490918400,24.35,25.12,24.24,24.83,320400
2017-04-03,1491177600,24.93,24.93,23.92,24.76,335700
2017-04-04,1491264000,24.79,25.16,24.17,24.21,283200
2017-04-05,1491350400,24.27,24.5,23.89,23.9,141500
2017-04-06,1491436800,23.82,24.11,23.43,24.05,131700
2017-04-07,1491523200,24.05,24.26,23.89,24.17,134800
2017-04-10,1491782400,24.14,24.26,23.6,23.74,85600
2017-04-11,1491868800,23.76,24.1,23.65,23.98,64200
2017-04-12,1491955200,23.94,24.01,23.42,23.56,73500
2017-04-13,1492041600,23.5,23.83,23.5,23.55,92500
2017-04-17,1492387200,23.52,23.85,23.48,23.77,69200
2017-04-18,1492473600,23.77,24.19,22.85,23.21,253700
2017-04-19,1492560000,23.32,23.92,23.32,23.85,216400
2017-04-20,1492646400,23.95,24.48,23.8,24.44,170000
2017-04-21,1492732800,24.38,24.4,23.89,23.91,98400
2017-04-24,1492992000,24.22,24.35,23.85,24.18,91000
2017-04-25,1493078400,24.32,25.0,24.32,24.8,152400
2017-04-26,1493164800,24.74,25.14,24.51,24.54,145200
2017-04-27,1493251200,24.59,25.24,24.35,24.96,143900
2017-04-28,1493337600,23.7,25.76,22.9,25.36,629300
2017-05-01,1493596800,25.34,25.89,25.07,25.68,262900
2017-05-02,1493683200,25.0,26.0,25.0,25.74,355500
2017-05-03,1493769600,25.6,25.6,24.33,24.5,453300
2017-05-04,1493856000,24.56,24.9,24.31,24.82,141000
2017-05-05,1493942400,24.94,25.13,24.62,24.75,121300
2017-05-08,1494201600,24.83,24.98,24.65,24.88,91900
2017-05-09,1494288000,24.83,24.89,24.55,24.76,167100
2017-05-10,1494374400,24.8,25.32,24.77,25.11,151300
2017-05-11,1494460800,25.1,25.48,25.0,25.19,171600
2017-05-12,1494547200,25.0,25.47,25.0,25.12,106600
2017-05-15,1494806400,25.09,25.48,25.02,25.37,223200
2017-05-16,1494892800,25.31,26.09,25.31,26.09,184600
2017-05-17,1494979200,25.75,25.75,25.0,25.07,183800
2017-05-18,1495065600,25.12,25.21,24.72,25.11,247700
2017-05-19,1495152000,25.15,25.87,25.08,25.75,184500
2017-05-22,1495411200,25.75,25.84,25.31,25.74,157800
2017-05-23,1495497600,25.75,26.16,25.51,26.02,161700
2017-05-24,1495584000,26.05,26.63,25.77,26.57,189200
2017-05-25,1495670400,26.57,26.67,26.06,26.17,129000
2017-05-26,1495756800,26.23,26.39,26.14,26.26,123000
2017-05-30,1496102400,26.27,26.56,26.1,26.49,109200
2017-05-31,1496188800,26.5,27.0,26.47,26.73,221300
2017-06-01,1496275200,26.78,27.1,26.49,26.94,212300
2017-06-02,1496361600,26.98,27.4,26.65,26.67,186000
2017-06-05,1496620800,26.65,27.0,26.11,26.78,233000
2017-06-06,1496707200,26.71,27.06,26.41,26.89,177200
2017-06-07,1496793600,26.94,27.38,26.75,27.32,257700
2017-06-08,1496880000,27.34,28.0,27.23,27.92,272500
2017-06-09,1496966400,27.95,28.15,26.91,27.03,144400
2017-06-12,1497225600,27.01,27.01,25.54,26.26,256500
2017-06-13,1497312000,26.25,27.11,26.25,27.09,212200
2017-06-14,1497398400,27.2,27.95,27.05,27.3,254800
2017-06-15,1497484800,26.95,27.21,26.27,26.61,163200
2017-06-16,1497571200,26.42,27.09,26.38,27.03,286000
2017-06-19,1497830400,27.22,27.3,26.59,27.22,178100
2017-06-20,1497916800,27.24,27.44,26.35,26.49,259900
2017-06-21,1498003200,26.58,26.96,26.32,26.48,332300
2017-06-22,1498089600,26.55,26.97,26.42,26.95,188500
2017-06-23,1498176000,26.96,27.33,26.96,27.24,430700
2017-06-26,1498435200,27.24,27.53,26.96,27.4,253900
2017-06-27,1498521600,27.45,27.45,26.55,26.59,144400
2017-06-28,1498608000,26.79,26.99,26.5,26.98,172300
2017-06-29,1498694400,26.94,27.1,26.1,26.6,125800
2017-06-30,1498780800,26.61,26.8,25.99,26.42,334600
2017-07-03,1499040000,26.45,26.45,25.58,25.78,99100
2017-07-05,1499212800,25.82,25.99,24.86,25.98,305400
2017-07-06,1499299200,25.8,25.85,24.92,24.92,190900
2017-07-07,1499385600,25.1,25.39,24.65,25.26,207400
2017-07-10,1499644800,25.16,25.31,24.54,24.59,300500
2017-07-11,1499731200,24.57,25.44,24.57,25.06,158500
2017-07-12,1499817600,25.26,25.5,24.87,25.28,83200
2017-07-13,1499904000,25.34,25.48,24.94,25.45,179200
2017-07-14,1499990400,25.49,26.07,25.49,25.98,137100
2017-07-17,1500249600,26.0,26.33,25.88,26.26,137000
2017-07-18,1500336000,26.24,26.25,25.52,25.56,247000
2017-07-19,1500422400,25.67,26.57,25.67,26.21,202300
2017-07-20,1500508800,26.38,26.76,26.07,26.64,167000
2017-07-21,1500595200,26.75,27.0,26.22,26.4,84700
2017-07-24,1500854400,26.39,26.63,26.03,26.17,124000
2017-07-25,1500940800,26.16,26.37,25.24,25.25,316300
2017-07-26,1501027200,25.34,25.9,25.06,25.9,202200
2017-07-27,1501113600,26.03,26.64,25.81,25.85,344500
2017-07-28,1501200000,25.25,27.51,25.22,26.81,449000
2017-07-31,1501459200,26.85,27.47,26.85,27.27,304200
2017-08-01,1501545600,27.41,27.93,27.23,27.74,180000
2017-08-02,1501632000,27.86,27.86,27.24,27.47,124500
2017-08-03,1501718400,27.47,27.64,27.24,27.57,120400
2017-08-04,1501804800,27.62,27.7,27.35,27.61,75900
2017-08-07,1502064000,27.62,27.93,27.48,27.88,78600
2017-08-08,1502150400,27.86,28.6,27.7,28.21,114800
2017-08-09,1502236800,28.05,28.4,27.58,27.68,163600
2017-08-10,1502323200,27.5,27.64,26.67,27.08,203800
2017-08-11,1502409600,26.86,27.73,26.29,26.92,244700
2017-08-14,1502668800,27.23,27.8,27.04,27.48,125400
2017-08-15,1502755200,27.61,27.7,27.21,27.26,89200
2017-08-16,1502841600,27.34,28.12,27.34,28.12,239400
2017-08-17,1502928000,27.99,28.14,27.49,27.76,162400
2017-08-18,1503014400,27.56,27.8,27.23,27.62,88500
2017-08-21,1503273600,27.6,27.93,27.14,27.47,73200
2017-08-22,1503360000,27.62,27.72,27.43,27.48,73300
2017-08-23,1503446400,27.35,27.68,27.08,27.24,107100
2017-08-24,1503532800,27.23,27.57,27.08,27.25,73900
2017-08-25,1503619200,27.23,27.49,26.82,26.92,131500
2017-08-28,1503878400,27.03,27.68,26.87,27.66,89300
2017-08-29,1503964800,27.49,27.69,27.34,27.59,82000
2017-08-30,1504051200,27.64,27.94,27.57,27.75,91200
2017-08-31,1504137600,27.77,28.14,27.7,27.85,166100
2017-09-01,1504224000,27.95,28.03,27.53,28.02,74800
2017-09-05,1504569600,27.81,28.46,27.79,27.99,141900
