Date,Time,Open,High,Low,Close,Volume
2017-01-03,1483401600,31.63,32.14,31.26,31.72,141500
2017-01-04,1483488000,31.88,32.35,31.7,32.07,232500
2017-01-05,1483574400,32.25,32.67,32.19,32.39,98800
2017-01-06,1483660800,32.47,32.47,32.05,32.21,84500
2017-01-09,1483920000,31.97,32.13,31.58,31.66,101200
2017-01-10,1484006400,31.81,32.07,31.64,31.75,90200
2017-01-11,1484092800,31.8,32.04,31.48,31.87,71300
2017-01-12,1484179200,32.25,32.31,31.52,31.59,152600
2017-01-13,1484265600,31.51,31.92,31.22,31.84,65700
2017-01-17,1484611200,32.16,32.4,31.6,31.61,129400
2017-01-18,1484697600,31.28,31.41,30.83,30.85,66400
2017-01-19,1484784000,30.9,31.02,30.83,30.9,61000
2017-01-20,1484870400,31.14,31.29,30.93,30.99,48500
2017-01-23,1485129600,30.69,31.01,30.58,30.73,98200
2017-01-24,1485216000,30.96,31.38,30.96,31.11,71200
2017-01-25,1485302400,31.08,31.55,31.08,31.51,72800
2017-01-26,1485388800,31.63,31.68,31.14,31.24,56800
2017-01-27,1485475200,31.01,31.1,30.63,30.79,58300
2017-01-30,1485734400,30.63,30.69,30.14,30.31,95700
2017-01-31,1485820800,30.57,30.86,30.41,30.84,87600
2017-02-01,1485907200,31.01,31.03,30.45,30.87,181100
2017-02-02,1485993600,30.97,31.18,30.5,30.63,147000
2017-02-03,1486080000,30.74,31.13,30.51,30.67,98100
2017-02-06,1486339200,30.55,30.55,29.71,29.92,94600
2017-02-07,1486425600,29.55,29.74,29.35,29.54,90700
2017-02-08,1486512000,29.34,29.77,28.62,29.74,128700
2017-02-09,1486598400,30.07,30.25,29.64,29.69,90600
2017-02-10,1486684800,30.19,30.66,30.19,30.44,78100
2017-02-13,1486944000,30.3,30.3,29.91,30.24,59300
2017-02-14,1487030400,30.38,30.38,30.04,30.27,70100
2017-02-15,1487116800,30.07,30.28,30.0,30.05,74300
2017-02-16,1487203200,30.15,30.32,29.68,29.72,132300
2017-02-17,1487289600,29.58,29.84,29.58,29.8,116300
2017-02-21,1487635200,30.05,30.54,29.8,30.41,132000
2017-02-22,1487721600,30.19,30.19,29.49,29.54,94200
2017-02-23,1487808000,30.12,30.22,29.63,29.72,70000
2017-02-24,1487894400,29.57,29.68,29.27,29.57,124800
2017-02-27,1488153600,29.81,30.42,29.35,29.41,196000
2017-02-28,1488240000,29.11,29.13,28.51,28.59,205900
2017-03-01,1488326400,28.83,29.34,28.46,29.31,335000
2017-03-02,1488412800,28.98,29.48,28.97,29.14,318000
2017-03-03,1488499200,29.08,29.42,28.91,28.99,135700
2017-03-06,1488758400,28.74,29.03,28.43,28.93,120000
2017-03-07,1488844800,28.99,29.27,28.55,29.17,181400
2017-03-08,1488931200,28.91,28.96,27.58,27.66,133600
2017-03-09,1489017600,27.51,27.9,26.92,27.66,143400
2017-03-10,1489104000,27.9,28.02,27.47,27.63,109200
2017-03-13,1489363200,27.62,27.67,27.25,27.44,166400
2017-03-14,1489449600,27.09,27.38,26.72,26.95,131300
2017-03-15,1489536000,27.21,28.16,27.17,28.04,128300
2017-03-16,1489622400,27.98,28.39,27.96,28.02,94000
2017-03-17,1489708800,28.15,28.27,27.8,27.8,116100
2017-03-20,1489968000,27.7,27.78,27.22,27.49,87900
2017-03-21,1490054400,27.57,27.79,26.89,26.94,114600
2017-03-22,1490140800,26.68,27.18,26.43,27.11,112900
2017-03-23,1490227200,26.93,27.47,26.84,27.12,78000
2017-03-24,1490313600,27.2,27.23,26.76,26.9,142200
2017-03-27,1490572800,26.67,27.35,26.64,27.17,105800
2017-03-28,1490659200,27.31,27.82,27.2,27.75,78000
2017-03-29,1490745600,27.78,28.01,27.52,27.99,83700
2017-03-30,1490832000,28.12,28.21,27.75,27.75,89800
2017-03-31,1490918400,27.77,28.39,27.72,28.32,99900
2017-04-03,1491177600,28.16,28.31,27.99,28.09,151100
2017-04-04,1491264000,28.11,28.41,27.94,28.34,92900
2017-04-05,1491350400,28.59,28.78,27.98,28.09,109400
2017-04-06,1491436800,28.22,28.48,28.05,28.22,79100
2017-04-07,1491523200,28.33,28.37,28.09,28.16,57300
2017-04-10,1491782400,28.3,28.62,28.3,28.41,55200
2017-04-11,1491868800,28.34,28.86,28.25,28.7,113000
2017-04-12,1491955200,28.65,28.97,28.56,28.74,94100
2017-04-13,1492041600,28.81,28.81,28.2,28.31,94100
2017-04-17,1492387200,28.34,28.56,28.23,28.37,96900
2017-04-18,1492473600,28.22,28.49,27.87,27.93,100400
2017-04-19,1492560000,27.91,27.95,27.17,27.25,91100
2017-04-20,1492646400,27.26,27.54,27.07,27.09,88500
2017-04-21,1492732800,27.07,27.34,26.85,27.26,70300
2017-04-24,1492992000,27.39,27.47,26.99,27.01,106200
2017-04-25,1493078400,26.98,27.13,26.79,27.08,85200
2017-04-26,1493164800,26.91,27.4,26.71,26.73,106600
2017-04-27,1493251200,26.63,26.63,25.88,26.35,120400
2017-04-28,1493337600,26.66,27.01,26.24,26.69,185900
2017-05-01,1493596800,26.83,26.98,26.63,26.88,102100
2017-05-02,1493683200,26.85,26.93,26.47,26.72,118400
2017-05-03,1493769600,26.66,26.67,26.18,26.22,132300
2017-05-04,1493856000,25.97,26.16,25.7,25.91,130600
2017-05-05,1493942400,25.88,26.76,25.85,26.72,199400
2017-05-08,1494201600,26.66,27.07,26.42,26.94,200200
2017-05-09,1494288000,26.94,27.04,26.49,26.66,118400
2017-05-10,1494374400,26.76,27.69,26.74,27.51,131900
2017-05-11,1494460800,27.6,27.6,27.11,27.13,107500
2017-05-12,1494547200,27.18,27.18,26.84,27.15,82100
2017-05-15,1494806400,27.68,27.75,26.97,26.99,154400
2017-05-16,1494892800,27.09,27.16,26.37,26.44,128000
2017-05-17,1494979200,26.35,26.35,25.69,25.7,241900
2017-05-18,1495065600,25.69,25.79,25.16,25.29,221200
2017-05-19,1495152000,25.44,26.53,25.32,26.45,191800
2017-05-22,1495411200,26.67,26.67,26.34,26.49,62100
2017-05-23,1495497600,26.56,26.56,25.71,26.04,265400
2017-05-24,1495584000,25.94,26.23,25.19,25.52,157100
2017-05-25,1495670400,25.52,25.83,24.45,24.58,180600
2017-05-26,1495756800,24.63,24.69,24.37,24.43,173100
2017-05-30,1496102400,24.39,24.43,23.76,23.83,268500
2017-05-31,1496188800,23.59,23.9,23.25,23.83,285300
2017-06-01,1496275200,23.79,24.43,23.71,24.02,193500
2017-06-02,1496361600,23.93,23.93,23.45,23.67,143300
2017-06-05,1496620800,23.54,23.92,23.38,23.85,186300
2017-06-06,1496707200,23.76,24.37,23.76,24.27,136400
2017-06-07,1496793600,24.21,24.47,23.74,23.92,375600
2017-06-08,1496880000,23.89,24.5,23.84,24.21,251700
2017-06-09,1496966400,24.29,25.59,24.28,25.29,416000
2017-06-12,1497225600,25.5,25.88,25.2,25.63,269200
2017-06-13,1497312000,25.8,26.35,25.59,26.13,203100
2017-06-14,1497398400,26.13,26.21,25.71,25.88,267300
2017-06-15,1497484800,25.71,25.94,24.92,25.04,257800
2017-06-16,1497571200,25.1,25.67,25.06,25.65,335200
2017-06-19,1497830400,25.68,25.72,25.34,25.45,130100
2017-06-20,1497916800,24.93,25.02,24.47,24.68,165200
2017-06-21,1498003200,24.6,25.2,24.16,24.34,199200
2017-06-22,1498089600,24.56,24.98,24.47,24.59,158900
2017-06-23,1498176000,24.53,24.77,24.28,24.41,198600
2017-06-26,1498435200,24.55,24.59,24.18,24.21,214900
2017-06-27,1498521600,24.36,24.74,24.31,24.34,168300
2017-06-28,1498608000,24.45,24.89,24.42,24.67,131900
2017-06-29,1498694400,24.62,24.94,24.13,24.16,171300
2017-06-30,1498780800,24.26,24.54,24.09,24.3,174200
2017-07-03,1499040000,24.45,24.9,24.45,24.82,66600
2017-07-05,1499212800,24.54,24.54,23.57,23.86,222100
2017-07-06,1499299200,23.91,24.25,23.46,23.57,187700
2017-07-07,1499385600,23.52,23.52,22.91,23.06,157300
2017-07-10,1499644800,22.98,23.54,22.93,23.48,207700
2017-07-11,1499731200,23.43,23.5,22.91,22.95,284400
2017-07-12,1499817600,23.3,24.39,23.28,23.77,297500
2017-07-13,1499904000,23.87,23.99,23.63,23.86,184100
2017-07-14,1499990400,23.95,24.11,23.76,23.86,157900
2017-07-17,1500249600,23.85,24.05,23.63,23.69,138600
2017-07-18,1500336000,23.89,23.96,23.6,23.68,105400
2017-07-19,1500422400,23.67,24.42,23.67,24.31,191200
2017-07-20,1500508800,24.51,24.9,24.01,24.02,196700
2017-07-21,1500595200,24.07,24.28,23.93,24.11,138300
2017-07-24,1500854400,24.13,24.36,24.0,24.13,138000
2017-07-25,1500940800,24.36,24.9,24.36,24.61,152700
2017-07-26,1501027200,25.52,25.79,24.73,25.65,231400
2017-07-27,1501113600,26.28,26.37,25.71,25.96,290000
2017-07-28,1501200000,26.02,26.4,25.78,25.84,143100
2017-07-31,1501459200,25.85,26.0,25.16,25.38,93300
2017-08-01,1501545600,25.39,25.39,24.78,25.02,115900
2017-08-02,1501632000,24.85,25.35,24.78,25.17,148400
2017-08-03,1501718400,25.18,25.22,24.18,24.3,157400
2017-08-04,1501804800,24.33,24.86,24.19,24.8,150600
2017-08-07,1502064000,24.62,24.69,24.36,24.68,56200
2017-08-08,1502150400,24.5,24.69,24.29,24.67,151000
2017-08-09,1502236800,24.71,24.82,24.28,24.32,106700
2017-08-10,1502323200,24.35,24.57,23.96,24.07,137200
2017-08-11,1502409600,23.87,24.19,23.49,23.96,201500
2017-08-14,1502668800,24.02,24.25,23.58,23.61,124400
2017-08-15,1502755200,23.54,23.7,23.38,23.45,73200
2017-08-16,1502841600,23.45,23.84,23.3,23.44,261500
2017-08-17,1502928000,23.45,23.81,23.43,23.49,209400
2017-08-18,1503014400,23.77,24.2,23.55,24.1,199400
2017-08-21,1503273600,24.04,24.05,23.59,23.61,181000
2017-08-22,1503360000,23.65,24.15,23.65,23.91,121800
2017-08-23,1503446400,23.81,24.52,23.79,24.31,140100
2017-08-24,1503532800,24.26,24.52,24.22,24.46,120800
2017-08-25,1503619200,24.58,24.71,24.25,24.56,110000
2017-08-28,1503878400,24.64,24.64,24.14,24.21,152000
2017-08-29,1503964800,24.08,24.49,24.04,24.46,106600
2017-08-30,1504051200,24.3,24.5,24.15,24.47,125900
2017-08-31,1504137600,24.6,25.4,24.53,25.25,197700
2017-09-01,1504224000,25.29,26.18,25.29,26.07,193800
2017-09-05,1504569600,26.24,26.38,25.88,25.93,198800
2017-09-06,1504656000,26.04,26.35,25.56,26.16,270000
2017-09-07,1504742400,26.17,26.47,25.83,26.42,165000
2017-09-08,1504828800,26.32,26.44,25.83,25.9,107300
2017-09-11,1505088000,25.97,26.5,25.94,26.38,97500
2017-09-12,1505174400,26.4,26.67,26.28,26.65,121300
2017-09-13,1505260800,26.72,27.97,26.68,27.92,239200
2017-09-14,1505347200,28.11,28.69,28.08,28.53,289200
2017-09-15,1505433600,28.66,28.91,28.4,28.53,202100
2017-09-18,1505692800,28.52,28.85,28.37,28.51,121900
2017-09-19,1505779200,28.63,28.8,28.37,28.64,159400
