Date,Time,Open,High,Low,Close,Volume
2017-01-03,1483401600,16.0,16.3,15.25,15.6,632500
2017-01-04,1483488000,15.65,16.2,15.65,15.95,581100
2017-01-05,1483574400,16.0,16.2,15.75,15.8,329600
2017-01-06,1483660800,15.75,15.88,15.3,15.35,375100
2017-01-09,1483920000,15.4,15.4,14.5,14.7,1056000
2017-01-10,1484006400,14.7,14.9,14.25,14.8,486500
2017-01-11,1484092800,14.8,14.8,13.65,14.0,1066400
2017-01-12,1484179200,13.85,14.25,13.7,14.05,495400
2017-01-13,1484265600,14.05,14.55,14.0,14.25,548600
2017-01-17,1484611200,14.15,14.15,13.35,13.45,627200
2017-01-18,1484697600,13.6,13.95,13.5,13.85,809200
2017-01-19,1484784000,13.85,14.0,13.2,13.6,704000
2017-01-20,1484870400,13.6,13.6,13.25,13.25,472500
2017-01-23,1485129600,13.35,13.35,13.0,13.05,464500
2017-01-24,1485216000,13.1,13.2,12.7,13.2,501100
2017-01-25,1485302400,13.2,13.78,13.1,13.7,596500
2017-01-26,1485388800,13.65,13.93,13.43,13.6,509000
2017-01-27,1485475200,13.55,13.8,13.2,13.8,484900
2017-01-30,1485734400,13.7,13.7,13.15,13.3,396200
2017-01-31,1485820800,13.25,14.25,13.1,14.15,612800
2017-02-01,1485907200,14.25,14.25,13.7,13.85,568600
2017-02-02,1485993600,13.85,13.95,13.38,13.55,543800
2017-02-03,1486080000,13.5,13.7,13.11,13.65,457300
2017-02-06,1486339200,13.65,13.9,13.5,13.75,445300
2017-02-07,1486425600,13.75,13.85,13.25,13.65,859200
2017-02-08,1486512000,14.5,14.75,13.93,14.3,2039400
2017-02-09,1486598400,14.7,14.85,14.0,14.15,953700
2017-02-10,1486684800,14.25,14.5,14.05,14.3,809500
2017-02-13,1486944000,14.5,14.75,14.38,14.5,494400
2017-02-14,1487030400,14.45,14.65,14.15,14.6,473700
2017-02-15,1487116800,14.6,14.7,14.35,14.5,792700
2017-02-16,1487203200,15.15,15.4,14.13,14.5,959400
2017-02-17,1487289600,14.6,15.3,14.45,15.0,1161000
2017-02-21,1487635200,15.0,15.0,14.45,14.5,687400
2017-02-22,1487721600,14.5,14.5,13.85,13.85,494500
2017-02-23,1487808000,13.85,13.9,13.55,13.6,410900
2017-02-24,1487894400,13.45,13.85,13.35,13.8,568100
2017-02-27,1488153600,13.8,14.38,13.7,14.3,640400
2017-02-28,1488240000,14.3,14.35,13.9,14.25,967400
2017-03-01,1488326400,14.4,14.65,14.28,14.5,628500
2017-03-02,1488412800,14.55,14.7,14.05,14.15,589400
2017-03-03,1488499200,14.15,14.45,14.05,14.25,416300
2017-03-06,1488758400,14.25,14.45,14.1,14.45,509600
2017-03-07,1488844800,14.3,14.5,14.1,14.2,327700
2017-03-08,1488931200,14.25,15.05,14.14,14.95,878700
2017-03-09,1489017600,15.0,15.23,14.5,14.9,541900
2017-03-10,1489104000,15.0,15.05,14.75,14.95,400000
2017-03-13,1489363200,14.8,15.0,13.85,14.9,534200
2017-03-14,1489449600,14.9,15.08,14.55,14.8,342500
2017-03-15,1489536000,14.8,15.13,14.8,15.05,427500
2017-03-16,1489622400,15.05,15.1,14.5,14.55,504800
2017-03-17,1489708800,14.5,14.63,14.25,14.35,791600
2017-03-20,1489968000,14.35,14.5,14.1,14.15,394400
2017-03-21,1490054400,14.2,14.33,13.35,13.9,1031400
2017-03-22,1490140800,13.9,14.2,13.78,13.95,920300
2017-03-23,1490227200,13.95,14.35,13.9,14.1,412100
2017-03-24,1490313600,14.15,14.45,14.0,14.45,598200
2017-03-27,1490572800,14.35,14.6,14.15,14.4,456900
2017-03-28,1490659200,14.35,14.6,14.05,14.25,322000
2017-03-29,1490745600,14.3,14.55,14.15,14.2,274000
2017-03-30,1490832000,14.25,14.35,13.85,14.15,420500
2017-03-31,1490918400,14.15,14.3,13.9,14.0,616100
2017-04-03,1491177600,14.0,14.2,13.8,13.85,489600
2017-04-04,1491264000,13.85,14.05,13.6,13.83,397700
2017-04-05,1491350400,13.85,13.99,13.35,13.45,366300
2017-04-06,1491436800,13.55,13.6,13.3,13.55,526400
2017-04-07,1491523200,13.5,13.8,13.2,13.75,483100
2017-04-10,1491782400,13.75,13.93,13.55,13.55,318200
2017-04-11,1491868800,13.55,13.7,13.35,13.6,356200
2017-04-12,1491955200,13.95,13.95,13.55,13.75,438100
2017-04-13,1492041600,13.75,14.2,13.65,13.95,360800
2017-04-17,1492387200,14.0,14.05,13.6,13.85,372300
2017-04-18,1492473600,14.1,14.5,13.95,14.4,513600
2017-04-19,1492560000,14.45,14.5,14.0,14.05,604800
2017-04-20,1492646400,14.1,14.58,14.1,14.45,497800
2017-04-21,1492732800,14.45,14.49,14.2,14.45,294800
2017-04-24,1492992000,14.6,14.85,14.45,14.75,345000
2017-04-25,1493078400,14.85,15.1,14.85,14.9,457100
2017-04-26,1493164800,14.9,15.48,14.9,15.25,596400
2017-04-27,1493251200,15.2,15.45,15.15,15.2,485400
2017-04-28,1493337600,15.2,15.3,15.05,15.25,339700
2017-05-01,1493596800,15.3,15.45,14.95,15.0,736900
2017-05-02,1493683200,15.0,15.05,14.6,14.85,685900
2017-05-03,1493769600,13.7,15.45,13.21,14.95,659700
2017-05-04,1493856000,14.9,14.95,14.55,14.65,366000
2017-05-05,1493942400,14.65,14.65,14.15,14.5,434900
2017-05-08,1494201600,14.5,14.65,13.93,14.05,559400
2017-05-09,1494288000,14.15,14.3,13.98,14.3,502700
2017-05-10,1494374400,14.3,14.4,14.05,14.3,415900
2017-05-11,1494460800,14.15,14.29,14.0,14.15,590900
2017-05-12,1494547200,14.2,14.53,14.12,14.5,354500
2017-05-15,1494806400,14.5,14.58,14.35,14.45,304500
2017-05-16,1494892800,14.5,14.85,14.3,14.75,424400
2017-05-17,1494979200,14.55,14.7,13.98,14.1,726500
2017-05-18,1495065600,14.15,14.65,14.15,14.6,487100
2017-05-19,1495152000,14.6,14.7,14.15,14.25,332000
2017-05-22,1495411200,14.25,14.3,14.0,14.2,278500
2017-05-23,1495497600,14.25,14.25,14.0,14.15,285900
2017-05-24,1495584000,14.15,14.15,13.75,13.8,425100
2017-05-25,1495670400,13.9,14.15,13.75,14.05,304300
2017-05-26,1495756800,14.3,14.5,13.95,14.05,440100
2017-05-30,1496102400,14.0,14.05,13.77,13.8,285600
2017-05-31,1496188800,13.9,14.0,13.4,13.75,572900
2017-06-01,1496275200,13.75,13.95,13.6,13.8,685400
2017-06-02,1496361600,13.9,14.03,13.6,13.8,615400
2017-06-05,1496620800,13.85,13.93,13.6,13.75,469100
2017-06-06,1496707200,13.7,13.85,13.6,13.8,406000
2017-06-07,1496793600,13.85,13.85,13.55,13.7,297500
2017-06-08,1496880000,13.8,14.0,13.65,13.8,536900
2017-06-09,1496966400,13.8,14.0,13.6,13.65,650100
2017-06-12,1497225600,13.6,13.8,13.6,13.8,585200
2017-06-13,1497312000,13.8,13.9,13.68,13.9,499100
2017-06-14,1497398400,13.9,14.0,13.65,13.85,410400
2017-06-15,1497484800,13.75,13.85,13.6,13.75,490200
2017-06-16,1497571200,13.65,13.83,13.63,13.75,519600
2017-06-19,1497830400,13.85,14.05,13.75,14.05,505900
2017-06-20,1497916800,14.05,15.3,14.03,15.2,1023900
2017-06-21,1498003200,15.3,15.9,15.2,15.8,1038700
2017-06-22,1498089600,15.85,16.5,15.85,16.1,706700
2017-06-23,1498176000,16.05,16.15,15.8,15.9,1296600
2017-06-26,1498435200,15.95,16.05,15.75,15.85,412300
2017-06-27,1498521600,15.95,16.25,15.75,15.75,565000
2017-06-28,1498608000,15.85,16.3,15.75,16.15,390700
2017-06-29,1498694400,16.15,16.55,15.9,16.55,634800
2017-06-30,1498780800,16.65,16.65,15.95,16.3,604400
2017-07-03,1499040000,16.4,16.8,16.3,16.75,353000
2017-07-05,1499212800,16.75,17.0,16.6,16.95,440900
2017-07-06,1499299200,16.85,17.27,16.6,16.6,512200
2017-07-07,1499385600,16.7,16.9,16.65,16.8,199400
2017-07-10,1499644800,16.7,16.85,16.52,16.55,279800
2017-07-11,1499731200,16.6,16.9,16.5,16.55,209900
2017-07-12,1499817600,16.6,16.7,16.43,16.7,233100
