Date,Time,Open,High,Low,Close,Volume
2017-01-03,1483401600,1.84,1.86,1.8,1.83,68700
2017-01-04,1483488000,1.84,1.86,1.83,1.84,35500
2017-01-05,1483574400,1.82,1.86,1.82,1.86,34900
2017-01-06,1483660800,1.86,1.9,1.82,1.89,113000
2017-01-09,1483920000,1.9,1.9,1.84,1.86,39900
2017-01-10,1484006400,1.85,1.9,1.84,1.9,65300
2017-01-11,1484092800,1.9,1.97,1.88,1.97,48300
2017-01-12,1484179200,1.97,2.09,1.96,2.05,91000
2017-01-13,1484265600,2.06,2.19,2.06,2.1,53600
2017-01-17,1484611200,2.1,2.13,1.99,2.0,44000
2017-01-18,1484697600,2.01,2.09,2.01,2.03,54300
2017-01-19,1484784000,2.05,2.05,1.99,2.04,58400
2017-01-20,1484870400,2.03,2.19,2.03,2.17,141800
2017-01-23,1485129600,2.22,2.42,2.21,2.33,191200
2017-01-24,1485216000,2.36,2.37,2.3,2.33,82400
2017-01-25,1485302400,2.39,2.39,2.33,2.34,130900
2017-01-26,1485388800,2.33,2.38,2.3,2.32,60200
2017-01-27,1485475200,2.32,2.32,2.1,2.14,50100
2017-01-30,1485734400,2.16,2.21,2.04,2.12,57600
2017-01-31,1485820800,2.15,2.15,2.02,2.06,30900
2017-02-01,1485907200,2.1,2.14,2.07,2.1,36800
2017-02-02,1485993600,2.13,2.13,2.04,2.06,37600
2017-02-03,1486080000,2.04,2.07,2.04,2.05,18800
2017-02-06,1486339200,2.01,2.07,1.93,1.95,53500
2017-02-07,1486425600,1.96,1.96,1.9,1.95,39200
2017-02-08,1486512000,1.97,2.05,1.93,2.01,53500
2017-02-09,1486598400,2.05,2.07,2.01,2.06,34300
2017-02-10,1486684800,2.07,2.13,2.04,2.09,21800
2017-02-13,1486944000,2.06,2.08,1.97,2.07,46200
2017-02-14,1487030400,2.1,2.1,2.01,2.06,21000
2017-02-15,1487116800,2.08,2.08,2.04,2.05,36600
2017-02-16,1487203200,2.04,2.04,2.01,2.02,8600
2017-02-17,1487289600,2.01,2.05,1.98,2.0,27900
2017-02-21,1487635200,2.01,2.06,2.01,2.03,31600
2017-02-22,1487721600,2.04,2.05,2.01,2.02,35200
2017-02-23,1487808000,2.03,2.04,2.02,2.04,21200
2017-02-24,1487894400,2.02,2.02,1.98,2.01,28700
2017-02-27,1488153600,2.01,2.05,2.01,2.04,27400
2017-02-28,1488240000,2.04,2.05,2.02,2.04,36000
2017-03-01,1488326400,2.07,2.12,2.05,2.1,66300
2017-03-02,1488412800,2.1,2.11,2.1,2.1,30300
2017-03-03,1488499200,2.12,2.16,2.1,2.13,34700
2017-03-06,1488758400,2.13,2.18,2.13,2.17,35200
2017-03-07,1488844800,2.19,2.19,2.16,2.16,20400
2017-03-08,1488931200,2.16,2.17,2.16,2.16,40900
2017-03-09,1489017600,2.15,2.17,2.04,2.04,71700
2017-03-10,1489104000,2.05,2.05,1.96,1.96,37600
2017-03-13,1489363200,1.96,1.98,1.96,1.97,5900
2017-03-14,1489449600,1.96,1.96,1.9,1.93,32400
2017-03-15,1489536000,1.97,2.05,1.94,2.02,26400
2017-03-16,1489622400,2.02,2.03,2.01,2.01,6300
2017-03-17,1489708800,1.98,2.04,1.98,2.04,18700
2017-03-20,1489968000,2.0,2.02,1.98,2.0,18300
2017-03-21,1490054400,1.98,2.04,1.98,1.98,20700
2017-03-22,1490140800,1.98,1.98,1.96,1.97,7400
2017-03-23,1490227200,1.97,1.97,1.96,1.96,13500
2017-03-24,1490313600,1.97,1.97,1.91,1.93,42300
2017-03-27,1490572800,1.9,1.92,1.9,1.92,10400
2017-03-28,1490659200,1.91,1.95,1.91,1.94,28100
2017-03-29,1490745600,1.96,2.07,1.96,2.04,44600
2017-03-30,1490832000,2.06,2.06,1.99,2.0,16400
2017-03-31,1490918400,2.01,2.02,2.0,2.02,15600
2017-04-03,1491177600,2.0,2.01,1.95,1.97,20000
2017-04-04,1491264000,1.95,1.97,1.93,1.93,30100
2017-04-05,1491350400,1.93,2.44,1.93,2.18,529800
2017-04-06,1491436800,2.16,2.24,2.16,2.21,50700
2017-04-07,1491523200,2.21,2.38,2.21,2.28,120600
2017-04-10,1491782400,2.32,2.38,2.24,2.34,44900
2017-04-11,1491868800,2.37,2.41,2.31,2.41,40300
2017-04-12,1491955200,2.41,2.46,2.37,2.44,158000
2017-04-13,1492041600,2.46,2.46,2.33,2.4,30700
2017-04-17,1492387200,2.36,2.41,2.33,2.39,28100
2017-04-18,1492473600,2.33,2.43,2.33,2.42,58300
2017-04-19,1492560000,2.43,2.43,2.35,2.37,64700
2017-04-20,1492646400,2.33,2.42,2.31,2.35,71000
2017-04-21,1492732800,2.44,3.05,2.43,2.74,467500
2017-04-24,1492992000,3.01,3.13,2.75,2.92,255300
2017-04-25,1493078400,2.93,3.01,2.89,3.0,161300
2017-04-26,1493164800,3.02,3.23,2.98,3.14,313400
2017-04-27,1493251200,3.07,3.12,2.78,2.92,196400
2017-04-28,1493337600,2.88,3.02,2.81,2.92,70600
2017-05-01,1493596800,2.95,2.99,2.76,2.85,48400
2017-05-02,1493683200,2.82,2.82,2.54,2.58,181100
2017-05-03,1493769600,2.54,2.64,2.53,2.61,47400
2017-05-04,1493856000,2.59,2.59,2.45,2.52,51300
2017-05-05,1493942400,2.52,2.71,2.52,2.65,40700
2017-05-08,1494201600,2.76,2.79,2.66,2.72,39800
2017-05-09,1494288000,2.66,2.77,2.66,2.72,51300
2017-05-10,1494374400,2.72,2.82,2.67,2.69,18200
2017-05-11,1494460800,2.67,2.74,2.58,2.66,43900
2017-05-12,1494547200,2.73,2.73,2.61,2.62,27700
2017-05-15,1494806400,2.73,2.77,2.66,2.73,44700
2017-05-16,1494892800,2.72,2.79,2.7,2.73,33000
2017-05-17,1494979200,2.72,2.73,2.63,2.67,25400
2017-05-18,1495065600,2.65,2.65,2.53,2.6,59200
2017-05-19,1495152000,2.64,2.72,2.58,2.63,84800
2017-05-22,1495411200,2.67,2.71,2.58,2.61,43000
2017-05-23,1495497600,2.6,2.67,2.52,2.65,65100
