Date,Time,Open,High,Low,Close,Volume
2017-01-03,1483401600,6.85,6.85,6.5,6.75,14400
2017-01-04,1483488000,6.8,6.85,6.55,6.65,25600
2017-01-05,1483574400,6.6,7.0,6.6,6.8,23000
2017-01-06,1483660800,6.78,6.78,6.6,6.65,10700
2017-01-09,1483920000,6.6,6.7,6.5,6.55,8400
2017-01-10,1484006400,6.65,6.65,6.55,6.6,3800
2017-01-11,1484092800,6.6,6.7,6.55,6.66,12200
2017-01-12,1484179200,6.9,7.4,6.79,7.3,110500
2017-01-13,1484265600,7.3,8.1,7.3,8.05,101200
2017-01-17,1484611200,8.1,8.15,7.75,7.75,34400
2017-01-18,1484697600,7.75,7.85,7.6,7.8,45000
2017-01-19,1484784000,7.7,7.8,7.65,7.65,18300
2017-01-20,1484870400,7.65,7.75,7.65,7.7,21400
2017-01-23,1485129600,7.8,8.25,7.75,7.95,54100
2017-01-24,1485216000,7.9,8.15,7.85,7.95,58100
2017-01-25,1485302400,8.15,8.2,7.95,7.95,26100
2017-01-26,1485388800,8.0,8.35,8.0,8.3,124600
2017-01-27,1485475200,8.35,8.55,8.35,8.45,116500
2017-01-30,1485734400,8.45,8.65,8.21,8.65,128500
2017-01-31,1485820800,8.65,8.74,8.05,8.25,50600
2017-02-01,1485907200,8.2,8.45,8.1,8.15,23000
2017-02-02,1485993600,8.1,8.35,8.05,8.35,28900
2017-02-03,1486080000,8.25,8.7,8.25,8.5,37000
2017-02-06,1486339200,8.55,8.7,8.2,8.28,32700
2017-02-07,1486425600,8.25,8.68,8.2,8.5,31000
2017-02-08,1486512000,8.5,8.55,8.35,8.4,19900
2017-02-09,1486598400,8.35,8.35,8.2,8.25,31500
2017-02-10,1486684800,8.25,8.3,8.2,8.25,8200
2017-02-13,1486944000,8.25,8.3,8.05,8.05,42000
2017-02-14,1487030400,8.13,8.25,8.0,8.05,21100
2017-02-15,1487116800,8.1,8.1,7.9,8.0,32300
2017-02-16,1487203200,7.95,8.15,7.85,7.85,21600
2017-02-17,1487289600,7.9,8.0,7.75,7.75,23400
2017-02-21,1487635200,7.75,7.8,7.4,7.65,54200
2017-02-22,1487721600,7.5,7.65,7.4,7.4,52500
2017-02-23,1487808000,7.6,7.6,7.34,7.45,37300
2017-02-24,1487894400,7.45,7.45,7.35,7.45,16100
2017-02-27,1488153600,7.45,7.45,7.3,7.4,19800
2017-02-28,1488240000,7.4,7.4,7.3,7.3,13700
2017-03-01,1488326400,7.35,7.4,7.2,7.2,32500
2017-03-02,1488412800,7.15,7.2,7.05,7.05,17700
2017-03-03,1488499200,7.05,7.05,6.8,7.05,69400
2017-03-06,1488758400,7.05,7.3,7.03,7.2,29100
2017-03-07,1488844800,7.25,7.35,6.9,6.95,98900
2017-03-08,1488931200,6.95,7.3,6.95,7.3,42400
2017-03-09,1489017600,7.05,7.4,7.0,7.4,84000
2017-03-10,1489104000,7.45,7.45,7.2,7.25,54500
2017-03-13,1489363200,7.3,7.3,7.05,7.2,20400
2017-03-14,1489449600,7.1,7.2,7.05,7.13,33900
2017-03-15,1489536000,7.1,7.2,7.05,7.15,29600
2017-03-16,1489622400,7.15,7.25,7.0,7.05,41100
2017-03-17,1489708800,7.05,7.35,7.05,7.3,38900
2017-03-20,1489968000,7.25,7.3,7.19,7.3,12000
2017-03-21,1490054400,7.3,7.3,7.0,7.1,15700
2017-03-22,1490140800,7.11,7.3,6.95,7.2,12900
2017-03-23,1490227200,7.2,7.2,7.05,7.05,7500
2017-03-24,1490313600,7.05,7.35,7.05,7.35,11100
2017-03-27,1490572800,7.25,7.3,7.15,7.25,13900
2017-03-28,1490659200,7.25,7.3,7.1,7.1,7300
2017-03-29,1490745600,7.1,7.1,6.6,7.05,39900
2017-03-30,1490832000,6.9,6.93,6.7,6.8,14600
2017-03-31,1490918400,6.9,6.95,6.75,6.9,8500
2017-04-03,1491177600,6.85,6.9,6.3,6.3,22500
2017-04-04,1491264000,6.3,6.35,6.0,6.05,27600
2017-04-05,1491350400,6.0,6.15,5.75,5.75,79700
2017-04-06,1491436800,5.8,6.4,5.8,6.4,26000
2017-04-07,1491523200,6.55,6.7,6.1,6.2,47500
2017-04-10,1491782400,6.15,6.2,5.9,6.05,44300
2017-04-11,1491868800,6.05,6.3,6.05,6.2,11900
2017-04-12,1491955200,6.2,6.25,6.0,6.15,20700
2017-04-13,1492041600,6.1,6.1,5.95,6.0,9900
2017-04-17,1492387200,6.0,6.08,5.95,5.95,13500
2017-04-18,1492473600,5.95,6.0,5.9,5.9,11700
2017-04-19,1492560000,5.95,6.0,5.85,5.9,23700
2017-04-20,1492646400,5.95,6.05,5.85,5.9,182500
2017-04-21,1492732800,5.95,6.0,5.85,5.95,7900
2017-04-24,1492992000,6.05,6.2,6.0,6.0,8200
2017-04-25,1493078400,6.0,6.15,5.95,6.1,10300
2017-04-26,1493164800,6.1,6.2,5.9,6.05,30200
2017-04-27,1493251200,6.05,6.15,6.05,6.05,9100
2017-04-28,1493337600,6.05,6.45,6.05,6.45,19400
2017-05-01,1493596800,6.35,6.35,6.15,6.2,14600
2017-05-02,1493683200,6.2,6.45,6.2,6.35,11300
2017-05-03,1493769600,6.39,6.39,6.25,6.3,14800
2017-05-04,1493856000,6.35,6.35,6.05,6.25,11500
2017-05-05,1493942400,6.25,6.25,6.05,6.1,9500
2017-05-08,1494201600,6.05,6.1,6.05,6.08,1600
2017-05-09,1494288000,6.02,6.1,5.95,6.0,4500
2017-05-10,1494374400,6.0,6.1,6.0,6.1,2100
2017-05-11,1494460800,6.1,6.1,5.86,6.1,13200
2017-05-12,1494547200,6.1,6.1,5.96,6.1,6300
2017-05-15,1494806400,6.05,6.1,5.95,6.1,14600
2017-05-16,1494892800,6.1,6.1,5.9,5.95,9200
2017-05-17,1494979200,5.9,5.9,5.85,5.85,12200
2017-05-18,1495065600,5.9,6.0,5.85,5.95,11300
2017-05-19,1495152000,6.0,6.0,5.85,6.0,6400
2017-05-22,1495411200,6.0,6.05,5.75,5.85,5800
2017-05-23,1495497600,5.9,5.9,5.75,5.8,24500
2017-05-24,1495584000,5.8,5.9,5.7,5.7,20500
2017-05-25,1495670400,5.8,5.85,5.7,5.85,6800
2017-05-26,1495756800,5.9,5.9,5.7,5.85,5600
2017-05-30,1496102400,5.9,5.9,5.7,5.85,4300
2017-05-31,1496188800,5.8,5.9,5.75,5.9,24200
2017-06-01,1496275200,5.9,5.9,5.75,5.8,9200
2017-06-02,1496361600,5.85,5.85,5.75,5.85,12200
2017-06-05,1496620800,5.8,5.85,5.6,5.7,13300
2017-06-06,1496707200,5.7,5.75,5.55,5.6,11700
2017-06-07,1496793600,5.65,5.75,5.6,5.6,3500
2017-06-08,1496880000,5.6,5.95,5.6,5.8,51200
2017-06-09,1496966400,6.0,6.0,4.8,5.1,56000
2017-06-12,1497225600,5.0,5.0,3.9,4.1,357300
2017-06-13,1497312000,4.1,4.45,4.06,4.4,93300
2017-06-14,1497398400,4.35,4.65,4.28,4.35,48800
2017-06-15,1497484800,4.3,4.43,4.2,4.35,23200
2017-06-16,1497571200,4.35,4.35,4.2,4.2,51700
2017-06-19,1497830400,4.2,4.5,4.03,4.1,45100
2017-06-20,1497916800,4.3,4.3,4.15,4.2,46600
2017-06-21,1498003200,4.2,4.2,4.1,4.1,145700
2017-06-22,1498089600,4.1,4.15,4.05,4.1,28800
2017-06-23,1498176000,4.15,4.15,3.95,4.0,48600
2017-06-26,1498435200,4.05,4.05,4.0,4.0,37300
2017-06-27,1498521600,4.05,4.1,3.95,4.0,27500
2017-06-28,1498608000,4.0,4.05,3.95,3.95,20300
2017-06-29,1498694400,4.0,4.05,4.0,4.05,19700
2017-06-30,1498780800,3.95,4.0,3.75,3.95,871100
2017-07-03,1499040000,4.0,4.2,4.0,4.15,23400
2017-07-05,1499212800,4.1,4.2,3.95,3.95,15000
2017-07-06,1499299200,3.9,3.95,3.8,3.8,47800
2017-07-07,1499385600,3.9,3.9,3.8,3.85,12300
2017-07-10,1499644800,3.8,3.95,3.8,3.8,56100
2017-07-11,1499731200,3.85,3.9,3.8,3.85,41300
2017-07-12,1499817600,3.9,3.95,3.75,3.75,23400
2017-07-13,1499904000,3.7,3.78,3.55,3.65,50900
2017-07-14,1499990400,3.6,3.65,3.45,3.65,98400
2017-07-17,1500249600,3.6,4.0,3.56,3.95,50800
2017-07-18,1500336000,3.95,3.95,3.55,3.7,20700
2017-07-19,1500422400,3.8,3.9,3.7,3.9,38800
2017-07-20,1500508800,3.87,3.9,3.73,3.85,32300
2017-07-21,1500595200,3.8,4.08,3.72,4.0,84900
2017-07-24,1500854400,4.0,4.0,3.8,3.8,14100
2017-07-25,1500940800,3.85,4.1,3.8,3.8,46500
2017-07-26,1501027200,3.85,3.9,3.75,3.8,13600
2017-07-27,1501113600,4.0,4.0,3.76,3.8,9400
2017-07-28,1501200000,3.8,4.1,3.6,3.7,11900
2017-07-31,1501459200,3.83,3.83,3.6,3.65,16700
2017-08-01,1501545600,3.7,3.75,3.6,3.6,15100
2017-08-02,1501632000,3.55,3.6,3.45,3.6,67600
2017-08-03,1501718400,3.65,3.65,3.57,3.6,6500
2017-08-04,1501804800,3.65,3.65,3.45,3.45,28400
2017-08-07,1502064000,3.45,3.5,3.25,3.35,25200
2017-08-08,1502150400,3.45,3.45,3.1,3.25,48500
2017-08-09,1502236800,3.25,3.25,3.1,3.15,14700
2017-08-10,1502323200,3.2,3.2,3.1,3.1,12700
2017-08-11,1502409600,3.05,3.05,2.95,3.0,17700
2017-08-14,1502668800,3.03,3.1,2.91,3.1,21900
2017-08-15,1502755200,3.1,3.25,3.08,3.1,10500
2017-08-16,1502841600,3.2,3.2,3.0,3.15,11700
2017-08-17,1502928000,3.15,3.2,3.1,3.15,25400
2017-08-18,1503014400,3.2,3.2,3.08,3.15,7300
2017-08-21,1503273600,3.01,3.15,3.01,3.15,9900
2017-08-22,1503360000,3.15,3.28,3.08,3.25,11900
2017-08-23,1503446400,3.15,3.25,3.1,3.25,22400
2017-08-24,1503532800,3.2,3.2,3.13,3.2,4200
2017-08-25,1503619200,3.1,3.25,3.1,3.25,12000
2017-08-28,1503878400,3.3,3.3,3.15,3.15,5900
2017-08-29,1503964800,3.15,3.2,3.05,3.1,12200
2017-08-30,1504051200,3.14,3.2,3.05,3.2,12200
2017-08-31,1504137600,3.25,3.25,3.1,3.2,24700
2017-09-01,1504224000,3.05,3.13,3.0,3.0,19500
2017-09-05,1504569600,3.05,3.05,2.95,3.05,28300
2017-09-06,1504656000,3.01,3.05,2.95,3.05,13200
2017-09-07,1504742400,3.0,3.05,2.9,3.05,64400
2017-09-08,1504828800,2.85,3.1,2.81,2.9,20500
2017-09-11,1505088000,3.0,3.0,2.9,2.95,15100
2017-09-12,1505174400,2.95,2.99,2.9,2.93,7100
2017-09-13,1505260800,2.93,2.93,2.8,2.85,14400
2017-09-14,1505347200,2.85,2.85,2.8,2.85,11700
2017-09-15,1505433600,2.8,2.9,2.7,2.7,48100
2017-09-18,1505692800,2.75,2.76,2.65,2.7,18300
2017-09-19,1505779200,2.65,2.7,2.58,2.6,24700
2017-09-20,1505865600,2.57,2.63,2.55,2.63,18800
2017-09-21,1505952000,2.55,2.65,2.55,2.61,6200
2017-09-22,1506038400,2.55,2.7,2.55,2.7,13800
2017-09-25,1506297600,2.65,2.95,2.65,2.8,32700
2017-09-26,1506384000,2.85,3.05,2.8,3.05,60900
2017-09-27,1506470400,3.05,3.1,2.95,3.05,39700
2017-09-28,1506556800,3.1,3.13,3.0,3.1,17500
2017-09-29,1506643200,3.1,3.15,3.1,3.15,12900
2017-10-02,1506902400,3.1,3.15,2.96,3.13,27800
2017-10-03,1506988800,3.13,3.13,3.0,3.0,11900
2017-10-04,1507075200,3.06,3.1,3.05,3.05,3700
2017-10-05,1507161600,3.03,3.15,2.9,3.1,154200
2017-10-06,1507248000,3.1,3.12,2.9,3.05,97800
2017-10-09,1507507200,2.95,3.0,2.9,2.9,14000
2017-10-10,1507593600,2.9,2.95,2.9,2.9,6400
2017-10-11,1507680000,2.9,2.95,2.74,2.81,22600
2017-10-12,1507766400,2.85,2.85,2.65,2.65,35600
2017-10-13,1507852800,2.75,2.8,2.55,2.55,12600
2017-10-16,1508112000,2.6,2.6,2.4,2.45,53400
2017-10-17,1508198400,2.5,2.5,2.4,2.4,15000
2017-10-18,1508284800,2.45,2.45,2.35,2.35,44000
2017-10-19,1508371200,2.35,2.4,2.25,2.28,62600
2017-10-20,1508457600,2.3,2.3,2.2,2.25,97200
2017-10-23,1508716800,2.25,2.54,2.15,2.2,36400
2017-10-24,1508803200,2.8,3.9,2.8,3.55,6403400
2017-10-25,1508889600,3.35,3.5,3.15,3.4,656800
2017-10-26,1508976000,3.5,4.85,3.4,4.1,3628200
2017-10-27,1509062400,4.15,4.49,3.8,3.9,832600
2017-10-30,1509321600,4.15,4.15,3.55,4.0,229300
2017-10-31,1509408000,4.0,4.35,3.86,4.3,368900
2017-11-01,1509494400,4.2,4.36,3.9,4.15,212900
2017-11-02,1509580800,4.15,4.15,3.9,3.95,109400
2017-11-03,1509667200,3.9,4.0,3.75,3.95,71400
2017-11-06,1509926400,3.9,3.96,3.76,3.8,50400
2017-11-07,1510012800,3.8,4.0,3.8,4.0,76600
2017-11-08,1510099200,4.0,4.0,3.85,3.95,21900
2017-11-09,1510185600,3.93,3.95,3.85,3.95,31200
2017-11-10,1510272000,3.9,4.05,3.75,4.05,59600
2017-11-13,1510531200,4.02,4.02,3.6,3.61,56800
2017-11-14,1510617600,3.65,3.8,3.65,3.78,30300
2017-11-15,1510704000,3.7,4.0,3.7,3.75,14900
2017-11-16,1510790400,3.61,3.8,3.61,3.7,74300
2017-11-17,1510876800,3.6,3.95,3.6,3.95,89400
2017-11-20,1511136000,4.0,4.0,3.7,3.7,13200
2017-11-21,1511222400,3.71,3.85,3.65,3.71,34100
2017-11-22,1511308800,3.65,3.85,3.55,3.6,24500
2017-11-24,1511481600,3.6,3.63,3.55,3.6,3800
2017-11-27,1511740800,3.6,3.7,3.56,3.7,19400
2017-11-28,1511827200,3.7,3.8,3.6,3.8,45500
2017-11-29,1511913600,3.8,3.95,3.7,3.8,18100
2017-11-30,1512000000,3.61,3.8,3.61,3.8,4100
2017-12-01,1512086400,3.7,3.75,3.65,3.75,24200
2017-12-04,1512345600,3.6,3.79,3.57,3.7,38900
2017-12-05,1512432000,3.65,3.8,3.65,3.75,27600
2017-12-06,1512518400,3.71,3.8,3.7,3.8,14200
2017-12-07,1512604800,3.8,3.81,3.7,3.8,29700
2017-12-08,1512691200,3.75,3.8,3.6,3.8,91300
2017-12-11,1512950400,3.7,3.95,3.65,3.8,54800
2017-12-12,1513036800,3.95,3.95,3.75,3.8,21500
2017-12-13,1513123200,3.75,3.8,3.7,3.8,25100
2017-12-14,1513209600,3.85,3.85,3.65,3.8,27500
2017-12-15,1513296000,3.8,3.9,3.68,3.9,54800
2017-12-18,1513555200,3.95,4.15,3.85,4.0,97400
2017-12-19,1513641600,3.95,4.03,3.9,3.95,29700
2017-12-20,1513728000,3.95,3.95,3.85,3.9,32300
2017-12-21,1513814400,3.9,4.0,3.8,3.9,98500
2017-12-22,1513900800,3.8,3.84,3.7,3.8,100000
2017-12-26,1514246400,3.75,3.75,3.6,3.65,56000
2017-12-27,1514332800,3.6,3.9,3.55,3.65,188700
2017-12-28,1514419200,3.55,3.8,3.51,3.7,227900
2017-12-29,1514505600,3.65,3.8,3.5,3.8,251400
2018-01-02,1514851200,3.8,3.85,3.65,3.85,42000
2018-01-03,1514937600,3.75,3.85,3.75,3.85,25200
2018-01-04,1515024000,3.9,3.95,3.75,3.9,24300
2018-01-05,1515110400,3.95,4.0,3.85,4.0,21300
2018-01-08,1515369600,3.95,3.95,3.8,3.95,18800
