Date,Time,Open,High,Low,Close,Volume
2017-01-03,1483401600,1.31,1.33,1.29,1.32,31500
2017-01-04,1483488000,1.33,1.33,1.26,1.29,30100
2017-01-05,1483574400,1.32,1.32,1.25,1.28,41000
2017-01-06,1483660800,1.26,1.27,1.19,1.25,115600
2017-01-09,1483920000,1.25,1.3,1.19,1.27,75000
2017-01-10,1484006400,1.27,1.27,1.23,1.25,36600
2017-01-11,1484092800,1.26,1.35,1.25,1.34,76100
2017-01-12,1484179200,1.34,1.45,1.27,1.35,195400
2017-01-13,1484265600,1.38,1.45,1.35,1.41,115000
2017-01-17,1484611200,1.45,1.46,1.37,1.38,112400
2017-01-18,1484697600,1.37,1.41,1.32,1.35,90500
2017-01-19,1484784000,1.35,1.4,1.31,1.35,76900
2017-01-20,1484870400,1.39,1.44,1.37,1.42,84700
2017-01-23,1485129600,1.45,1.58,1.41,1.54,222300
2017-01-24,1485216000,1.6,1.8,1.49,1.5,430100
2017-01-25,1485302400,1.5,1.58,1.48,1.5,70700
2017-01-26,1485388800,1.51,1.58,1.51,1.56,136800
2017-01-27,1485475200,1.55,1.58,1.5,1.52,137100
2017-01-30,1485734400,1.52,1.53,1.5,1.51,57700
2017-01-31,1485820800,1.5,1.55,1.44,1.44,64200
2017-02-01,1485907200,1.4,1.48,1.4,1.47,31000
2017-02-02,1485993600,1.46,1.5,1.38,1.42,39900
2017-02-03,1486080000,1.41,1.48,1.4,1.42,24700
2017-02-06,1486339200,1.42,1.42,1.35,1.38,26500
2017-02-07,1486425600,1.33,1.38,1.31,1.35,118400
2017-02-08,1486512000,1.38,1.6,1.37,1.57,92300
2017-02-09,1486598400,1.57,1.57,1.35,1.47,172100
2017-02-10,1486684800,1.44,1.5,1.44,1.48,38100
2017-02-13,1486944000,1.51,1.54,1.41,1.51,59300
2017-02-14,1487030400,1.5,1.55,1.45,1.45,77100
2017-02-15,1487116800,1.46,1.55,1.46,1.52,25200
2017-02-16,1487203200,1.51,1.55,1.36,1.38,136800
2017-02-17,1487289600,1.44,1.47,1.36,1.43,35900
2017-02-21,1487635200,1.45,1.51,1.36,1.4,43400
2017-02-22,1487721600,1.36,1.46,1.36,1.42,73500
2017-02-23,1487808000,1.43,1.45,1.37,1.39,28300
2017-02-24,1487894400,1.4,1.41,1.37,1.4,30500
2017-02-27,1488153600,1.41,1.42,1.39,1.41,30100
2017-02-28,1488240000,1.41,1.43,1.36,1.36,26300
2017-03-01,1488326400,1.39,1.49,1.39,1.39,90500
2017-03-02,1488412800,1.39,1.45,1.38,1.38,4700
2017-03-03,1488499200,1.37,1.38,1.29,1.33,81600
2017-03-06,1488758400,1.38,1.38,1.29,1.32,23100
2017-03-07,1488844800,1.29,1.37,1.29,1.34,51700
2017-03-08,1488931200,1.39,1.4,1.16,1.17,201500
2017-03-09,1489017600,1.17,1.2,1.0,1.1,267900
2017-03-10,1489104000,1.02,1.24,1.02,1.16,65600
2017-03-13,1489363200,1.2,1.22,1.14,1.21,40000
2017-03-14,1489449600,1.15,1.22,1.11,1.19,45700
2017-03-15,1489536000,1.21,1.22,1.13,1.13,22900
2017-03-16,1489622400,1.13,1.18,1.1,1.17,20000
2017-03-17,1489708800,1.18,1.22,1.15,1.15,24100
2017-03-20,1489968000,1.15,1.21,1.1,1.16,65700
2017-03-21,1490054400,1.14,1.18,1.1,1.12,38200
2017-03-22,1490140800,1.11,1.12,1.08,1.1,13000
2017-03-23,1490227200,1.1,1.12,1.09,1.12,33200
2017-03-24,1490313600,1.12,1.12,1.05,1.08,20700
2017-03-27,1490572800,1.08,1.15,1.04,1.06,30000
2017-03-28,1490659200,1.1,1.1,1.01,1.06,65400
2017-03-29,1490745600,1.08,1.13,1.08,1.1,32300
2017-03-30,1490832000,1.13,1.13,1.08,1.09,54200
2017-03-31,1490918400,1.15,1.15,1.07,1.11,18300
2017-04-03,1491177600,1.11,1.16,1.02,1.05,140500
2017-04-04,1491264000,1.06,1.12,1.03,1.03,89900
2017-04-05,1491350400,1.04,1.08,1.02,1.02,39900
2017-04-06,1491436800,1.01,1.08,1.01,1.06,34100
2017-04-07,1491523200,1.02,1.06,0.97,0.98,106800
2017-04-10,1491782400,1.03,1.05,0.98,1.02,111900
2017-04-11,1491868800,1.02,1.05,0.98,0.99,59700
2017-04-12,1491955200,1.03,1.04,0.98,1.01,81500
2017-04-13,1492041600,1.02,1.05,0.99,1.03,57900
2017-04-17,1492387200,1.04,1.06,0.98,1.05,81400
2017-04-18,1492473600,1.03,1.06,0.99,1.01,24900
2017-04-19,1492560000,1.0,1.07,1.0,1.0,65500
2017-04-20,1492646400,1.0,1.07,0.98,1.01,47900
2017-04-21,1492732800,0.98,1.03,0.98,0.99,58300
2017-04-24,1492992000,0.98,1.05,0.98,1.03,44400
2017-04-25,1493078400,1.05,1.15,1.03,1.13,90800
2017-04-26,1493164800,1.09,1.15,1.09,1.11,19500
2017-04-27,1493251200,1.12,1.13,1.05,1.06,44700
2017-04-28,1493337600,1.08,1.09,1.01,1.05,67200
2017-05-01,1493596800,1.0,1.06,1.0,1.02,70400
2017-05-02,1493683200,1.03,1.04,1.0,1.02,47900
2017-05-03,1493769600,1.0,1.06,0.98,1.06,116600
2017-05-04,1493856000,1.03,1.05,0.96,0.99,59800
2017-05-05,1493942400,0.99,1.03,0.97,1.02,62600
2017-05-08,1494201600,0.99,1.02,0.97,0.99,47700
2017-05-09,1494288000,1.02,1.03,0.97,0.97,43600
2017-05-10,1494374400,0.98,1.02,0.95,0.97,282000
2017-05-11,1494460800,0.96,1.0,0.96,0.98,37700
2017-05-12,1494547200,0.97,0.99,0.96,0.98,45100
2017-05-15,1494806400,0.96,1.0,0.96,0.98,76200
2017-05-16,1494892800,0.97,1.0,0.97,0.98,45000
2017-05-17,1494979200,0.98,1.02,0.96,0.97,55600
2017-05-18,1495065600,1.0,1.0,0.97,0.98,7100
2017-05-19,1495152000,0.98,1.02,0.97,1.0,69500
2017-05-22,1495411200,0.95,1.2,0.95,1.11,257100
2017-05-23,1495497600,1.13,1.19,1.06,1.09,80600
2017-05-24,1495584000,1.08,1.11,1.06,1.06,42200
2017-05-25,1495670400,1.07,1.11,1.02,1.11,31400
2017-05-26,1495756800,1.1,1.1,1.03,1.07,5500
2017-05-30,1496102400,1.06,1.07,1.0,1.04,21900
2017-05-31,1496188800,1.02,1.05,0.99,1.0,76600
2017-06-01,1496275200,1.0,1.05,1.0,1.01,28000
2017-06-02,1496361600,1.0,1.08,1.0,1.05,49100
2017-06-05,1496620800,1.06,1.09,1.04,1.05,45600
2017-06-06,1496707200,1.04,1.07,1.04,1.05,10000
2017-06-07,1496793600,1.06,1.06,1.02,1.04,19900
2017-06-08,1496880000,1.05,1.05,1.02,1.05,16200
2017-06-09,1496966400,1.04,1.07,1.04,1.06,20200
2017-06-12,1497225600,1.02,1.06,1.02,1.04,46200
2017-06-13,1497312000,1.04,1.09,1.03,1.07,27800
2017-06-14,1497398400,1.06,1.06,1.01,1.03,15900
2017-06-15,1497484800,1.04,1.05,1.02,1.03,30900
2017-06-16,1497571200,1.02,1.05,1.0,1.02,19700
2017-06-19,1497830400,1.02,1.04,1.0,1.01,63500
2017-06-20,1497916800,1.02,1.04,1.0,1.03,50400
2017-06-21,1498003200,1.02,1.03,1.01,1.03,19600
2017-06-22,1498089600,1.01,1.03,1.01,1.03,13800
2017-06-23,1498176000,1.02,1.15,1.0,1.15,64600
2017-06-26,1498435200,1.13,1.13,1.04,1.05,35800
2017-06-27,1498521600,1.08,1.08,1.04,1.04,14400
2017-06-28,1498608000,1.08,1.09,1.04,1.06,21000
2017-06-29,1498694400,1.07,1.08,1.04,1.04,28300
2017-06-30,1498780800,1.06,1.09,1.06,1.07,16700
2017-07-03,1499040000,1.07,1.08,1.07,1.07,12400
2017-07-05,1499212800,1.07,1.08,1.03,1.03,4900
2017-07-06,1499299200,1.03,1.05,1.03,1.05,34200
2017-07-07,1499385600,1.03,1.05,1.03,1.05,31800
2017-07-10,1499644800,1.05,1.05,1.03,1.03,6200
2017-07-11,1499731200,1.01,1.04,1.01,1.02,26800
2017-07-12,1499817600,1.01,1.04,1.01,1.02,5800
2017-07-13,1499904000,1.01,1.03,1.0,1.02,10200
2017-07-14,1499990400,1.03,1.04,1.01,1.03,37500
2017-07-17,1500249600,1.0,1.04,1.0,1.02,26000
2017-07-18,1500336000,1.04,1.04,1.03,1.04,34500
2017-07-19,1500422400,1.04,1.04,1.03,1.03,2400
