Date,Time,Open,High,Low,Close,Volume
2017-01-03,1483401600,41.33,42.3,41.04,41.55,1104300
2017-01-04,1483488000,41.67,43.26,41.6,43.2,1505800
2017-01-05,1483574400,43.5,45.76,43.5,44.94,2526200
2017-01-06,1483660800,45.0,45.55,44.17,44.75,1234600
2017-01-09,1483920000,44.88,45.59,44.15,45.13,973100
2017-01-10,1484006400,45.33,46.63,45.33,45.7,1037400
2017-01-11,1484092800,45.86,46.27,44.38,45.38,1072700
2017-01-12,1484179200,45.82,46.24,44.9,46.15,950700
2017-01-13,1484265600,46.3,47.91,45.94,47.69,1837600
2017-01-17,1484611200,47.69,47.69,45.4,46.65,1864400
2017-01-18,1484697600,46.64,47.22,46.22,46.76,846200
2017-01-19,1484784000,46.81,47.75,46.75,47.08,835300
2017-01-20,1484870400,47.28,47.49,46.67,46.91,815800
2017-01-23,1485129600,46.84,47.65,46.56,47.53,582500
2017-01-24,1485216000,47.7,49.43,47.42,48.2,1973600
2017-01-25,1485302400,48.45,49.08,48.31,48.6,716000
2017-01-26,1485388800,48.7,48.73,46.58,47.43,938900
2017-01-27,1485475200,47.46,48.34,47.02,48.11,541800
2017-01-30,1485734400,48.06,48.06,46.05,47.39,664800
2017-01-31,1485820800,47.17,48.5,46.74,48.22,468300
2017-02-01,1485907200,48.45,48.5,47.25,47.97,498100
2017-02-02,1485993600,47.66,49.42,47.15,49.11,1559900
2017-02-03,1486080000,49.14,49.39,48.42,48.55,709500
2017-02-06,1486339200,48.83,51.33,48.62,50.85,1552600
2017-02-07,1486425600,51.07,53.69,51.0,53.24,2337900
2017-02-08,1486512000,53.83,54.32,52.11,52.92,1697000
2017-02-09,1486598400,53.0,54.5,52.55,53.9,1657600
2017-02-10,1486684800,54.01,54.28,52.89,53.1,904600
2017-02-13,1486944000,53.42,55.52,52.85,54.39,1477200
2017-02-14,1487030400,54.21,55.26,53.81,54.87,1170000
2017-02-15,1487116800,55.43,55.49,53.81,54.17,1045500
2017-02-16,1487203200,54.71,56.3,54.12,55.26,1734900
2017-02-17,1487289600,55.0,55.47,53.09,55.31,1447400
2017-02-21,1487635200,56.15,58.67,56.15,58.09,2188900
2017-02-22,1487721600,58.09,58.79,56.56,58.21,1798800
2017-02-23,1487808000,55.7,55.7,48.5,48.89,9307600
2017-02-24,1487894400,49.88,52.14,49.51,51.09,4169600
