Date,Time,Open,High,Low,Close,Volume
2017-01-03,1483401600,19.26,19.68,19.25,19.53,1167700
2017-01-04,1483488000,19.62,19.68,19.28,19.5,1118100
2017-01-05,1483574400,19.59,19.59,19.24,19.31,418200
2017-01-06,1483660800,19.38,19.5,19.11,19.27,1195300
2017-01-09,1483920000,19.25,19.38,19.12,19.29,292800
2017-01-10,1484006400,19.4,19.59,19.23,19.45,942600
2017-01-11,1484092800,19.48,19.72,19.35,19.6,813800
2017-01-12,1484179200,19.6,19.72,19.24,19.31,240300
2017-01-13,1484265600,19.25,19.5,19.25,19.35,350400
2017-01-17,1484611200,19.38,19.38,18.87,18.9,610100
2017-01-18,1484697600,18.91,19.22,18.78,18.97,443600
2017-01-19,1484784000,18.98,19.21,18.79,18.88,616400
2017-01-20,1484870400,18.88,19.03,18.73,18.85,227600
2017-01-23,1485129600,18.79,19.0,18.64,18.75,610800
2017-01-24,1485216000,18.73,19.3,18.73,19.26,939800
2017-01-25,1485302400,19.4,19.77,19.38,19.75,723900
2017-01-26,1485388800,19.81,19.91,19.55,19.58,555200
2017-01-27,1485475200,19.57,19.68,18.7,19.61,595900
2017-01-30,1485734400,19.32,19.51,19.2,19.33,497800
2017-01-31,1485820800,19.36,19.4,19.06,19.18,312200
2017-02-01,1485907200,19.23,19.56,19.23,19.31,476600
2017-02-02,1485993600,19.56,19.77,19.04,19.22,404900
2017-02-03,1486080000,19.27,19.47,19.17,19.36,381300
2017-02-06,1486339200,19.3,19.32,18.8,18.87,297400
2017-02-07,1486425600,18.84,19.05,18.72,18.87,374400
2017-02-08,1486512000,18.88,19.01,18.64,18.91,469300
2017-02-09,1486598400,18.94,19.27,18.91,19.2,538900
2017-02-10,1486684800,19.21,19.36,19.12,19.25,259700
2017-02-13,1486944000,19.33,19.5,19.0,19.01,473900
2017-02-14,1487030400,18.93,19.25,18.58,19.22,1204300
2017-02-15,1487116800,18.0,18.5,17.55,18.25,2312200
2017-02-16,1487203200,18.67,18.89,18.26,18.61,1615700
2017-02-17,1487289600,18.53,18.63,18.18,18.51,827300
2017-02-21,1487635200,18.32,19.5,18.31,19.4,1208100
2017-02-22,1487721600,19.26,19.52,18.6,18.83,884900
2017-02-23,1487808000,18.97,19.35,18.56,18.6,462200
2017-02-24,1487894400,18.39,18.6,17.98,18.37,1222800
2017-02-27,1488153600,18.34,19.34,18.34,19.18,1580300
2017-02-28,1488240000,18.95,19.36,18.38,19.06,1044500
2017-03-01,1488326400,19.21,19.79,19.11,19.14,740700
2017-03-02,1488412800,19.1,19.11,18.9,19.01,844100
2017-03-03,1488499200,19.05,19.24,18.91,19.04,361000
2017-03-06,1488758400,19.06,19.75,18.91,19.27,385800
2017-03-07,1488844800,19.2,19.26,18.95,19.1,342100
2017-03-08,1488931200,18.8,19.25,18.8,19.05,460800
2017-03-09,1489017600,19.09,19.19,18.8,19.04,738400
2017-03-10,1489104000,19.07,19.23,18.81,18.94,522200
2017-03-13,1489363200,18.92,19.11,18.81,19.02,680600
2017-03-14,1489449600,18.97,19.19,18.83,19.08,876600
2017-03-15,1489536000,19.25,19.43,19.0,19.33,970200
2017-03-16,1489622400,19.5,19.72,19.09,19.25,592000
2017-03-17,1489708800,19.2,19.39,19.05,19.25,710600
2017-03-20,1489968000,19.48,19.69,19.28,19.41,681700
2017-03-21,1490054400,19.57,19.65,19.01,19.18,670300
2017-03-22,1490140800,19.18,19.22,18.81,19.06,554500
2017-03-23,1490227200,19.1,19.46,19.03,19.24,360000
2017-03-24,1490313600,19.33,19.42,18.98,19.05,438300
2017-03-27,1490572800,18.91,19.12,18.75,19.11,402800
2017-03-28,1490659200,19.12,19.31,18.8,19.22,335700
2017-03-29,1490745600,19.18,19.51,19.11,19.45,383600
2017-03-30,1490832000,19.53,19.69,19.44,19.59,386800
2017-03-31,1490918400,19.58,19.84,19.46,19.63,811900
2017-04-03,1491177600,19.63,19.72,19.03,19.08,632600
2017-04-04,1491264000,19.07,19.29,18.99,19.05,625000
2017-04-05,1491350400,19.25,19.39,18.88,19.02,1459000
2017-04-06,1491436800,19.04,19.38,18.91,19.16,507100
2017-04-07,1491523200,19.12,19.37,19.05,19.32,615700
2017-04-10,1491782400,19.32,19.68,19.25,19.39,511300
2017-04-11,1491868800,19.31,19.49,18.95,19.15,486300
2017-04-12,1491955200,19.1,19.13,18.66,19.0,724200
2017-04-13,1492041600,18.98,19.15,18.66,18.79,417600
2017-04-17,1492387200,18.74,19.07,18.72,19.05,548800
2017-04-18,1492473600,18.97,19.19,18.94,19.14,484500
2017-04-19,1492560000,19.21,19.34,19.04,19.23,406800
2017-04-20,1492646400,19.34,19.75,19.29,19.75,478200
2017-04-21,1492732800,19.73,19.9,19.56,19.88,347700
2017-04-24,1492992000,20.0,20.34,19.98,20.33,747600
2017-04-25,1493078400,20.45,20.83,20.45,20.68,983300
2017-04-26,1493164800,20.67,21.1,20.57,20.89,1417000
2017-04-27,1493251200,20.88,21.03,20.57,20.67,388000
2017-04-28,1493337600,20.8,20.81,20.4,20.5,444800
2017-05-01,1493596800,20.53,20.69,20.39,20.44,268600
2017-05-02,1493683200,20.52,20.72,20.46,20.72,507200
2017-05-03,1493769600,20.59,20.67,20.33,20.52,250900
2017-05-04,1493856000,20.56,20.81,20.35,20.67,494800
2017-05-05,1493942400,20.75,21.09,20.61,21.02,784100
2017-05-08,1494201600,20.04,21.13,19.89,20.26,1305500
2017-05-09,1494288000,20.25,20.25,19.69,20.06,1392100
2017-05-10,1494374400,20.05,20.28,19.85,20.24,553700
2017-05-11,1494460800,20.19,20.19,19.77,19.98,347400
2017-05-12,1494547200,19.93,19.94,19.74,19.77,279100
2017-05-15,1494806400,19.83,19.98,19.77,19.91,306700
2017-05-16,1494892800,19.93,19.93,19.62,19.77,389500
2017-05-17,1494979200,19.62,19.67,18.79,18.83,473500
2017-05-18,1495065600,18.74,19.16,18.52,19.06,499500
2017-05-19,1495152000,19.17,19.62,19.06,19.54,618200
2017-05-22,1495411200,19.64,19.99,19.46,19.95,642500
2017-05-23,1495497600,20.0,20.0,19.64,19.83,598200
2017-05-24,1495584000,19.92,19.98,19.72,19.89,818300
2017-05-25,1495670400,19.89,19.9,19.66,19.8,265600
2017-05-26,1495756800,19.8,19.85,19.65,19.79,257000
2017-05-30,1496102400,19.61,19.79,19.35,19.6,867900
2017-05-31,1496188800,19.59,19.59,19.04,19.34,1061600
2017-06-01,1496275200,19.32,19.34,18.89,19.14,744200
2017-06-02,1496361600,19.14,19.55,19.07,19.46,787200
2017-06-05,1496620800,19.39,19.5,19.09,19.38,964900
2017-06-06,1496707200,19.28,19.37,19.01,19.25,721900
2017-06-07,1496793600,19.19,19.45,19.14,19.36,630100
2017-06-08,1496880000,19.35,19.66,19.29,19.54,342700
2017-06-09,1496966400,19.66,19.69,19.48,19.56,553600
2017-06-12,1497225600,19.56,19.67,19.19,19.34,344800
2017-06-13,1497312000,19.38,19.5,19.21,19.37,436500
2017-06-14,1497398400,19.31,19.38,19.14,19.24,307400
2017-06-15,1497484800,19.07,19.16,18.97,19.11,305100
2017-06-16,1497571200,19.12,19.12,18.7,18.89,846100
2017-06-19,1497830400,18.95,19.17,18.92,19.14,420400
2017-06-20,1497916800,19.1,19.14,18.75,18.91,530500
2017-06-21,1498003200,18.98,19.02,18.72,18.78,765000
2017-06-22,1498089600,18.74,18.96,18.61,18.88,761500
2017-06-23,1498176000,18.87,18.95,18.75,18.81,2019200
2017-06-26,1498435200,18.84,18.97,18.71,18.9,756500
2017-06-27,1498521600,18.86,18.93,18.55,18.55,562000
2017-06-28,1498608000,18.68,19.14,18.57,18.93,654300
2017-06-29,1498694400,18.92,19.01,18.55,18.64,1527000
2017-06-30,1498780800,18.65,18.98,18.61,18.85,901600
2017-07-03,1499040000,18.79,18.85,18.51,18.68,652000
2017-07-05,1499212800,18.67,19.28,18.55,19.23,1236800
2017-07-06,1499299200,19.12,19.29,18.92,19.02,2182200
2017-07-07,1499385600,19.01,19.23,18.93,19.15,380900
2017-07-10,1499644800,19.13,19.36,18.98,19.3,1353700
2017-07-11,1499731200,19.34,19.52,19.26,19.34,1705300
2017-07-12,1499817600,19.53,19.53,18.96,19.31,584400
2017-07-13,1499904000,19.29,19.42,19.16,19.23,423000
2017-07-14,1499990400,19.25,19.4,19.11,19.39,340200
2017-07-17,1500249600,19.32,19.55,19.2,19.51,1821700
2017-07-18,1500336000,19.51,19.63,19.35,19.49,920000
2017-07-19,1500422400,19.47,19.59,19.41,19.54,1318800
2017-07-20,1500508800,19.59,19.67,19.31,19.43,363200
2017-07-21,1500595200,19.31,19.52,19.24,19.51,372900
2017-07-24,1500854400,19.47,19.54,19.28,19.4,612400
2017-07-25,1500940800,19.51,19.55,19.35,19.44,721100
2017-07-26,1501027200,19.49,19.57,19.28,19.48,613400
2017-07-27,1501113600,19.53,19.59,19.44,19.47,600500
2017-07-28,1501200000,19.47,19.59,19.11,19.48,1366200
2017-07-31,1501459200,19.47,19.51,19.31,19.49,516400
2017-08-01,1501545600,19.02,19.54,19.02,19.25,590600
2017-08-02,1501632000,19.17,19.5,19.17,19.43,466100
2017-08-03,1501718400,19.45,19.58,19.37,19.45,351100
2017-08-04,1501804800,19.52,19.65,19.13,19.4,953300
2017-08-07,1502064000,19.35,19.53,19.35,19.49,421200
2017-08-08,1502150400,19.48,19.6,19.25,19.37,524200
2017-08-09,1502236800,19.7,19.96,19.44,19.51,1151900
2017-08-10,1502323200,19.57,19.57,19.36,19.41,602900
2017-08-11,1502409600,19.09,19.63,19.09,19.54,4013400
2017-08-14,1502668800,19.69,20.15,19.69,20.1,2536500
2017-08-15,1502755200,20.1,20.18,19.59,19.64,559900
2017-08-16,1502841600,19.75,19.92,19.6,19.89,381900
2017-08-17,1502928000,19.79,19.99,19.68,19.69,918900
2017-08-18,1503014400,19.61,19.84,19.49,19.67,335200
2017-08-21,1503273600,19.67,19.67,19.37,19.48,263500
2017-08-22,1503360000,19.58,19.71,19.4,19.68,360100
2017-08-23,1503446400,19.54,19.78,19.54,19.67,440200
2017-08-24,1503532800,19.7,19.7,19.45,19.49,878900
2017-08-25,1503619200,19.57,19.66,19.13,19.46,690000
2017-08-28,1503878400,19.53,19.93,19.48,19.79,409300
2017-08-29,1503964800,19.62,19.9,19.55,19.86,474400
2017-08-30,1504051200,19.81,20.21,19.74,19.96,588100
2017-08-31,1504137600,20.0,20.08,19.79,19.9,863600
2017-09-01,1504224000,19.95,20.17,19.88,20.11,1181600
2017-09-05,1504569600,20.04,20.25,19.93,20.0,669200
2017-09-06,1504656000,20.14,20.14,19.77,19.96,575200
2017-09-07,1504742400,20.0,20.0,19.77,19.92,413100
2017-09-08,1504828800,19.88,20.07,19.74,20.0,815900
2017-09-11,1505088000,20.14,20.36,20.12,20.34,956400
2017-09-12,1505174400,20.34,20.93,20.27,20.93,1483200
2017-09-13,1505260800,20.93,22.44,20.85,22.36,2145600
2017-09-14,1505347200,22.22,22.36,21.83,21.94,1462600
2017-09-15,1505433600,22.06,22.49,21.81,22.45,3501500
2017-09-18,1505692800,22.51,22.96,22.29,22.84,1667100
2017-09-19,1505779200,22.88,23.16,22.75,23.03,1186700
2017-09-20,1505865600,23.01,23.18,22.69,22.77,1087200
2017-09-21,1505952000,22.76,22.81,22.34,22.5,781100
2017-09-22,1506038400,22.5,22.56,22.38,22.51,659600
2017-09-25,1506297600,22.49,22.66,22.45,22.65,363300
2017-09-26,1506384000,22.65,23.03,22.62,22.74,966300
2017-09-27,1506470400,22.83,23.12,22.63,22.99,525600
2017-09-28,1506556800,22.99,23.17,22.8,23.09,649000
2017-09-29,1506643200,23.02,23.46,23.0,23.05,1193900
2017-10-02,1506902400,23.07,23.34,22.96,23.0,972300
2017-10-03,1506988800,23.11,23.25,22.99,23.0,699200
2017-10-04,1507075200,23.0,23.08,22.66,22.72,1578300
2017-10-05,1507161600,22.76,22.99,22.49,22.67,458900
2017-10-06,1507248000,22.58,22.82,22.47,22.58,882500
2017-10-09,1507507200,22.7,22.81,22.29,22.3,1753500
2017-10-10,1507593600,22.46,22.49,22.03,22.2,869100
2017-10-11,1507680000,22.18,22.23,22.07,22.14,1043200
2017-10-12,1507766400,22.08,22.21,22.01,22.12,842300
2017-10-13,1507852800,22.27,22.33,22.01,22.28,386200
2017-10-16,1508112000,22.27,22.32,21.93,21.96,1018900
2017-10-17,1508198400,21.92,22.28,21.92,22.04,711300
2017-10-18,1508284800,22.07,22.27,21.74,21.78,1013100
2017-10-19,1508371200,21.62,21.64,21.31,21.54,816800
2017-10-20,1508457600,21.6,21.76,21.42,21.5,615000
2017-10-23,1508716800,21.5,21.58,20.91,20.92,744500
2017-10-24,1508803200,21.01,21.83,20.99,21.63,1393300
2017-10-25,1508889600,21.59,21.66,20.95,21.35,604000
2017-10-26,1508976000,21.39,21.92,21.22,21.92,942200
2017-10-27,1509062400,21.87,21.95,21.43,21.91,873200
2017-10-30,1509321600,21.82,21.91,21.55,21.73,635100
2017-10-31,1509408000,21.73,22.08,21.7,22.06,1022400
2017-11-01,1509494400,22.17,22.36,21.65,21.8,723600
2017-11-02,1509580800,21.72,21.91,21.59,21.69,1054400
2017-11-03,1509667200,21.78,22.17,21.65,21.99,1630900
2017-11-06,1509926400,21.55,22.4,20.65,21.0,1716400
2017-11-07,1510012800,21.02,21.36,20.95,21.29,1222400
2017-11-08,1510099200,21.18,21.21,20.89,21.02,1307300
2017-11-09,1510185600,20.98,21.12,20.88,20.9,1427600
2017-11-10,1510272000,20.99,21.36,20.85,21.04,1352200
2017-11-13,1510531200,20.91,21.47,20.91,21.31,1536200
2017-11-14,1510617600,21.21,21.45,21.19,21.36,984800
2017-11-15,1510704000,21.12,21.41,21.01,21.3,732900
2017-11-16,1510790400,21.28,21.56,21.28,21.37,665400
2017-11-17,1510876800,21.4,21.68,21.11,21.61,795900
2017-11-20,1511136000,21.55,21.89,21.55,21.81,943800
2017-11-21,1511222400,21.86,22.06,21.79,21.88,616500
2017-11-22,1511308800,21.93,22.23,21.79,22.22,732200
2017-11-24,1511481600,22.22,22.25,21.72,21.95,275200
2017-11-27,1511740800,22.0,22.21,21.9,21.95,521600
2017-11-28,1511827200,21.95,22.15,21.78,22.08,661400
2017-11-29,1511913600,22.12,22.12,21.88,22.05,595700
2017-11-30,1512000000,22.12,22.72,22.12,22.44,986400
2017-12-01,1512086400,22.5,22.5,21.71,22.08,751800
2017-12-04,1512345600,22.25,22.5,22.08,22.16,723500
2017-12-05,1512432000,22.22,22.33,21.66,21.81,532000
2017-12-06,1512518400,21.7,22.19,21.7,21.99,1049200
2017-12-07,1512604800,22.03,22.33,21.97,22.25,878400
2017-12-08,1512691200,22.39,22.42,22.06,22.25,891000
2017-12-11,1512950400,22.25,22.44,22.12,22.29,1126800
2017-12-12,1513036800,22.36,22.48,22.16,22.29,575800
2017-12-13,1513123200,22.35,22.62,22.18,22.19,572600
2017-12-14,1513209600,22.19,22.37,22.05,22.08,1227200
2017-12-15,1513296000,22.28,22.57,22.16,22.35,786500
2017-12-18,1513555200,22.52,22.62,22.05,22.37,979600
2017-12-19,1513641600,22.45,22.66,22.2,22.6,1887500
2017-12-20,1513728000,22.74,22.75,22.4,22.45,498400
2017-12-21,1513814400,22.5,22.77,22.43,22.72,676300
2017-12-22,1513900800,22.71,22.93,22.57,22.91,418900
2017-12-26,1514246400,22.91,23.16,22.91,23.11,255300
2017-12-27,1514332800,23.1,23.33,23.1,23.26,346400
2017-12-28,1514419200,23.35,23.56,23.23,23.51,406700
2017-12-29,1514505600,23.58,23.67,23.39,23.51,450600
2018-01-02,1514851200,23.66,23.77,23.0,23.36,913200
2018-01-03,1514937600,23.44,23.69,23.15,23.4,823100
2018-01-04,1515024000,23.45,23.62,23.34,23.6,1529800
2018-01-05,1515110400,23.59,23.72,23.15,23.21,543900
2018-01-08,1515369600,23.2,23.5,23.08,23.25,809700
2018-01-09,1515456000,23.21,23.44,22.88,22.91,551200
2018-01-10,1515542400,22.92,22.95,22.69,22.74,479100
2018-01-11,1515628800,22.85,23.16,22.76,23.16,338600
2018-01-12,1515715200,23.22,23.25,23.05,23.13,471500
2018-01-16,1516060800,23.23,23.34,22.67,22.87,503500
2018-01-17,1516147200,23.0,23.08,22.9,22.94,401800
2018-01-18,1516233600,22.94,23.35,22.69,22.73,589500
2018-01-19,1516320000,22.8,23.17,22.65,22.93,485000
2018-01-22,1516579200,22.83,22.9,22.62,22.76,482200
2018-01-23,1516665600,22.79,23.0,22.61,22.91,741100
2018-01-24,1516752000,22.99,23.24,22.77,22.84,804000
2018-01-25,1516838400,22.95,23.09,22.72,22.92,667000
2018-01-26,1516924800,22.92,23.07,22.74,22.92,383200
2018-01-29,1517184000,22.77,22.94,22.73,22.82,361300
2018-01-30,1517270400,22.64,22.84,22.31,22.66,738100
2018-01-31,1517356800,22.75,22.97,22.15,22.3,586800
2018-02-01,1517443200,22.18,22.42,22.01,22.33,403200
2018-02-02,1517529600,22.16,22.42,21.94,22.1,542700
2018-02-05,1517788800,21.9,22.1,21.12,21.17,705100
2018-02-06,1517875200,20.99,21.33,20.56,21.25,737100
2018-02-07,1517961600,21.12,21.37,20.95,20.96,861400
2018-02-08,1518048000,21.0,21.02,20.52,20.68,1714400
2018-02-09,1518134400,20.91,21.22,20.11,20.75,673400
2018-02-12,1518393600,20.88,21.19,20.72,21.01,306500
2018-02-13,1518480000,20.95,21.19,20.68,20.76,464900
2018-02-14,1518566400,20.74,21.33,20.54,21.26,507600
2018-02-15,1518652800,21.42,21.67,21.22,21.58,456500
2018-02-16,1518739200,21.49,22.24,21.49,21.94,785700
