Date,Time,Open,High,Low,Close,Volume
2017-01-03,1483401600,28.93,29.3,28.52,29.1,132500
2017-01-04,1483488000,29.21,29.52,29.05,29.37,181400
2017-01-05,1483574400,29.37,29.41,28.88,28.96,117600
2017-01-06,1483660800,29.17,29.19,28.5,28.53,73200
2017-01-09,1483920000,28.29,28.48,27.91,28.08,206200
2017-01-10,1484006400,28.0,28.2,27.69,28.01,205400
2017-01-11,1484092800,28.01,28.67,27.82,28.6,158100
2017-01-12,1484179200,28.34,28.43,27.61,28.35,147700
2017-01-13,1484265600,28.6,29.34,28.6,28.68,246700
2017-01-17,1484611200,28.41,28.65,28.26,28.41,188500
2017-01-18,1484697600,28.66,28.92,28.04,28.29,153100
2017-01-19,1484784000,28.51,28.51,28.06,28.16,102700
2017-01-20,1484870400,28.13,28.28,27.94,28.04,163000
2017-01-23,1485129600,27.95,28.11,27.79,27.94,348000
2017-01-24,1485216000,28.05,28.62,27.77,28.31,284200
2017-01-25,1485302400,28.55,28.7,28.25,28.47,184000
2017-01-26,1485388800,28.62,28.83,28.29,28.35,101500
2017-01-27,1485475200,28.3,28.57,28.13,28.22,89300
2017-01-30,1485734400,28.21,28.21,27.75,27.99,298000
2017-01-31,1485820800,27.92,29.01,27.84,28.98,239800
2017-02-01,1485907200,29.13,30.24,29.13,29.94,448200
2017-02-02,1485993600,29.93,30.17,29.38,29.7,239600
2017-02-03,1486080000,30.0,30.42,29.7,30.4,269800
2017-02-06,1486339200,30.24,30.31,29.69,29.87,192200
2017-02-07,1486425600,29.89,30.08,29.36,29.61,354400
2017-02-08,1486512000,31.93,34.59,31.28,34.38,967500
2017-02-09,1486598400,34.72,35.98,34.1,34.29,677900
2017-02-10,1486684800,34.55,34.9,34.1,34.56,358600
2017-02-13,1486944000,34.95,35.68,34.93,35.18,462300
2017-02-14,1487030400,35.18,35.96,35.12,35.85,371800
2017-02-15,1487116800,35.97,36.82,35.85,36.74,282400
2017-02-16,1487203200,36.57,36.69,35.28,36.53,354000
2017-02-17,1487289600,36.06,36.99,35.98,36.92,259500
2017-02-21,1487635200,37.36,38.65,36.08,36.28,406900
2017-02-22,1487721600,36.19,36.63,35.87,36.21,156500
2017-02-23,1487808000,36.34,37.65,36.34,37.46,407400
2017-02-24,1487894400,37.24,37.42,36.73,36.97,363000
2017-02-27,1488153600,37.32,38.03,37.0,37.98,407100
2017-02-28,1488240000,37.98,37.99,37.32,37.5,294800
