Date,Time,Open,High,Low,Close,Volume
2017-01-03,1483401600,66.75,69.1,66.75,68.38,1536500
2017-01-04,1483488000,68.67,71.45,68.67,71.36,2543500
2017-01-05,1483574400,71.38,72.42,70.93,72.28,2756200
2017-01-06,1483660800,72.59,73.95,71.56,73.85,1967400
2017-01-09,1483920000,73.9,74.78,72.97,74.76,2341800
2017-01-10,1484006400,74.85,75.0,73.31,74.35,1369600
2017-01-11,1484092800,76.7,81.77,76.5,81.7,7780700
2017-01-12,1484179200,80.51,80.91,78.16,80.12,2889500
2017-01-13,1484265600,80.13,81.16,79.91,80.89,1403900
2017-01-17,1484611200,80.95,81.07,79.11,80.99,2188900
2017-01-18,1484697600,81.12,82.24,80.38,82.11,2015600
2017-01-19,1484784000,82.25,82.97,81.56,82.04,1217200
2017-01-20,1484870400,82.04,82.47,80.75,81.78,1266300
2017-01-23,1485129600,82.0,82.23,81.38,82.08,1074200
2017-01-24,1485216000,82.56,82.97,82.08,82.63,1083500
2017-01-25,1485302400,83.68,85.18,83.52,84.73,1217900
2017-01-26,1485388800,85.06,85.91,83.64,84.1,1009200
2017-01-27,1485475200,84.61,85.2,84.29,84.77,968200
2017-01-30,1485734400,84.11,84.11,81.39,82.71,1876100
2017-01-31,1485820800,82.73,83.25,81.3,83.09,1260600
2017-02-01,1485907200,83.92,84.42,81.5,82.38,1462600
2017-02-02,1485993600,82.49,83.25,81.46,82.67,1555600
2017-02-03,1486080000,83.5,84.57,83.36,84.4,1201200
2017-02-06,1486339200,83.86,85.44,83.65,85.37,1143700
2017-02-07,1486425600,88.0,88.0,85.93,86.05,2368500
2017-02-08,1486512000,85.9,87.0,85.71,85.8,1041400
2017-02-09,1486598400,85.8,86.65,85.7,86.0,1418400
2017-02-10,1486684800,86.0,86.32,85.1,85.52,1223900
2017-02-13,1486944000,85.6,86.26,85.21,85.41,1559500
2017-02-14,1487030400,85.3,86.25,85.05,86.24,823900
2017-02-15,1487116800,86.14,87.15,85.37,87.06,1122500
2017-02-16,1487203200,87.13,87.87,84.8,85.5,1721400
2017-02-17,1487289600,87.43,89.45,86.72,88.43,2101100
2017-02-21,1487635200,88.4,88.77,87.93,88.64,1082900
2017-02-22,1487721600,88.16,88.63,87.91,88.22,635100
