Date,Time,Open,High,Low,Close,Volume
2017-01-03,1483401600,28.56,29.45,28.55,29.23,136600
2017-01-04,1483488000,29.49,30.34,28.83,29.5,128000
2017-01-05,1483574400,29.59,29.94,29.05,29.16,162500
2017-01-06,1483660800,29.14,29.22,28.72,28.95,192800
2017-01-09,1483920000,28.7,28.83,28.31,28.37,168800
2017-01-10,1484006400,28.42,28.59,27.77,28.3,92500
2017-01-11,1484092800,28.43,29.06,28.32,28.95,115100
2017-01-12,1484179200,29.14,29.27,28.43,28.78,85400
2017-01-13,1484265600,28.46,29.35,28.46,29.16,122400
2017-01-17,1484611200,29.41,29.55,29.04,29.45,108000
2017-01-18,1484697600,29.22,29.81,29.13,29.61,173700
2017-01-19,1484784000,29.49,30.22,29.33,29.44,81600
2017-01-20,1484870400,29.79,30.16,29.38,29.6,205300
2017-01-23,1485129600,29.34,29.88,29.23,29.77,70700
2017-01-24,1485216000,30.4,30.45,29.76,30.07,90500
2017-01-25,1485302400,30.06,30.49,30.01,30.11,157100
2017-01-26,1485388800,30.34,30.82,29.96,30.57,92200
2017-01-27,1485475200,30.47,31.01,30.12,30.92,203100
2017-01-30,1485734400,30.82,30.82,30.12,30.8,114500
2017-01-31,1485820800,30.68,30.69,29.86,30.13,305100
2017-02-01,1485907200,30.27,30.87,29.92,30.19,231600
2017-02-02,1485993600,30.2,30.69,30.05,30.38,249800
2017-02-03,1486080000,30.53,30.64,29.91,30.07,596100
2017-02-06,1486339200,30.22,30.82,29.88,30.21,329700
2017-02-07,1486425600,29.97,30.45,29.56,29.93,236300
2017-02-08,1486512000,29.78,30.57,29.31,30.57,58900
2017-02-09,1486598400,30.6,31.32,30.44,31.3,128300
2017-02-10,1486684800,31.46,31.62,31.15,31.34,127500
2017-02-13,1486944000,31.37,31.8,30.98,31.72,224300
2017-02-14,1487030400,31.73,31.8,31.58,31.7,160300
2017-02-15,1487116800,31.82,31.87,31.56,31.85,72400
2017-02-16,1487203200,31.92,32.11,31.07,31.57,150000
2017-02-17,1487289600,31.36,31.6,30.62,31.57,154400
2017-02-21,1487635200,31.79,32.01,31.15,31.58,488900
2017-02-22,1487721600,31.26,31.53,30.35,31.17,181400
2017-02-23,1487808000,31.21,31.8,30.29,31.25,148900
2017-02-24,1487894400,31.0,31.13,30.47,30.83,191200
2017-02-27,1488153600,31.43,31.43,30.1,30.21,108200
2017-02-28,1488240000,30.2,30.81,29.83,30.79,155100
2017-03-01,1488326400,30.91,31.25,30.51,30.97,202400
2017-03-02,1488412800,31.05,31.05,30.31,30.89,139500
2017-03-03,1488499200,30.95,31.13,30.52,30.87,65100
2017-03-06,1488758400,30.69,31.01,30.35,30.76,54500
2017-03-07,1488844800,30.68,30.79,30.24,30.43,85100
2017-03-08,1488931200,30.36,30.71,29.5,29.6,59500
2017-03-09,1489017600,29.32,30.9,29.04,30.73,160700
2017-03-10,1489104000,30.75,31.03,30.5,30.64,97100
2017-03-13,1489363200,30.62,31.09,30.42,30.52,35800
2017-03-14,1489449600,30.15,30.33,29.59,29.98,92500
