Date,Time,Open,High,Low,Close,Volume
2017-01-03,1483401600,43.62,44.62,43.62,44.47,98000
2017-01-04,1483488000,44.59,45.38,44.44,45.28,105000
2017-01-05,1483574400,45.08,45.08,43.59,44.04,196500
2017-01-06,1483660800,44.29,44.29,43.25,43.35,111600
2017-01-09,1483920000,43.25,43.25,41.96,42.05,113200
2017-01-10,1484006400,42.25,43.3,42.25,42.85,59200
2017-01-11,1484092800,42.9,43.35,42.55,43.15,51600
2017-01-12,1484179200,43.0,43.0,41.76,42.65,65200
2017-01-13,1484265600,42.75,43.3,42.35,43.0,63100
2017-01-17,1484611200,42.8,42.8,41.56,41.66,66500
2017-01-18,1484697600,41.96,42.2,41.31,41.61,62900
2017-01-19,1484784000,41.76,41.76,40.57,40.96,72500
2017-01-20,1484870400,41.06,41.76,40.96,41.46,79600
2017-01-23,1485129600,41.46,41.51,40.96,41.41,57100
2017-01-24,1485216000,41.66,42.33,41.31,42.15,89900
2017-01-25,1485302400,42.65,43.94,42.25,43.15,90800
2017-01-26,1485388800,43.25,43.64,42.7,43.1,45100
2017-01-27,1485475200,43.0,43.49,42.3,43.3,64600
2017-01-30,1485734400,43.1,43.1,41.86,41.91,39500
2017-01-31,1485820800,41.96,42.2,41.56,41.96,87100
2017-02-01,1485907200,42.5,42.95,41.46,42.0,51600
2017-02-02,1485993600,41.91,42.2,41.36,41.61,41700
2017-02-03,1486080000,41.86,42.73,41.66,42.7,57900
2017-02-06,1486339200,42.65,42.65,41.71,42.0,43000
2017-02-07,1486425600,42.1,42.65,41.81,41.86,34500
2017-02-08,1486512000,41.76,41.76,40.66,40.71,51900
2017-02-09,1486598400,40.76,41.91,40.76,41.71,64700
2017-02-10,1486684800,41.96,41.96,41.16,41.76,39200
2017-02-13,1486944000,42.0,42.5,41.51,42.4,56500
2017-02-14,1487030400,42.15,43.25,41.91,43.2,90900
2017-02-15,1487116800,43.0,43.35,42.75,43.3,78200
2017-02-16,1487203200,43.4,43.69,42.95,43.44,74100
2017-02-17,1487289600,47.02,48.11,44.98,47.52,340400
2017-02-21,1487635200,48.16,49.15,47.81,48.96,195200
2017-02-22,1487721600,48.81,49.2,48.46,49.2,84900
2017-02-23,1487808000,49.4,49.4,46.97,47.17,137700
2017-02-24,1487894400,46.67,47.57,46.67,47.57,63000
2017-02-27,1488153600,47.57,48.21,47.57,48.21,84200
2017-02-28,1488240000,48.11,48.21,47.07,47.17,79700
2017-03-01,1488326400,48.01,49.4,48.01,48.61,85600
2017-03-02,1488412800,48.56,48.56,47.4,47.42,32500
2017-03-03,1488499200,47.47,49.4,47.12,47.62,85800
2017-03-06,1488758400,47.57,47.68,46.37,47.12,54600
2017-03-07,1488844800,47.07,47.17,46.37,46.42,36300
