Date,Time,Open,High,Low,Close,Volume
2017-01-03,1483401600,62.49,62.49,61.42,61.97,10473200
2017-01-04,1483488000,61.97,62.84,61.91,62.33,7918000
2017-01-05,1483574400,61.76,62.57,61.48,62.46,7099200
2017-01-06,1483660800,61.74,61.82,61.38,61.61,9491100
2017-01-09,1483920000,61.67,62.09,61.66,62.01,8685200
2017-01-10,1484006400,61.95,62.52,61.57,61.58,10256500
2017-01-11,1484092800,61.55,61.93,61.54,61.85,6697600
2017-01-12,1484179200,61.7,61.88,61.3,61.34,6544900
2017-01-13,1484265600,61.35,61.39,60.54,60.59,10012500
2017-01-17,1484611200,61.46,62.54,61.43,61.75,13167500
2017-01-18,1484697600,61.26,61.47,60.96,61.47,7321500
2017-01-19,1484784000,61.49,61.54,60.9,61.03,6821100
2017-01-20,1484870400,61.14,61.22,60.49,60.63,12054700
2017-01-23,1485129600,60.48,60.63,60.07,60.15,7951400
2017-01-24,1485216000,60.37,60.84,60.16,60.83,10710600
2017-01-25,1485302400,60.94,61.13,60.28,60.37,8722900
2017-01-26,1485388800,60.59,60.67,60.13,60.22,6504100
2017-01-27,1485475200,60.34,60.44,58.92,59.26,13433600
2017-01-30,1485734400,59.23,60.0,59.23,59.94,8641500
2017-01-31,1485820800,59.76,60.37,59.46,60.23,9320900
2017-02-01,1485907200,59.98,60.21,59.6,59.77,9050000
2017-02-02,1485993600,59.87,60.59,59.87,60.2,8998700
2017-02-03,1486080000,60.31,60.41,59.96,60.02,7625300
2017-02-06,1486339200,59.9,60.34,59.9,59.93,9097200
2017-02-07,1486425600,60.07,60.47,60.03,60.37,5805700
2017-02-08,1486512000,60.37,61.21,60.37,61.2,7660800
2017-02-09,1486598400,61.2,62.4,61.15,62.35,11080500
2017-02-10,1486684800,61.6,61.91,61.15,61.39,12445600
2017-02-13,1486944000,61.66,61.96,60.97,61.16,8374300
2017-02-14,1487030400,61.26,61.98,61.11,61.97,8462300
2017-02-15,1487116800,61.19,62.01,61.15,61.99,8563300
