Date,Time,Open,High,Low,Close,Volume
2017-01-03,1483401600,27.68,28.07,26.98,27.04,113500
2017-01-04,1483488000,26.93,27.21,26.93,27.03,228400
2017-01-05,1483574400,26.95,27.59,26.95,27.49,353800
2017-01-06,1483660800,27.59,27.59,27.21,27.25,129900
2017-01-09,1483920000,27.25,27.34,26.68,26.91,92800
2017-01-10,1484006400,28.0,28.0,27.19,27.25,116900
2017-01-11,1484092800,27.15,27.6,27.15,27.48,159700
2017-01-12,1484179200,27.32,27.43,27.03,27.04,117500
2017-01-13,1484265600,27.23,27.4,26.86,27.11,153500
2017-01-17,1484611200,27.31,27.4,26.99,27.26,99200
2017-01-18,1484697600,27.39,27.76,27.04,27.67,205500
2017-01-19,1484784000,28.36,29.54,27.93,28.75,476800
2017-01-20,1484870400,29.0,29.55,28.42,29.54,264300
2017-01-23,1485129600,29.45,29.68,29.01,29.34,290100
2017-01-24,1485216000,29.46,29.61,29.21,29.4,168100
2017-01-25,1485302400,29.33,29.95,28.63,29.89,152500
2017-01-26,1485388800,29.82,30.12,29.42,29.57,140400
2017-01-27,1485475200,29.42,29.8,29.26,29.37,83200
2017-01-30,1485734400,29.36,29.36,28.57,28.61,249100
2017-01-31,1485820800,28.5,29.04,27.94,28.44,188600
2017-02-01,1485907200,28.61,28.91,27.93,28.56,299600
2017-02-02,1485993600,28.52,28.81,27.97,28.39,176300
2017-02-03,1486080000,28.51,28.73,28.26,28.55,150500
2017-02-06,1486339200,28.5,28.53,28.25,28.29,96600
2017-02-07,1486425600,28.37,28.67,28.05,28.55,180100
2017-02-08,1486512000,28.48,28.83,28.34,28.56,74700
2017-02-09,1486598400,28.56,29.18,28.37,29.07,176000
2017-02-10,1486684800,29.19,29.19,28.78,28.9,99700
2017-02-13,1486944000,29.03,29.11,28.56,28.61,90300
2017-02-14,1487030400,28.58,28.73,28.06,28.32,591100
2017-02-15,1487116800,28.15,28.6,27.55,28.31,389100
2017-02-16,1487203200,28.35,28.66,28.35,28.41,385600
2017-02-17,1487289600,28.48,28.81,28.47,28.62,238800
2017-02-21,1487635200,28.67,28.9,28.5,28.81,180100
2017-02-22,1487721600,28.66,28.92,28.61,28.68,205400
2017-02-23,1487808000,28.56,29.14,28.56,28.97,297200
2017-02-24,1487894400,28.97,29.31,28.65,29.03,193800
2017-02-27,1488153600,29.24,29.42,28.8,28.94,203600
2017-02-28,1488240000,28.98,29.23,28.23,28.25,276200
2017-03-01,1488326400,28.43,28.72,28.32,28.36,240900
2017-03-02,1488412800,28.44,28.59,28.14,28.28,111800
2017-03-03,1488499200,28.33,28.64,28.33,28.41,107500
2017-03-06,1488758400,28.26,28.49,27.85,27.9,195000
2017-03-07,1488844800,27.87,28.31,27.71,27.8,183600
2017-03-08,1488931200,27.8,28.33,27.77,28.08,282100
2017-03-09,1489017600,28.07,28.48,28.05,28.06,215900
2017-03-10,1489104000,28.22,28.4,28.02,28.1,303500
2017-03-13,1489363200,28.5,28.5,27.63,27.8,80900
2017-03-14,1489449600,27.73,27.94,27.56,27.65,142100
2017-03-15,1489536000,27.8,27.9,27.43,27.62,254800
2017-03-16,1489622400,27.63,28.22,27.61,27.97,205000
2017-03-17,1489708800,27.99,28.22,27.99,28.04,109700
2017-03-20,1489968000,28.07,28.93,28.03,28.68,383400
2017-03-21,1490054400,28.73,28.79,28.31,28.47,242100
2017-03-22,1490140800,28.49,28.75,28.25,28.55,166900
2017-03-23,1490227200,28.51,28.85,28.35,28.61,355700
2017-03-24,1490313600,28.73,29.11,28.66,28.75,242300
2017-03-27,1490572800,28.62,29.01,28.12,28.77,283800
2017-03-28,1490659200,28.83,28.89,28.45,28.7,215300
2017-03-29,1490745600,28.7,28.78,28.45,28.48,134500
2017-03-30,1490832000,28.44,28.73,28.44,28.69,136300
2017-03-31,1490918400,28.72,28.8,28.55,28.61,209200
2017-04-03,1491177600,28.64,29.0,28.39,28.45,283800
2017-04-04,1491264000,28.31,28.65,27.92,28.45,204200
2017-04-05,1491350400,28.54,28.79,28.23,28.31,133900
2017-04-06,1491436800,28.28,28.54,28.09,28.28,126200
2017-04-07,1491523200,28.18,28.44,27.82,27.99,155400
2017-04-10,1491782400,27.93,28.44,27.69,28.39,264300
2017-04-11,1491868800,28.43,29.34,28.22,29.0,402000
2017-04-12,1491955200,28.96,29.18,28.9,28.93,156700
2017-04-13,1492041600,28.88,29.32,28.73,28.95,188400
2017-04-17,1492387200,29.09,29.38,28.92,29.32,153900
2017-04-18,1492473600,29.24,29.64,29.11,29.64,215800
2017-04-19,1492560000,29.69,30.04,29.69,30.0,209700
2017-04-20,1492646400,30.12,30.34,29.99,30.18,169900
2017-04-21,1492732800,30.17,30.3,29.93,29.93,122400
2017-04-24,1492992000,30.19,30.4,29.81,29.86,102200
2017-04-25,1493078400,29.96,30.32,29.86,30.27,145000
2017-04-26,1493164800,30.24,30.86,30.24,30.6,236700
2017-04-27,1493251200,31.15,32.99,31.15,32.39,292100
2017-04-28,1493337600,32.44,32.52,31.83,32.02,202300
2017-05-01,1493596800,31.89,32.11,31.36,32.02,162800
2017-05-02,1493683200,32.12,32.94,31.71,31.78,260800
2017-05-03,1493769600,31.61,32.15,31.2,31.86,277900
2017-05-04,1493856000,31.87,32.09,31.78,31.83,207900
2017-05-05,1493942400,31.23,32.18,31.23,32.16,252100
2017-05-08,1494201600,32.0,32.67,31.99,32.32,278800
2017-05-09,1494288000,32.34,33.15,32.32,32.85,404700
2017-05-10,1494374400,32.89,32.97,32.3,32.49,187700
2017-05-11,1494460800,32.33,32.87,32.24,32.57,161900
2017-05-12,1494547200,32.47,32.71,32.35,32.59,88100
2017-05-15,1494806400,32.58,33.37,32.09,32.96,321200
2017-05-16,1494892800,33.03,33.24,32.81,33.14,153800
2017-05-17,1494979200,33.06,33.14,32.6,32.6,247200
2017-05-18,1495065600,32.35,33.46,32.33,33.13,223200
2017-05-19,1495152000,33.21,33.84,32.83,33.69,307000
2017-05-22,1495411200,33.74,33.96,33.54,33.65,289100
2017-05-23,1495497600,33.65,33.8,32.98,33.03,216000
2017-05-24,1495584000,33.16,33.65,33.13,33.63,158900
2017-05-25,1495670400,33.63,33.91,33.39,33.5,131700
2017-05-26,1495756800,33.42,33.97,33.24,33.39,155900
2017-05-30,1496102400,33.5,33.5,33.1,33.29,126300
2017-05-31,1496188800,33.13,33.41,32.82,33.3,182300
2017-06-01,1496275200,33.28,33.43,33.16,33.39,178100
2017-06-02,1496361600,33.44,33.76,33.36,33.47,118700
