Date,Time,Open,High,Low,Close,Volume
2017-01-03,1483401600,15.12,15.12,14.39,14.47,34200
2017-01-04,1483488000,14.56,15.04,13.71,14.23,20600
2017-01-05,1483574400,14.19,14.23,13.9,14.23,4500
2017-01-06,1483660800,14.07,14.68,14.07,14.19,10600
2017-01-09,1483920000,14.19,14.88,14.07,14.07,9700
2017-01-10,1484006400,14.34,14.34,13.87,14.23,6300
2017-01-11,1484092800,14.23,14.23,14.11,14.19,5300
2017-01-12,1484179200,14.15,15.0,14.15,14.51,3200
2017-01-13,1484265600,14.27,14.76,14.27,14.68,3700
2017-01-17,1484611200,14.72,14.72,14.24,14.72,3800
2017-01-18,1484697600,14.76,15.24,14.47,15.08,8600
2017-01-19,1484784000,15.04,15.32,15.0,15.2,5100
2017-01-20,1484870400,15.2,15.2,14.23,14.68,6000
2017-01-23,1485129600,14.68,15.36,14.43,14.43,5300
2017-01-24,1485216000,14.92,14.92,14.72,14.72,2100
2017-01-25,1485302400,14.96,14.98,14.43,14.43,8900
2017-01-26,1485388800,14.68,15.16,14.51,14.76,6800
2017-01-27,1485475200,14.39,14.62,14.07,14.15,17000
2017-01-30,1485734400,14.34,14.5,14.31,14.31,2000
2017-01-31,1485820800,14.31,14.39,13.58,13.58,49300
2017-02-01,1485907200,13.91,13.91,13.38,13.42,11900
2017-02-02,1485993600,13.63,13.95,13.5,13.95,9600
2017-02-03,1486080000,14.64,14.96,14.39,14.64,63500
2017-02-06,1486339200,14.8,14.88,14.64,14.8,12400
2017-02-07,1486425600,14.64,14.72,14.28,14.39,14200
2017-02-08,1486512000,14.51,14.51,14.27,14.43,7400
2017-02-09,1486598400,14.51,14.6,14.47,14.47,5500
2017-02-10,1486684800,14.56,14.56,14.43,14.56,13800
2017-02-13,1486944000,14.56,14.6,14.47,14.56,28400
2017-02-14,1487030400,14.64,14.69,14.53,14.69,5200
2017-02-15,1487116800,14.61,14.69,14.53,14.53,5200
2017-02-16,1487203200,14.65,14.69,14.57,14.61,6400
2017-02-17,1487289600,14.69,14.69,14.61,14.61,4400
2017-02-21,1487635200,14.57,14.65,14.41,14.53,8100
2017-02-22,1487721600,14.53,14.65,14.53,14.57,2700
2017-02-23,1487808000,14.61,14.65,14.41,14.57,50000
2017-02-24,1487894400,14.45,14.57,14.29,14.29,40300
2017-02-27,1488153600,14.45,14.57,14.41,14.53,11400
2017-02-28,1488240000,14.53,14.61,14.41,14.53,15100
2017-03-01,1488326400,14.61,14.9,14.41,14.57,30900
2017-03-02,1488412800,14.29,15.1,14.29,14.65,13100
2017-03-03,1488499200,14.57,15.06,14.57,14.94,9700
2017-03-06,1488758400,15.04,15.04,14.69,14.73,8300
2017-03-07,1488844800,14.41,14.98,14.41,14.98,10000
2017-03-08,1488931200,14.82,15.39,14.82,15.35,10200
2017-03-09,1489017600,15.31,15.59,14.9,14.9,15500
2017-03-10,1489104000,14.94,15.43,14.33,15.14,7800
2017-03-13,1489363200,15.22,15.55,14.57,14.94,11500
2017-03-14,1489449600,14.73,15.27,14.73,14.98,8600
2017-03-15,1489536000,15.31,15.35,14.94,15.18,16200
2017-03-16,1489622400,15.02,15.35,14.98,15.14,8800
2017-03-17,1489708800,15.18,15.31,14.9,15.31,10500
2017-03-20,1489968000,15.1,15.27,14.98,15.1,11100
2017-03-21,1490054400,14.9,15.31,14.9,14.98,5600
2017-03-22,1490140800,14.98,15.47,14.98,15.02,4500
2017-03-23,1490227200,15.59,15.59,15.03,15.1,1900
2017-03-24,1490313600,15.18,15.43,15.18,15.39,9800
2017-03-27,1490572800,15.22,15.35,15.22,15.27,5600
2017-03-28,1490659200,15.35,15.35,14.98,15.27,1300
2017-03-29,1490745600,15.27,15.27,15.06,15.14,5900
2017-03-30,1490832000,15.18,15.31,15.1,15.31,4900
2017-03-31,1490918400,15.27,15.35,15.06,15.35,4300
2017-04-03,1491177600,15.22,15.43,15.06,15.1,4700
2017-04-04,1491264000,15.06,15.59,14.98,15.59,42900
2017-04-05,1491350400,15.67,16.08,14.86,14.9,62400
2017-04-06,1491436800,14.94,15.06,14.82,14.92,9100
2017-04-07,1491523200,14.91,15.27,14.91,15.1,6100
2017-04-10,1491782400,14.9,15.51,14.84,15.31,16900
2017-04-11,1491868800,15.1,15.47,15.1,15.39,9800
2017-04-12,1491955200,14.88,15.51,14.88,15.39,6100
2017-04-13,1492041600,15.51,15.59,15.02,15.27,45600
2017-04-17,1492387200,15.43,15.43,15.06,15.18,15000
2017-04-18,1492473600,15.06,15.96,14.73,15.14,7600
2017-04-19,1492560000,15.06,15.71,15.06,15.43,8300
2017-04-20,1492646400,15.35,15.71,15.28,15.47,11100
2017-04-21,1492732800,15.43,15.65,15.39,15.43,6300
2017-04-24,1492992000,15.43,15.84,15.43,15.71,27100
2017-04-25,1493078400,15.65,15.71,15.62,15.67,2300
2017-04-26,1493164800,15.71,15.96,15.35,15.96,101000
2017-04-27,1493251200,16.0,16.04,15.76,16.04,16600
2017-04-28,1493337600,16.33,17.26,16.29,17.1,19100
2017-05-01,1493596800,17.14,17.76,16.9,17.05,19000
2017-05-02,1493683200,16.45,17.18,16.33,16.53,20100
2017-05-03,1493769600,16.49,16.49,16.12,16.18,1900
2017-05-04,1493856000,15.96,16.08,15.71,16.04,3700
2017-05-05,1493942400,16.14,16.14,16.04,16.04,2000
2017-05-08,1494201600,16.06,16.47,15.93,16.47,16500
2017-05-09,1494288000,16.43,16.47,16.26,16.47,10700
2017-05-10,1494374400,16.47,16.8,16.47,16.51,7100
2017-05-11,1494460800,16.45,16.72,16.35,16.72,32600
2017-05-12,1494547200,16.43,16.76,16.43,16.76,2000
2017-05-15,1494806400,16.59,16.8,16.51,16.8,2200
2017-05-16,1494892800,16.83,16.88,16.76,16.8,5400
2017-05-17,1494979200,16.88,16.88,16.63,16.67,5500
2017-05-18,1495065600,16.81,16.92,16.67,16.92,3100
2017-05-19,1495152000,16.88,16.88,16.63,16.8,4600
2017-05-22,1495411200,16.83,16.88,16.8,16.88,2200
2017-05-23,1495497600,16.88,16.88,16.67,16.72,2500
2017-05-24,1495584000,16.84,16.84,16.84,16.84,400
2017-05-25,1495670400,16.63,16.8,16.63,16.72,3600
2017-05-26,1495756800,16.8,16.8,16.72,16.76,1200
2017-05-30,1496102400,16.96,16.96,16.84,16.96,2100
2017-05-31,1496188800,16.88,16.92,16.84,16.92,3500
2017-06-01,1496275200,16.88,16.92,16.88,16.88,5100
2017-06-02,1496361600,16.88,16.88,16.75,16.84,1900
2017-06-05,1496620800,16.84,16.84,16.72,16.76,1700
2017-06-06,1496707200,16.76,16.76,16.67,16.67,1100
2017-06-07,1496793600,16.72,16.72,16.67,16.72,1700
2017-06-08,1496880000,16.63,16.63,16.63,16.63,300
2017-06-09,1496966400,16.63,16.84,16.63,16.84,2800
2017-06-12,1497225600,16.67,16.76,16.66,16.66,2100
2017-06-13,1497312000,16.76,16.76,16.47,16.59,3800
2017-06-14,1497398400,16.1,16.22,16.06,16.22,2700
2017-06-15,1497484800,16.06,16.06,15.27,15.65,5200
2017-06-16,1497571200,15.65,16.22,15.48,16.22,9700
2017-06-19,1497830400,16.06,16.43,16.06,16.43,6700
2017-06-20,1497916800,16.43,16.43,16.06,16.14,1800
2017-06-21,1498003200,15.97,16.06,15.93,16.06,2100
2017-06-22,1498089600,16.06,16.22,16.02,16.22,1000
2017-06-23,1498176000,16.1,16.47,16.1,16.47,3700
2017-06-26,1498435200,16.47,16.47,15.97,15.97,5200
2017-06-27,1498521600,15.93,15.93,15.4,15.91,3300
2017-06-28,1498608000,15.65,15.89,15.56,15.89,3700
2017-06-29,1498694400,15.8,15.93,15.65,15.89,5100
2017-06-30,1498780800,15.69,15.93,15.69,15.93,1200
2017-07-03,1499040000,15.93,15.93,15.93,15.93,300
2017-07-05,1499212800,15.93,15.93,15.73,15.75,1500
2017-07-06,1499299200,15.4,15.48,15.4,15.44,800
2017-07-07,1499385600,15.44,15.44,15.32,15.4,1600
2017-07-10,1499644800,15.4,15.4,14.37,14.53,21200
2017-07-11,1499731200,14.45,14.67,14.45,14.62,4000
2017-07-12,1499817600,14.45,14.62,14.18,14.62,8700
2017-07-13,1499904000,14.66,14.9,14.13,14.45,3000
2017-07-14,1499990400,14.33,14.57,14.3,14.57,900
2017-07-17,1500249600,14.33,14.57,14.33,14.57,1000
2017-07-18,1500336000,14.49,14.66,14.4,14.53,12700
2017-07-19,1500422400,14.53,15.15,14.53,14.9,5200
2017-07-20,1500508800,14.99,15.03,14.95,14.99,2000
2017-07-21,1500595200,14.78,14.82,14.78,14.78,1200
2017-07-24,1500854400,14.66,14.74,14.66,14.66,1600
2017-07-25,1500940800,14.74,14.99,14.74,14.82,3900
2017-07-26,1501027200,14.9,14.9,14.68,14.86,3600
2017-07-27,1501113600,15.03,15.23,15.03,15.03,3000
2017-07-28,1501200000,14.82,14.82,14.25,14.53,35300
2017-07-31,1501459200,14.41,14.49,14.04,14.16,22000
2017-08-01,1501545600,14.25,14.25,13.88,13.96,8700
2017-08-02,1501632000,13.88,14.0,13.75,13.75,11900
2017-08-03,1501718400,13.79,14.16,13.69,13.69,3400
2017-08-04,1501804800,13.83,14.12,13.83,14.12,3500
2017-08-07,1502064000,14.16,14.16,13.92,14.0,6300
2017-08-08,1502150400,13.79,14.0,13.79,13.83,6400
2017-08-09,1502236800,13.81,14.06,13.77,13.77,5600
2017-08-10,1502323200,13.81,14.14,13.31,13.52,10500
2017-08-11,1502409600,13.51,13.73,13.39,13.43,9300
2017-08-14,1502668800,13.39,13.68,13.39,13.48,4800
2017-08-15,1502755200,13.39,13.58,13.39,13.56,7700
2017-08-16,1502841600,13.48,13.56,13.48,13.48,1900
2017-08-17,1502928000,13.43,13.48,13.19,13.23,5400
2017-08-18,1503014400,13.31,13.32,13.14,13.31,7800
2017-08-21,1503273600,13.24,13.31,13.19,13.31,3000
2017-08-22,1503360000,13.31,13.31,13.14,13.19,2400
2017-08-23,1503446400,13.14,13.2,12.61,12.94,9000
2017-08-24,1503532800,12.94,13.02,12.81,12.85,4900
2017-08-25,1503619200,12.73,12.89,12.69,12.85,2800
2017-08-28,1503878400,12.85,12.89,12.69,12.69,2100
2017-08-29,1503964800,12.69,12.91,12.69,12.91,900
2017-08-30,1504051200,12.89,12.89,12.77,12.85,1300
2017-08-31,1504137600,12.77,13.19,12.73,12.73,3300
2017-09-01,1504224000,12.77,12.78,12.19,12.19,20500
2017-09-05,1504569600,12.19,12.19,11.32,11.56,19600
2017-09-06,1504656000,11.44,11.52,10.86,11.11,93000
2017-09-07,1504742400,11.11,11.35,11.11,11.2,23600
2017-09-08,1504828800,11.19,11.4,11.15,11.23,14700
2017-09-11,1505088000,11.4,11.4,11.15,11.19,6800
2017-09-12,1505174400,11.19,11.23,11.06,11.11,22500
2017-09-13,1505260800,11.11,11.23,11.06,11.15,28800
2017-09-14,1505347200,11.15,11.23,11.07,11.23,34000
2017-09-15,1505433600,11.23,11.77,11.23,11.56,12200
2017-09-18,1505692800,11.56,11.85,11.48,11.6,17800
2017-09-19,1505779200,11.65,11.94,11.58,11.81,2600
2017-09-20,1505865600,11.85,11.85,11.56,11.65,7300
2017-09-21,1505952000,11.56,11.65,11.35,11.56,3400
2017-09-22,1506038400,11.73,11.73,11.48,11.65,4100
2017-09-25,1506297600,11.23,11.56,11.23,11.44,2500
2017-09-26,1506384000,11.31,11.44,11.31,11.44,1400
2017-09-27,1506470400,11.35,11.4,11.34,11.35,7000
2017-09-28,1506556800,11.44,11.48,11.29,11.31,29600
2017-09-29,1506643200,11.36,11.36,11.29,11.29,1400
2017-10-02,1506902400,11.31,11.35,11.19,11.19,5200
2017-10-03,1506988800,11.15,11.23,11.11,11.15,39400
2017-10-04,1507075200,11.15,11.23,10.98,11.23,3900
2017-10-05,1507161600,11.11,11.23,11.11,11.23,4000
2017-10-06,1507248000,11.23,11.44,11.11,11.4,7700
2017-10-09,1507507200,11.35,11.65,11.35,11.65,9600
2017-10-10,1507593600,11.56,11.56,11.52,11.56,10600
2017-10-11,1507680000,11.48,11.65,11.48,11.56,3500
2017-10-12,1507766400,11.48,11.56,11.48,11.52,2700
2017-10-13,1507852800,11.53,11.53,11.31,11.48,10600
2017-10-16,1508112000,11.52,11.52,11.35,11.44,13800
2017-10-17,1508198400,11.52,11.56,11.44,11.52,6200
2017-10-18,1508284800,11.32,11.65,11.32,11.56,4200
2017-10-19,1508371200,11.52,11.62,11.35,11.62,9700
2017-10-20,1508457600,11.52,11.6,11.52,11.56,5500
2017-10-23,1508716800,11.65,11.77,11.6,11.73,4600
2017-10-24,1508803200,11.73,11.85,11.65,11.73,6000
2017-10-25,1508889600,11.65,11.9,11.52,11.9,15100
2017-10-26,1508976000,11.77,11.77,11.69,11.73,3400
2017-10-27,1509062400,11.98,11.98,11.44,11.55,4200
2017-10-30,1509321600,11.56,11.56,11.35,11.47,13400
2017-10-31,1509408000,11.56,11.59,11.44,11.52,8000
2017-11-01,1509494400,11.6,12.19,11.6,12.19,15100
2017-11-02,1509580800,11.85,12.35,11.85,12.27,9800
2017-11-03,1509667200,11.98,12.1,11.85,11.85,5300
2017-11-06,1509926400,11.73,11.79,11.46,11.69,10000
2017-11-07,1510012800,11.65,11.81,11.53,11.81,14000
2017-11-08,1510099200,11.81,11.81,11.6,11.77,9400
2017-11-09,1510185600,11.73,11.83,11.62,11.79,20100
2017-11-10,1510272000,11.96,12.46,11.83,12.08,12500
2017-11-13,1510531200,12.08,12.25,11.49,11.82,15900
2017-11-14,1510617600,11.83,11.87,11.75,11.87,6400
2017-11-15,1510704000,11.91,12.0,11.87,12.0,10000
2017-11-16,1510790400,12.08,12.5,11.96,12.42,5900
2017-11-17,1510876800,12.33,13.05,12.33,12.92,10300
2017-11-20,1511136000,12.88,12.97,12.71,12.91,6000
2017-11-21,1511222400,12.92,13.22,12.88,13.01,9600
2017-11-22,1511308800,13.08,13.19,13.08,13.13,4900
2017-11-24,1511481600,13.01,13.22,13.01,13.22,3100
2017-11-27,1511740800,13.13,13.13,12.92,13.05,4700
2017-11-28,1511827200,12.97,13.05,12.97,13.05,2600
2017-11-29,1511913600,12.92,12.97,12.92,12.97,1700
2017-11-30,1512000000,13.09,13.26,13.09,13.18,8800
2017-12-01,1512086400,12.97,13.22,12.97,13.18,10300
2017-12-04,1512345600,13.09,13.35,13.09,13.26,4600
2017-12-05,1512432000,13.22,13.26,13.13,13.22,8500
2017-12-06,1512518400,13.26,13.26,13.05,13.18,6300
2017-12-07,1512604800,13.13,13.22,13.05,13.09,6900
2017-12-08,1512691200,13.09,13.18,12.92,13.09,2600
2017-12-11,1512950400,13.13,13.3,13.09,13.18,9600
2017-12-12,1513036800,13.13,13.55,13.13,13.43,7100
2017-12-13,1513123200,13.22,13.47,13.22,13.47,8500
2017-12-14,1513209600,13.47,13.85,13.47,13.81,7100
