Date,Time,Open,High,Low,Close,Volume
2017-01-03,1483401600,69.16,69.93,67.34,67.93,300100
2017-01-04,1483488000,68.01,69.42,67.87,69.21,253700
2017-01-05,1483574400,68.76,69.42,67.2,67.64,431600
2017-01-06,1483660800,68.19,68.22,67.25,67.55,560400
2017-01-09,1483920000,67.31,67.88,66.12,66.17,426000
2017-01-10,1484006400,66.44,67.35,66.1,66.88,518100
2017-01-11,1484092800,66.83,67.35,66.02,67.1,500500
2017-01-12,1484179200,66.64,66.93,64.58,65.03,430800
2017-01-13,1484265600,65.55,67.23,65.45,65.81,201700
2017-01-17,1484611200,65.26,65.26,63.64,64.04,261300
2017-01-18,1484697600,64.58,64.99,63.08,64.93,463300
2017-01-19,1484784000,65.76,65.91,63.75,64.07,407600
2017-01-20,1484870400,64.28,66.69,64.28,66.4,473600
2017-01-23,1485129600,65.71,66.5,65.26,65.89,382800
2017-01-24,1485216000,66.21,67.56,65.69,67.32,363000
2017-01-25,1485302400,67.73,68.53,67.72,68.1,608500
2017-01-26,1485388800,68.08,68.52,67.75,68.4,298300
2017-01-27,1485475200,67.91,67.92,67.0,67.4,245800
2017-01-30,1485734400,67.05,67.11,65.84,67.01,413500
2017-01-31,1485820800,66.66,67.48,66.57,67.24,296800
2017-02-01,1485907200,68.05,68.55,66.61,67.28,256300
2017-02-02,1485993600,66.73,67.06,65.7,66.11,254400
2017-02-03,1486080000,67.09,68.28,67.01,68.23,194500
2017-02-06,1486339200,67.54,68.33,66.92,67.48,196100
2017-02-07,1486425600,67.75,68.07,66.83,67.37,187400
2017-02-08,1486512000,66.8,67.34,65.78,66.96,270200
2017-02-09,1486598400,67.07,68.5,66.81,68.14,352700
2017-02-10,1486684800,68.58,68.64,67.77,68.48,148500
2017-02-13,1486944000,68.9,69.97,68.9,69.11,283600
2017-02-14,1487030400,68.85,70.77,68.41,70.6,281500
2017-02-15,1487116800,70.64,71.26,70.1,71.0,371100
2017-02-16,1487203200,70.7,71.17,70.23,71.13,221200
2017-02-17,1487289600,70.64,71.24,69.89,70.89,535600
2017-02-21,1487635200,71.06,72.18,69.46,71.2,253600
2017-02-22,1487721600,70.87,71.83,70.64,70.91,235500
2017-02-23,1487808000,70.93,71.12,69.7,71.11,262800
2017-02-24,1487894400,70.23,70.85,69.87,70.55,162000
2017-02-27,1488153600,70.46,70.77,69.9,70.1,712200
2017-02-28,1488240000,70.01,70.12,69.18,69.35,335200
2017-03-01,1488326400,70.9,71.76,70.8,71.36,337500
