Date,Time,Open,High,Low,Close,Volume
2017-01-03,1483401600,62.77,63.34,62.1,62.77,134200
2017-01-04,1483488000,62.81,63.29,61.96,62.53,317600
2017-01-05,1483574400,62.43,63.15,62.24,63.0,162600
2017-01-06,1483660800,63.2,63.24,62.19,62.24,72900
2017-01-09,1483920000,62.19,62.34,61.24,61.24,58900
2017-01-10,1484006400,61.48,62.24,61.48,62.05,101400
2017-01-11,1484092800,62.19,62.56,61.81,62.15,162500
2017-01-12,1484179200,62.15,62.19,60.12,60.67,140200
2017-01-13,1484265600,60.91,62.19,60.91,61.96,74400
2017-01-17,1484611200,61.72,61.72,60.48,60.86,75000
2017-01-18,1484697600,60.91,61.34,59.87,61.1,68500
2017-01-19,1484784000,61.24,61.53,60.52,60.86,56300
2017-01-20,1484870400,60.86,61.48,60.81,61.14,76200
2017-01-23,1485129600,60.62,61.19,60.0,60.48,130200
2017-01-24,1485216000,60.72,61.0,60.05,60.52,310200
2017-01-25,1485302400,60.76,61.67,60.19,61.48,201000
2017-01-26,1485388800,61.14,61.53,60.72,61.34,109200
2017-01-27,1485475200,61.48,63.15,61.38,62.67,210200
2017-01-30,1485734400,62.38,62.58,61.38,62.49,164100
2017-01-31,1485820800,62.29,63.15,61.67,62.96,243900
2017-02-01,1485907200,63.34,63.96,62.43,63.05,127700
2017-02-02,1485993600,62.81,63.2,62.19,62.77,108400
2017-02-03,1486080000,63.34,64.58,63.0,64.58,110900
2017-02-06,1486339200,64.34,64.34,62.67,63.2,94300
2017-02-07,1486425600,63.43,63.77,62.62,62.86,77300
2017-02-08,1486512000,62.53,62.86,62.15,62.38,94600
2017-02-09,1486598400,62.43,62.96,62.34,62.86,238500
2017-02-10,1486684800,62.19,62.19,57.28,60.19,628300
2017-02-13,1486944000,60.29,62.43,60.14,60.57,302000
2017-02-14,1487030400,60.38,60.67,59.19,59.52,163100
2017-02-15,1487116800,59.57,59.57,58.62,59.48,241100
2017-02-16,1487203200,59.57,60.1,59.38,60.1,138700
2017-02-17,1487289600,60.0,60.0,59.05,59.38,135300
2017-02-21,1487635200,59.43,61.05,59.43,60.91,136300
2017-02-22,1487721600,60.62,61.72,60.38,61.48,174700
2017-02-23,1487808000,61.81,61.81,60.29,60.33,135100
2017-02-24,1487894400,60.0,61.38,59.67,61.19,178500
2017-02-27,1488153600,61.19,62.1,61.1,61.96,176500
2017-02-28,1488240000,61.65,61.85,60.84,61.17,188500
2017-03-01,1488326400,62.13,63.04,61.79,62.99,148800
2017-03-02,1488412800,62.61,62.61,61.22,61.31,116400
2017-03-03,1488499200,61.36,61.65,60.88,61.03,139500
2017-03-06,1488758400,60.5,61.12,60.36,60.64,73500
2017-03-07,1488844800,60.41,61.03,59.83,59.93,102300
2017-03-08,1488931200,59.93,60.02,59.16,59.16,89000
2017-03-09,1489017600,58.92,59.26,58.59,58.97,105300
2017-03-10,1489104000,59.45,59.76,58.68,59.11,111500
2017-03-13,1489363200,59.11,59.69,59.07,59.31,86800
2017-03-14,1489449600,59.11,59.16,58.54,58.78,105100
2017-03-15,1489536000,59.02,59.69,58.44,59.59,243900
2017-03-16,1489622400,59.64,59.83,59.07,59.21,163200
2017-03-17,1489708800,59.11,59.6,58.78,59.07,373200
2017-03-20,1489968000,59.07,59.26,58.57,58.64,118100
2017-03-21,1490054400,58.97,58.97,57.44,57.82,146500
2017-03-22,1490140800,57.87,57.97,57.11,57.49,83300
2017-03-23,1490227200,57.44,59.07,57.44,58.3,91500
2017-03-24,1490313600,58.59,58.83,57.82,58.06,84100
2017-03-27,1490572800,57.49,58.44,57.11,58.11,94100
2017-03-28,1490659200,58.01,59.05,57.78,58.92,104600
2017-03-29,1490745600,58.88,59.5,58.73,59.26,160100
2017-03-30,1490832000,59.31,59.93,59.31,59.69,104800
2017-03-31,1490918400,59.64,60.26,59.4,59.64,280600
2017-04-03,1491177600,59.59,59.83,58.21,58.44,190700
2017-04-04,1491264000,58.49,58.83,58.16,58.3,94400
2017-04-05,1491350400,58.59,59.5,57.78,57.82,195400
2017-04-06,1491436800,57.92,59.02,57.73,58.59,118200
2017-04-07,1491523200,58.54,58.92,58.4,58.88,167500
2017-04-10,1491782400,58.92,59.35,58.4,58.64,81000
2017-04-11,1491868800,58.4,59.16,58.25,59.16,109800
2017-04-12,1491955200,58.88,58.88,57.78,57.78,112300
2017-04-13,1492041600,57.68,58.01,56.68,56.77,90200
2017-04-17,1492387200,56.96,57.54,56.87,57.49,88600
2017-04-18,1492473600,57.06,57.61,56.91,57.58,62500
2017-04-19,1492560000,57.82,58.16,57.39,57.49,65700
2017-04-20,1492646400,57.63,58.54,57.54,58.44,100900
2017-04-21,1492732800,58.35,58.81,57.78,58.3,129500
2017-04-24,1492992000,59.11,59.88,58.97,59.64,83700
2017-04-25,1493078400,60.07,60.98,59.98,60.02,126100
2017-04-26,1493164800,59.93,60.6,59.88,60.26,154000
2017-04-27,1493251200,60.31,60.36,59.74,59.93,116900
2017-04-28,1493337600,59.83,60.07,59.31,59.5,153800
2017-05-01,1493596800,59.69,59.69,58.92,59.02,113400
2017-05-02,1493683200,59.02,59.54,59.02,59.16,186700
2017-05-03,1493769600,58.83,58.97,58.06,58.44,206100
2017-05-04,1493856000,58.4,58.83,58.11,58.4,163500
2017-05-05,1493942400,60.45,63.13,60.45,63.04,287800
2017-05-08,1494201600,63.04,63.42,61.08,61.12,157600
2017-05-09,1494288000,61.12,61.46,60.41,60.64,162500
2017-05-10,1494374400,60.74,61.6,59.74,61.27,151200
2017-05-11,1494460800,61.17,61.46,60.17,60.84,75200
2017-05-12,1494547200,60.84,60.84,60.02,60.25,101700
2017-05-15,1494806400,60.31,60.88,60.31,60.64,96900
2017-05-16,1494892800,60.55,60.69,60.26,60.55,66600
2017-05-17,1494979200,60.55,60.55,59.26,59.78,205900
2017-05-18,1495065600,59.78,60.84,59.4,59.93,238900
2017-05-19,1495152000,60.26,61.08,60.02,60.6,146400
2017-05-22,1495411200,60.84,60.93,59.78,59.98,78600
2017-05-23,1495497600,60.12,60.36,59.59,60.21,75100
2017-05-24,1495584000,60.36,60.64,59.31,59.54,66400
2017-05-25,1495670400,59.74,59.74,59.35,59.54,86400
2017-05-26,1495756800,59.59,59.59,58.97,59.45,60800
2017-05-30,1496102400,59.21,59.4,58.49,59.07,73800
2017-05-31,1496188800,59.34,59.87,58.77,59.58,84100
2017-06-01,1496275200,59.92,60.26,59.49,60.26,84500
2017-06-02,1496361600,60.4,62.27,60.4,60.93,148400
2017-06-05,1496620800,60.78,62.18,60.78,61.22,164000
2017-06-06,1496707200,60.74,61.46,60.33,61.31,112700
2017-06-07,1496793600,61.36,61.55,60.98,61.17,107800
2017-06-08,1496880000,61.12,62.08,60.88,61.89,150100
2017-06-09,1496966400,61.94,62.27,61.7,61.98,126600
2017-06-12,1497225600,61.89,62.65,61.55,61.79,92900
2017-06-13,1497312000,61.89,62.18,60.83,61.41,101200
2017-06-14,1497398400,61.55,61.7,60.83,61.22,96300
2017-06-15,1497484800,60.3,61.31,60.3,60.88,57900
2017-06-16,1497571200,60.3,60.78,60.16,60.3,257100
2017-06-19,1497830400,60.35,60.5,59.97,60.16,87500
2017-06-20,1497916800,59.92,60.16,59.15,59.44,65700
