Date,Time,Open,High,Low,Close,Volume
2017-01-03,1483401600,9.15,9.35,9.1,9.35,5000
2017-01-04,1483488000,9.35,9.69,9.35,9.69,6600
2017-01-05,1483574400,9.57,9.6,9.42,9.5,8300
2017-01-06,1483660800,9.69,9.79,9.69,9.72,2500
2017-01-09,1483920000,9.72,9.72,9.72,9.72,0
2017-01-10,1484006400,9.65,9.65,9.6,9.61,1300
2017-01-11,1484092800,9.69,9.75,9.66,9.66,1200
2017-01-12,1484179200,9.7,9.7,9.61,9.61,900
2017-01-13,1484265600,9.7,9.74,9.6,9.6,6800
2017-01-17,1484611200,9.69,9.74,9.6,9.6,11400
2017-01-18,1484697600,9.65,9.68,9.53,9.53,6300
2017-01-19,1484784000,9.69,9.69,9.48,9.49,2400
2017-01-20,1484870400,9.69,9.74,9.61,9.7,6700
2017-01-23,1485129600,9.62,9.95,9.62,9.91,21600
2017-01-24,1485216000,9.92,9.95,9.85,9.88,30000
2017-01-25,1485302400,9.86,10.68,9.75,9.9,82000
2017-01-26,1485388800,10.0,10.0,9.68,9.8,10200
2017-01-27,1485475200,9.85,9.92,9.8,9.84,11200
2017-01-30,1485734400,9.84,9.85,9.78,9.8,11100
2017-01-31,1485820800,9.84,9.84,9.69,9.76,18900
2017-02-01,1485907200,9.94,10.0,9.8,9.8,66300
2017-02-02,1485993600,9.75,9.95,9.7,9.72,72100
2017-02-03,1486080000,9.73,9.87,9.72,9.84,64600
2017-02-06,1486339200,9.66,9.73,9.28,9.33,67700
2017-02-07,1486425600,9.37,9.44,9.21,9.35,7300
2017-02-08,1486512000,9.35,9.35,9.24,9.25,10700
2017-02-09,1486598400,9.49,9.49,9.11,9.3,6100
2017-02-10,1486684800,9.27,9.27,9.27,9.27,200
2017-02-13,1486944000,9.33,9.34,9.11,9.23,1600
2017-02-14,1487030400,9.17,9.19,9.1,9.14,3000
2017-02-15,1487116800,9.39,9.39,9.0,9.08,7000
2017-02-16,1487203200,9.0,9.1,8.51,8.79,12900
2017-02-17,1487289600,9.2,9.2,8.8,8.87,8600
2017-02-21,1487635200,8.99,8.99,8.51,8.62,11400
2017-02-22,1487721600,8.58,8.65,8.47,8.5,4600
2017-02-23,1487808000,8.61,8.61,8.4,8.45,11300
2017-02-24,1487894400,8.52,8.57,8.27,8.33,5500
2017-02-27,1488153600,8.38,8.45,8.35,8.39,11900
2017-02-28,1488240000,8.44,8.58,8.44,8.5,15500
2017-03-01,1488326400,8.59,8.59,8.37,8.39,24100
2017-03-02,1488412800,8.33,8.4,8.15,8.15,10900
2017-03-03,1488499200,8.24,8.25,8.0,8.14,11000
2017-03-06,1488758400,8.1,8.12,7.99,8.0,11400
2017-03-07,1488844800,8.05,8.05,7.71,7.88,46500
2017-03-08,1488931200,7.9,8.47,7.79,8.19,55500
2017-03-09,1489017600,8.3,8.4,8.11,8.24,30000
2017-03-10,1489104000,8.29,8.47,8.28,8.38,15600
2017-03-13,1489363200,8.59,8.59,8.4,8.43,11800
2017-03-14,1489449600,8.6,8.6,8.3,8.44,23100
2017-03-15,1489536000,8.44,8.45,8.25,8.45,11200
2017-03-16,1489622400,8.6,8.68,8.49,8.55,31400
2017-03-17,1489708800,8.56,8.79,8.56,8.7,108700
2017-03-20,1489968000,8.89,9.2,8.65,8.96,108800
2017-03-21,1490054400,8.97,9.24,8.85,9.15,51900
2017-03-22,1490140800,9.02,9.37,9.0,9.3,59800
2017-03-23,1490227200,9.33,9.59,9.23,9.49,101000
2017-03-24,1490313600,9.69,9.69,9.31,9.36,48400
2017-03-27,1490572800,9.5,9.54,9.37,9.39,38300
2017-03-28,1490659200,9.52,9.52,9.37,9.38,31900
2017-03-29,1490745600,9.35,9.5,9.35,9.4,46800
2017-03-30,1490832000,9.55,9.64,9.38,9.48,60600
2017-03-31,1490918400,9.52,9.69,9.49,9.5,88000
2017-04-03,1491177600,9.62,9.73,9.46,9.72,36100
2017-04-04,1491264000,9.71,9.77,9.6,9.64,23300
2017-04-05,1491350400,9.62,9.79,9.5,9.55,37600
2017-04-06,1491436800,9.51,9.67,9.5,9.63,47600
2017-04-07,1491523200,9.58,9.62,9.5,9.52,14900
2017-04-10,1491782400,9.5,9.55,9.46,9.5,22100
2017-04-11,1491868800,9.5,9.57,9.45,9.48,13100
2017-04-12,1491955200,9.45,9.51,9.43,9.45,42100
2017-04-13,1492041600,9.43,9.5,9.29,9.4,35300
2017-04-17,1492387200,9.44,9.97,9.4,9.65,224400
2017-04-18,1492473600,9.63,9.63,9.25,9.33,120400
2017-04-19,1492560000,9.53,9.53,9.22,9.28,42500
2017-04-20,1492646400,9.31,9.4,9.27,9.34,26000
2017-04-21,1492732800,9.4,9.43,9.21,9.24,22400
2017-04-24,1492992000,9.28,9.41,9.15,9.24,19300
2017-04-25,1493078400,9.21,9.29,9.14,9.2,19900
2017-04-26,1493164800,9.24,9.29,9.19,9.2,28200
2017-04-27,1493251200,9.21,9.25,9.12,9.16,11300
2017-04-28,1493337600,9.24,9.29,9.04,9.13,45200
2017-05-01,1493596800,9.19,9.4,9.11,9.11,140100
2017-05-02,1493683200,9.25,9.48,9.18,9.27,103300
2017-05-03,1493769600,9.39,9.69,9.32,9.53,61700
2017-05-04,1493856000,9.68,9.69,9.4,9.46,53100
2017-05-05,1493942400,9.48,9.52,9.33,9.35,39900
2017-05-08,1494201600,9.41,9.49,9.38,9.45,29500
2017-05-09,1494288000,9.45,9.51,9.31,9.4,26800
2017-05-10,1494374400,9.39,9.53,9.3,9.5,24500
2017-05-11,1494460800,9.54,9.54,9.38,9.4,13500
2017-05-12,1494547200,9.38,9.4,9.26,9.26,13300
2017-05-15,1494806400,9.3,9.4,9.27,9.32,31200
2017-05-16,1494892800,9.42,9.69,9.35,9.36,125600
2017-05-17,1494979200,9.43,9.62,9.22,9.34,151300
2017-05-18,1495065600,9.5,9.54,9.02,9.23,61800
2017-05-19,1495152000,9.26,9.33,9.07,9.1,22900
2017-05-22,1495411200,9.09,9.31,9.06,9.21,54800
2017-05-23,1495497600,9.28,9.37,9.21,9.34,39600
2017-05-24,1495584000,9.3,9.35,9.05,9.21,87000
2017-05-25,1495670400,9.21,9.28,9.1,9.14,28300
2017-05-26,1495756800,9.21,9.23,9.05,9.09,30700
2017-05-30,1496102400,9.21,9.24,9.1,9.19,3900
2017-05-31,1496188800,9.19,9.25,9.07,9.16,4100
2017-06-01,1496275200,9.17,9.33,9.11,9.15,35500
2017-06-02,1496361600,9.26,9.34,9.21,9.28,60600
2017-06-05,1496620800,9.28,9.44,9.24,9.33,276000
2017-06-06,1496707200,9.37,9.6,9.35,9.4,70800
2017-06-07,1496793600,9.5,10.41,9.45,9.92,239100
2017-06-08,1496880000,9.98,10.42,9.96,10.41,281500
2017-06-09,1496966400,10.59,11.2,10.54,10.79,213900
2017-06-12,1497225600,10.97,11.01,10.05,10.43,110800
2017-06-13,1497312000,10.5,10.9,10.32,10.55,36000
2017-06-14,1497398400,10.49,10.8,10.3,10.32,28600
2017-06-15,1497484800,10.89,11.25,10.49,10.66,324300
2017-06-16,1497571200,10.85,10.9,10.52,10.78,94600
2017-06-19,1497830400,10.87,11.05,10.57,10.6,105500
2017-06-20,1497916800,10.72,10.75,10.42,10.6,65200
2017-06-21,1498003200,10.6,10.99,10.45,10.77,195400
2017-06-22,1498089600,10.7,10.95,10.27,10.51,92700
2017-06-23,1498176000,10.5,10.68,10.16,10.27,82000
2017-06-26,1498435200,10.39,10.55,10.33,10.42,41300
2017-06-27,1498521600,10.39,10.78,10.38,10.5,41500
2017-06-28,1498608000,10.67,10.94,10.61,10.84,229600
2017-06-29,1498694400,10.98,11.3,10.75,10.85,313300
2017-06-30,1498780800,11.02,11.39,10.99,11.24,304900
2017-07-03,1499040000,11.34,12.28,11.05,11.42,360900
2017-07-05,1499212800,11.65,11.69,11.35,11.38,139900
2017-07-06,1499299200,11.42,11.59,11.19,11.28,87100
2017-07-07,1499385600,11.36,11.59,11.35,11.46,87800
2017-07-10,1499644800,11.64,12.19,11.51,12.12,404300
2017-07-11,1499731200,12.39,12.78,12.19,12.27,327400
2017-07-12,1499817600,12.84,12.85,12.1,12.23,194200
2017-07-13,1499904000,12.35,12.43,11.7,11.93,239800
2017-07-14,1499990400,12.02,12.27,11.77,11.99,111400
2017-07-17,1500249600,12.0,12.09,11.63,11.67,85400
2017-07-18,1500336000,11.73,11.83,11.26,11.38,153600
2017-07-19,1500422400,11.36,11.64,11.0,11.37,116300
2017-07-20,1500508800,11.41,11.48,11.21,11.35,49400
2017-07-21,1500595200,11.26,11.42,10.94,11.03,116800
2017-07-24,1500854400,11.95,11.96,11.27,11.49,226300
2017-07-25,1500940800,11.69,11.69,11.4,11.48,75400
2017-07-26,1501027200,11.49,11.55,11.31,11.5,103100
2017-07-27,1501113600,11.53,11.62,10.75,10.84,160000
2017-07-28,1501200000,10.98,11.23,10.7,10.97,79000
2017-07-31,1501459200,10.98,11.28,10.97,10.98,52800
2017-08-01,1501545600,11.08,11.16,10.74,10.79,65300
2017-08-02,1501632000,10.77,11.09,10.55,10.64,116600
2017-08-03,1501718400,11.02,11.02,10.36,10.39,51800
2017-08-04,1501804800,10.46,10.84,10.21,10.3,122400
2017-08-07,1502064000,10.51,10.79,10.3,10.66,223600
2017-08-08,1502150400,10.62,11.01,10.62,10.79,165700
2017-08-09,1502236800,10.8,10.96,10.0,10.22,210600
2017-08-10,1502323200,10.25,10.25,9.61,9.71,155400
