Date,Time,Open,High,Low,Close,Volume
2017-01-03,1483401600,36.71,37.44,36.31,37.38,640200
2017-01-04,1483488000,37.44,37.52,36.73,37.3,453000
2017-01-05,1483574400,37.19,37.24,36.42,36.81,466000
2017-01-06,1483660800,37.03,37.17,36.28,37.14,438900
2017-01-09,1483920000,37.24,37.63,36.95,37.22,377500
2017-01-10,1484006400,37.12,37.43,36.61,37.09,368500
2017-01-11,1484092800,37.15,37.15,36.19,36.63,348100
2017-01-12,1484179200,36.53,37.45,36.29,37.29,271600
2017-01-13,1484265600,36.91,38.08,36.75,38.0,568000
2017-01-17,1484611200,37.72,37.72,36.74,37.09,433600
2017-01-18,1484697600,37.12,37.32,36.88,37.17,287600
2017-01-19,1484784000,37.3,37.49,37.1,37.13,235200
2017-01-20,1484870400,37.31,37.84,37.27,37.4,308800
2017-01-23,1485129600,37.39,37.86,37.32,37.65,322100
2017-01-24,1485216000,37.71,38.08,37.62,37.82,414000
2017-01-25,1485302400,38.12,38.18,37.34,37.37,168800
2017-01-26,1485388800,37.48,37.56,36.86,37.36,187200
2017-01-27,1485475200,37.28,37.7,37.02,37.1,184900
2017-01-30,1485734400,36.73,36.98,36.24,36.42,679200
2017-01-31,1485820800,36.28,36.45,35.68,35.98,408600
2017-02-01,1485907200,36.07,36.49,35.36,35.71,744200
2017-02-02,1485993600,35.52,36.22,35.43,36.07,321700
2017-02-03,1486080000,36.37,36.66,35.99,36.42,315300
2017-02-06,1486339200,37.03,37.32,36.67,36.97,744700
2017-02-07,1486425600,36.98,38.25,36.97,37.16,735600
2017-02-08,1486512000,34.41,35.16,33.37,34.33,2532100
2017-02-09,1486598400,34.24,34.76,32.92,33.78,980600
2017-02-10,1486684800,33.83,34.25,33.5,34.09,795800
2017-02-13,1486944000,34.31,34.9,34.25,34.78,963400
2017-02-14,1487030400,35.99,36.5,35.41,35.72,1166500
2017-02-15,1487116800,35.88,36.08,35.41,35.52,436700
2017-02-16,1487203200,35.41,35.62,34.57,34.79,273400
2017-02-17,1487289600,34.69,35.06,34.57,35.01,320100
2017-02-21,1487635200,35.46,35.62,34.45,34.81,318800
2017-02-22,1487721600,34.82,35.83,34.81,35.39,356500
2017-02-23,1487808000,35.36,35.6,34.4,34.8,364800
2017-02-24,1487894400,34.45,34.84,34.17,34.57,335700
2017-02-27,1488153600,34.61,34.79,34.23,34.51,450500
2017-02-28,1488240000,34.35,34.42,33.52,33.63,620900
2017-03-01,1488326400,34.05,35.07,33.5,35.02,735500
2017-03-02,1488412800,34.77,35.02,34.2,34.27,423800
