Date,Time,Open,High,Low,Close,Volume
2017-01-03,1483401600,39.31,39.84,38.39,38.81,2896200
2017-01-04,1483488000,39.05,39.46,38.96,39.36,1907500
2017-01-05,1483574400,39.47,39.79,38.34,38.73,2106000
2017-01-06,1483660800,38.91,39.3,38.74,38.98,2149100
2017-01-09,1483920000,38.75,38.91,38.03,38.55,2104900
2017-01-10,1484006400,38.75,39.35,38.53,39.15,1839600
2017-01-11,1484092800,39.25,39.47,38.77,39.47,2102200
2017-01-12,1484179200,39.23,39.44,38.14,38.62,2758200
2017-01-13,1484265600,38.9,39.83,38.67,39.41,2732500
2017-01-17,1484611200,38.87,38.89,37.43,37.54,2889200
2017-01-18,1484697600,37.88,38.21,37.22,38.18,2142200
2017-01-19,1484784000,38.28,38.6,37.78,38.02,1778500
2017-01-20,1484870400,38.19,38.55,37.93,38.16,2371000
2017-01-23,1485129600,37.93,38.29,37.7,38.02,2628300
2017-01-24,1485216000,38.12,38.59,37.17,38.25,4064800
2017-01-25,1485302400,38.67,39.24,38.58,38.9,2584600
2017-01-26,1485388800,38.99,39.46,38.71,39.07,2711900
2017-01-27,1485475200,38.95,38.98,38.43,38.75,1972100
2017-01-30,1485734400,38.49,38.68,37.49,37.98,3517700
2017-01-31,1485820800,37.91,38.5,37.58,37.92,2542100
2017-02-01,1485907200,38.37,38.91,38.07,38.16,2501700
2017-02-02,1485993600,37.64,38.05,37.37,37.54,2827500
2017-02-03,1486080000,38.19,38.99,37.86,38.92,3350600
2017-02-06,1486339200,38.55,39.11,38.24,38.62,1410300
2017-02-07,1486425600,38.69,38.88,38.36,38.48,1741500
2017-02-08,1486512000,38.21,38.26,37.57,37.9,1748100
2017-02-09,1486598400,38.7,38.83,37.97,38.78,2011100
2017-02-10,1486684800,39.03,39.25,38.73,39.16,2458800
2017-02-13,1486944000,39.43,40.08,39.32,39.61,2197200
2017-02-14,1487030400,39.64,40.7,39.46,40.59,2456500
2017-02-15,1487116800,40.81,40.98,40.56,40.79,2690800
2017-02-16,1487203200,40.62,40.82,40.05,40.43,1977400
2017-02-17,1487289600,40.05,40.32,39.73,40.2,1185300
